Business ID,Type,Name,Name Type,Filing Date,Status
DB056220,CORP,"SONS OF THUNDER, INC.",Entity,40724,Good Standing
DB057248,CORP,SONOFAGUNNARSON INC.,Entity,41208,Dissolved (Administrative)
DB058556,CORP,"Charles K. Rabenberg & Son, Inc.",Entity,41645,Good Standing
DB058908,CORP,"HOHN & SON TRUCKING , INC.",Entity,41723,Good Standing
DB059421,CORP,"HUBER & SON, INC.",Entity,41906,Good Standing
DB060325,CORP,"Seventh Son Enterprises, Inc.",Entity,42250,Delinquent
DB148214,CORP,SONGBIRD ENITIES CORPORATION,Entity,43234,Good Standing
DB159251,CORP,fitzgerald & son trucking inc,Entity,43488,Good Standing
DB160727,CORP,"Sonic Management, Inc.",Entity,43518,Good Standing
DB166000,CORP,"Sonador, Inc.",Entity,43630,Good Standing
DF002106,CORP,"HANSMEIER & SON, INC.",Entity,22278,Good Standing
DF002290,CORP,"BORDEN & SON DAIRY, INC.",Entity,22433,Cancelled
DF003470,CORP,"SMEBAKKEN AND SON, INC.",Entity,23379,Dissolved
DF005292,CORP,"BURDINE & SON, INC.",Entity,24134,Good Standing
DF011779,CORP,"HURLEY AND SON FARMS, INCORPORATED",Entity,26861,Cancelled
DF011814,CORP,JOHN SCHRAMEL & SON INC.,Entity,26882,Good Standing
DF012595,CORP,"RAYMOND SUTTON & SON, INC.",Entity,27346,Good Standing
DF012972,CORP,"HEUPEL AND SON, INC.",Entity,27576,Good Standing
DF013024,CORP,KAISER & SON INC.,Entity,27603,Good Standing
DF013252,CORP,"PETERSON AND SON, INC.",Entity,27739,Good Standing
DF014312,CORP,"KEN HUBERT-CARL'S SON ENTERPRISES, INC.",Entity,28240,Dissolved
DF014474,CORP,"JOHNSON & SON, INC.",Entity,28307,Cancelled
DF016694,CORP,"HAROLD C. NELSON AND SON, INC.",Entity,28989,Cancelled
DF020759,CORP,"WEBER & SON, INC.",Entity,29767,Good Standing
DF031283,CORP,"PAUL WILLIAMS & SON FARMS, INC.",Entity,33602,Good Standing
DF032474,CORP,"GLEN RABENBERG & SON FARMS, INC.",Entity,33967,Dissolved (Administrative)
DL002197,LLC,"SONGBIRD, L.L.C.",Entity,36262,Good Standing
DL002527,LLC,"SONTINET, LLC",Entity,36451,Dissolved
DL003523,LLC,SONIC LLC,Entity,36915,Dissolved
DL003760,LLC,"BAKER & SON DEVELOPMERS, L.L.C.",Entity,37018,Cancelled
DL008037,LLC,"SONGBIRD PRODUCTIONS, L.L.C.",Entity,38274,Terminated
DL010100,LLC,"SONTOS, LLC",Entity,38658,Good Standing
DL011067,LLC,"SONADOR GROUP, LLC",Entity,38813,Dissolved (Administrative)
DL011850,LLC,"SONORAN SEA AMIGOS, LLC",Entity,38933,Dissolved (Administrative)
DL012610,LLC,"SONLER PROPERTIES, LLC",Entity,39055,Good Standing
DL013248,LLC,"SONRISE ENTERPRISES, L.L.C.",Entity,39133,Good Standing
DL013796,LLC,"SON OF A GUN RANCH, LLC",Entity,39203,Dissolved (Administrative)
DL013796,LLC,"SON OF A GUN RANCH, LLC",Entity,39203,Dissolved (Administrative)
DL014284,LLC,"SONIC CASH OF SOUTH DAKOTA, LLC",Entity,39281,Dissolved
DL019231,LLC,UNDER THE SON LLC,Entity,39989,Dissolved (Administrative)
DL020684,LLC,"SONSET MARKETING, LLC",Entity,40206,Terminated
DL021331,LLC,"SON OF ZADE, LLC",Entity,40291,Dissolved (Administrative)
DL021331,LLC,"SON OF ZADE, LLC",Entity,40291,Dissolved (Administrative)
DL022591,LLC,"SONNE'S LIVESTOCK MANAGEMENT SERVICE, LLC",Entity,40459,Good Standing
DL024873,LLC,"SONYA'S SALON, L.L.C.",Entity,40700,Dissolved (Administrative)
DL029529,LLC,"SONJA'S HEALTHVINE, LLC",Entity,41177,Dissolved (Administrative)
DL029806,LLC,"SONESS ORGANICS, LLC",Entity,41208,Dissolved (Administrative)
DL030594,LLC,"SONQUIST, LLC",Entity,41262,Good Standing
DL033426,LLC,"SANDVEN & SON CONSTRUCTION, LLC",Entity,41498,Dissolved (Administrative)
DL036676,LLC,"SANFTNER & SON, LLC",Entity,41635,Dissolved (Administrative)
DL039795,LLC,John Bettis and Son Construction llc,Entity,41855,Dissolved (Administrative)
DL040710,LLC,"Bolle & Son Trucking, LLC",Entity,41927,Good Standing
DL042988,LLC,Sonar Studios LLC,Entity,42115,Dissolved (Administrative)
DL045136,LLC,"SONGSTAD & SONS, LLC",Entity,42263,Good Standing
DL046957,LLC,"SONSTEGARD FOODS - TURNER COUNTY, LLC",Entity,42403,Good Standing
DL047091,LLC,SONIC LAND I LLC,Entity,42412,Terminated
DL047092,LLC,SONIC LAND II LLC,Entity,42412,Terminated
DL047562,LLC,Sonora Specialty Investments LLC,Entity,42445,Terminated
DL047797,LLC,"SONSTEGARD DESIGN & CONSTRUCTION, LLC",Entity,42459,Good Standing
DL047816,LLC,"HUBER & SON PROPERTIES, LLC",Entity,42460,Good Standing
DL128228,LLC,Sowers & Son Dirty Laundry LLC,Entity,42705,Good Standing
DL130903,LLC,"Sonoran Amigo, L.L.C.",Entity,42787,Good Standing
DL130903,LLC,"Sonoran Amigos, L.L.C.",Entity,42787,Good Standing
DL131261,LLC,"SoNoWS, LLC",Entity,42800,Good Standing
DL132230,LLC,"SoNo Ventures, LLC",Entity,42830,Good Standing
DL132906,LLC,SONIC LAND V LLC,Entity,42851,Dissolved (Administrative)
DL134591,LLC,Jensen+Son LLC,Entity,42913,Good Standing
DL134927,LLC,"Sonnel Technologies, LLC",Entity,42926,Good Standing
DL134928,LLC,"SonTech Wireless, LLC",Entity,42926,Good Standing
DL134954,LLC,Sonen Construction LLC,Entity,42927,Good Standing
DL135545,LLC,"SONNYS, LLC",Entity,42948,Good Standing
DL137035,LLC,"Fleming & Son, LLC",Entity,42991,Delinquent
DL138182,LLC,"Sonstegard Consulting, LLC",Entity,43014,Terminated
DL138332,LLC,LAWLER & SON TRANSPORT LLC,Entity,43019,Good Standing
DL150595,LLC,Sonquist Lane Realty LLC,Entity,43283,Dissolved (Administrative)
DL151639,LLC,"Sonnys Properties, LLC",Entity,43308,Good Standing
DL152947,LLC,sandven and son construction llc,Entity,43336,Good Standing
DL167298,LLC,Leo and Son LLC,Entity,43660,Good Standing
DL170880,LLC,SONDREAL HOLDINGS LLC,Entity,43738,Good Standing
DM009444,DM,"THE CORSON COUNTY HOUSING AND REDEVELOPMENT COMMISSION OF THE COUNTY OF CORSON, SOUTH DAKOTA",Entity,36244,Active
DP140739,LP,Sons of Merritt A. Seefeldt Sr. Family Limited Partnership,Entity,43076,Active
DR001701,LLP,"J. W. Johnson & Son, LLP",Entity,42047,Dissolved (Administrative)
FB005303,CORP,BOR-SON BUILDING CORPORATION,Entity,27865,Revoked (Administrative)
FB005304,CORP,"BOR-SON CONSTRUCTION, INC.",Entity,27865,Withdrawn
FB006547,CORP,SONAT EXPLORATION COMPANY,Entity,28909,Revoked (Administrative)
FB007215,CORP,"GLEN D. FOLTZ & SON, INC.",Entity,29469,Revoked (Administrative)
FB009093,CORP,"FRANTZ KLODT & SON, INC.",Entity,30545,Withdrawn
FB009523,CORP,"MEIDE AND SON, INCORPORATED",Entity,30797,Revoked (Administrative)
FB009781,CORP,"JOE MORTEN & SON, INC.",Entity,30946,Good Standing
FB010450,CORP,"J. MYRON OLSON AND SON, INC.",Entity,31310,Revoked (Administrative)
FB011623,CORP,"C.W. SUTER & SON, INC.",Entity,31999,Good Standing
FB011758,CORP,"PRESCOTT HEALD & SON, INC.",Entity,32072,Revoked (Administrative)
FB011790,CORP,SONY CORPORATION OF AMERICA,Entity,32097,Revoked (Administrative)
FB012106,CORP,"SONYA'S INTERNATIONAL, INC.",Entity,32289,Withdrawn
FB012162,CORP,FATHER & SON SHOE STORES CO.,Entity,32314,Revoked (Administrative)
FB015084,CORP,"SHAMBAUGH & SON, INC.",Entity,33652,Inactive (Other)
FB015149,CORP,"J. FLETCHER CREAMER & SON, INC.",Entity,33682,Good Standing
FB015220,CORP,"HARMAN AND SON CONSTRUCTION, INC.",Entity,33723,Revoked (Administrative)
FB015319,CORP,SONAT EXPLORATION COMPANY,Entity,33770,Withdrawn
FB016409,CORP,"SONIFI SOLUTIONS, INC.",Entity,34249,Good Standing
FB016529,CORP,SONITROL MANAGEMENT CORPORATION,Entity,34304,Revoked (Administrative)
FB019215,CORP,"COLBURN & SON, INC.",Entity,35290,Revoked (Administrative)
FB019758,CORP,"N. GLANTZ & SON, INC.",Entity,35459,Withdrawn
FB020085,CORP,"FOA & SON, CORPORATION",Entity,35562,Good Standing
FB022112,CORP,"JAMES A. SCOTT & SON, INCORPORATED",Entity,36150,Good Standing
FB024592,CORP,SONITROL CORPORATION,Entity,36860,Withdrawn
FB025226,CORP,"SONIX4U, INC.",Entity,37054,Revoked (Administrative)
FB027211,CORP,OLAF ANDERSON AND SON CONSTRUCTION COMPANY,Entity,37727,Good Standing
FB027279,CORP,"J.T. THORPE & SON, INC.",Entity,37743,Good Standing
FB027499,CORP,"SONNE LABS, INC.",Entity,37820,Revoked (Administrative)
FB029685,CORP,SONY ONLINE ENTERTAINMENT INC.,Entity,38513,Withdrawn
FB030288,CORP,"JOSEPH T. RYERSON & SON, INC.",Entity,38735,Good Standing
FB030691,CORP,"CHAS. E. RUE & SON, INC.",Entity,38875,Withdrawn
FB031808,CORP,"HAROLD W. WELLS & SON, INCORPORATED",Entity,39269,Revoked (Administrative)
FB031970,CORP,"SONIC INDUSTRIES SERVICES, INC.",Entity,39330,Good Standing
FB032165,CORP,"METRO & SON ELECTRIC, INC.",Entity,39393,Good Standing
FB033420,CORP,"JOSEPH J. HENDERSON & SON, INC.",Entity,39927,Withdrawn
FB034496,CORP,"HAROLD W. WELLS & SON, INCORPORATED",Entity,40375,Good Standing
FB035055,CORP,"SONIFI HEALTH, INC.",Entity,40634,Good Standing
FB035055,CORP,"SONIFI HEALTHCARE, INC.",Old,40634,Good Standing
FB035608,CORP,R. HALL & SON APIARIES INC.,Entity,40886,Revoked (Administrative)
FB036029,CORP,"H.J. MARTIN & SON, INC.",Entity,41064,Good Standing
FB039412,CORP,"SWICK & SON MAINTENANCE SPECIALISTS, INC.",Entity,42551,Good Standing
FB136564,CORP,"Nor-Son, Inc.",Entity,42977,Good Standing
FB151473,CORP,"Alex Lyon & Son Sales Managers & Auctioneers, Inc.",Entity,43305,Good Standing
FL001508,LLC,"N. GLANTZ & SON, LLC",Entity,37655,Good Standing
FL001708,LLC,SONORAN NATIONAL INSURANCE GROUP LLC,Entity,37866,Withdrawn
FL003000,LLC,SONY ONLINE ENTERTAINMENT LLC,Entity,38898,Cancelled
FL003801,LLC,"SONIC INDUSTRIES, LLC",Entity,39387,Good Standing
FL003893,LLC,SONIC INDUSTRIES FRANCHISING LLC,Entity,39458,Cancelled
FL005020,LLC,"SONORA INSURANCE GROUP, LLC",Entity,40242,Revoked (Administrative)
FL005381,LLC,"SONOMA RISK MANAGEMENT, LLC",Entity,40483,Cancelled
FL005645,LLC,SONIC FRANCHISING LLC,Entity,40647,Good Standing
FP000322,LP,"KENDALL AND SON, LTD. D/B/A KEVKEN SALES LIMITED PARTNERSHIP",Entity,35548,Active
FP000386,LP,"SHAMBAUGH & SON, LIMITED PARTNERSHIP",Entity,36391,Active
FP000546,LP,"JOHN L. WORTHAM & SON, LIMITED PARTNERSHIP",Entity,38210,Cancelled
NS007869,NCORP,SON-SHINE CHRISTIAN SCHOOL,Entity,30830,Cancelled
NS007869,NCORP,SON-SHINE CHRISTIAN SCHOOL,Entity,30830,Cancelled
NS008463,NCORP,"SONG AND DANCE FOLKS, INC.",Entity,31811,Dissolved
NS008843,NCORP,"SONGBIRD ACRES NO. II WATER ASSOCIATION, INC.",Entity,32454,Cancelled
NS010190,NCORP,"SONLIGHT, INC.",Entity,34620,Cancelled
NS011049,NCORP,RISEN SON MINISTRIES,Entity,35962,Good Standing
NS011601,NCORP,SONI JUNE WILCOX - MISSIONARY EVANGELISM MINISTRIES,Entity,36783,Good Standing
NS013404,NCORP,SONS & DAUGHTERS OF SOUTH DAKOTA PEARL HARBOR SURVIVORS,Entity,39189,Cancelled
NS014496,NCORP,SONS OF SOUTHFORK FOUNDATION,Entity,40539,Good Standing
NS137340,NCORP,"SONLIGHT CHILDREN'S FOUNDATION, INC.",Entity,42999,Good Standing
RG002152,NR,CHUBB & SON INC.,Registered,39878,Expired
RS005843,RN,SONIFI INC.,Reserved,41443,Expired
TD171002,DM,"SONRISE NORTH ROAD DISTRICT FALL RIVER COUNTY, SOUTH DAKOTA",Entity,43740,Active
UB138509,UB,TJ & SON Tree Service,DBA - Business,43024,Active
UB142938,UB,Sonoran National Insurance Group,DBA - Business,43122,Active
UB146975,UB,My Son Eat Honey,DBA - Business,43206,Active
UB149627,UB,Son-Aqua Distributing,DBA - Business,43264,Active
UB149627,UB,Son-Aqua Distributing,DBA - Business,43264,Active
UB162201,UB,Songs For Centuries,DBA - Business,43549,Active
UB935345,UB,Son Aqua Distributing,DBA - Business,38651,Expired
UB935345,UB,Son Aqua Distributing,DBA - Business,38651,Expired
UB936041,UB,SONYA`S,DBA - Business,38187,Expired
UB936907,UB,Songs From the Heart,DBA - Business,38370,Expired
UB936972,UB,Songs From The Heart,DBA - Business,38373,Expired
UB937244,UB,Slim Meister & Son,DBA - Business,38418,Expired
UB937719,UB,Sonshine Care,DBA - Business,38506,Expired
UB940549,UB,prodigal son,DBA - Business,39004,Expired
UB942978,UB,SONNEL TECHNOLOGY,DBA - Business,39309,Expired
UB943408,UB,SONNEL TECHNOLOGIES,DBA - Business,39365,Expired
UB945068,UB,Sonexus Design,DBA - Business,39591,Expired
UB945721,UB,Sonja's,DBA - Business,39679,Expired
UB947075,UB,Sons of Thunder Ministry,DBA - Business,39876,Expired
UB949992,UB,Senior One & Son,DBA - Business,40275,Expired
UB951753,UB,"Sonoma Risk Insurance Agency, LLC",DBA - Business,40492,Expired
UB952035,UB,Sons and Daughters Daycare,DBA - Business,40534,Expired
UB954568,UB,Son Aqua Distributing,DBA - Business,40840,Expired
UB954568,UB,Son Aqua Distributing,DBA - Business,40840,Expired
UB955363,UB,Sonoran National Insurance Group,DBA - Business,40946,Expired
UB956479,UB,SonJa's HealthVine,DBA - Business,41081,Expired
UB960232,UB,Custer Knives (R L Davis & Son),DBA - Business,41550,Expired
UB960233,UB,Custer Knives (R L Davis & Son),DBA - Business,41550,Expired
UB960607,UB,Father Son Events,DBA - Business,41585,Expired
UB961836,UB,"HOHN & SON TRUCKING, INC",DBA - Business,41721,Active
UB962281,UB,Sonler Properties,DBA - Business,41766,Active
UB965806,UB,Turnbull & Son,DBA - Business,42158,Active
UB969423,UB,SON TECH WIRELESS,DBA - Business,42552,Active
UB969423,UB,SON TECH WIRELESS,DBA - Business,42552,Active
UB969424,UB,SONNEL TECHNOLOGIES,DBA - Business,42552,Active
UB971254,UB,Dunn N Son Handyman,DBA - Business,42766,Active
UB971893,UB,Sons of the Wind,DBA - Business,42822,Active
