Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
1100 E. HARRISON CONDOMINIUM ASSOCIATION,601 963 672,WA NONPROFIT CORPORATION,"2620 2ND AVE, SEATTLE, WA, 98121-1212, UNITED STATES",TRF PACIFIC MANAGEMENT SERV,Active
1100 EAST NELSON ROAD OPERATIONS LLC,604 482 046,FOREIGN LIMITED LIABILITY COMPANY,"101 E STATE ST, KENNETT SQ, PA, 19348-3109, UNITED STATES",CORPORATION SERVICE COMPANY,Active
"1100 HARRISON ASSOCIATES, A LIMITED PARTNERSHIP",601 124 828,WA LIMITED PARTNERSHIP,,RORY VEAL,Inactive
"1100 JACKSON AVENUE, LLC",602 449 838,WA LIMITED LIABILITY COMPANY,"777 108TH AVE NE, BELLEVUE, WA, 98004, UNITED STATES",,Inactive
1101 MADISON CORRECTIVE JAW SURGERY PLLC,602 615 635,WA LIMITED LIABILITY COMPANY,"1101 MADISON AVENUE, SUITE 580, SEATTLE, WA, 98104, UNITED STATES",JESSICA LEE,Administratively Dissolved
"111 SOUTH JACKSON, LLC",602 563 858,FOREIGN LIMITED LIABILITY COMPANY,"1 MARKET PLZ STE 1010, SAN FRANCISCO, CA, 94105-1101, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Withdrawn
"1116 HARRISON, LLC",603 188 414,WA LIMITED LIABILITY COMPANY,"411 FAIRVIEW AVE N #202, SEATTLE, WA, 98109, UNITED STATES",DIETER STRUZYNA,Administratively Dissolved
1118 MADISON LLC,602 607 272,WA LIMITED LIABILITY COMPANY,"4829 102ND LANE NE, KIRKLAND, WA, 98033, UNITED STATES",CAROLE DANZ,Administratively Dissolved
"1122 NELSON STREET, LLC",602 869 385,WA LIMITED LIABILITY COMPANY,"726 NORTHERN AVENUE, SEDRO WOOLLEY, WA, 98284, UNITED STATES",VELMA MHUGGINS,Administratively Dissolved
115 MADISON VALLEY LLC,604 215 304,WA LIMITED LIABILITY COMPANY,"1100 DEXTER AVE N STE 275, SEATTLE, WA, 98109-0077, UNITED STATES",BRIAN COMFORT,Active
1175 HARRISON LLC,604 143 698,WA LIMITED LIABILITY COMPANY,"1175 HARRISON ST, SEATTLE, WA, 98109-5318, UNITED STATES","WKG, INC.",Active
"11TH & MADISON, LLC",602 725 117,WA LIMITED LIABILITY COMPANY,"3922 COUNTRY CLUB DR NW, OLYMPIA, WA, 98502, UNITED STATES",PATRICK BERSCHAUER,Administratively Dissolved
12 MADISON INVESTMENT LLC,604 158 487,WA LIMITED LIABILITY COMPANY,"9809 NE 32ND ST, BELLEVUE, WA, 98004-1833, UNITED STATES",XIAOWEI YANG,Active
"1200 MADISON ASSOCIATES, L.P.",603 084 501,FOREIGN LIMITED PARTNERSHIP,"1111 MAIN ST # 700, VANCOUVER, WA, 98660, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Active
1201 W NICKERSON LLC,602 627 101,WA LIMITED LIABILITY COMPANY,"4613 33RD AVE W, SEATTLE, WA, 98199, UNITED STATES",IRVING A SONKIN PS,Active
"1215 S. MASON AVE., LLC",604 151 660,WA LIMITED LIABILITY COMPANY,"15 OREGON AVE STE 111, TACOMA, WA, 98409, UNITED STATES",JOHN ELLIOTT,Administratively Dissolved
1221 MADISON STREET OWNERS ASSOCIATION,602 452 723,WA NONPROFIT CORPORATION,"1920 MAIN ST #1200, IRVINE, CA, 92614, UNITED STATES",C T CORPORATION SYSTEM,Active
"1222 EAST MADISON, LLC",603 068 376,WA LIMITED LIABILITY COMPANY,"330 112TH AVE NE STE 200, BELLEVUE, WA, 98004-5800, UNITED STATES",KEVIN R WALLACE,Active
1223 W. NICKERSON LLC,602 156 445,WA LIMITED LIABILITY COMPANY,"2334 W PLYMOUTH ST APT 3, SEATTLE, WA, 98199, UNITED STATES",RACHEL LEE CUMMINGS,Active
"1228 BENSON, LLC",604 463 843,WA LIMITED LIABILITY COMPANY,"1126 18TH AVE E, SEATTLE, WA, 98112-3319, UNITED STATES",STEPHEN MORRIS,Active
"123 S. JACKSON, LLC",602 557 920,WA LIMITED LIABILITY COMPANY,"1264 EASTLAKE AVE E, SEATTLE, WA, 98102, UNITED STATES",DAVID H WRIGHT,Administratively Dissolved
"123 W EDISON, LLC",603 162 804,WA LIMITED LIABILITY COMPANY,"3500 MAIN ST, UNION GAP, WA, 98903-1944, UNITED STATES",STEVEN HAHN,Active
12402 GIBSON ROAD CONDOMINIUM OWNERS ASSOCIATION,602 750 250,WA NONPROFIT CORPORATION,"7017 196TH ST SW, LYNNWOOD, WA, 98036, UNITED STATES",,Inactive
12TH & JACKSON SQUARE LLC,602 815 709,WA LIMITED LIABILITY COMPANY,"523 PINE ST, SUITE 205, SEATTLE, WA, 98101-1702, UNITED STATES",CHANG LAW GROUP PC,Active
"12TH AND EAST MADISON ASSOCIATES, A WASHINGTON LIMITEDPARTNERSHIP",602 052 002,WA LIMITED PARTNERSHIP,,ORVILLE COHEN,Inactive
12TH AND MADISON LLC,602 423 005,WA LIMITED LIABILITY COMPANY,"1320 E PIKE ST, SEATTLE, WA, 98122, UNITED STATES",MADRONA REAL ESTATE SERVICES LLC,Active
1302 S LARSON LLC,602 702 459,WA LIMITED LIABILITY COMPANY,"PO BOX 73847, PUYALLUP, WA, 98373, UNITED STATES",VALERIE  RHODES,Inactive
1308 EMERSON LLC,602 708 667,WA LIMITED LIABILITY COMPANY,"9603 183RD AVE E, 9603 183RD. AVE. E., BONNEY LAKE, WA, 98391-7078, UNITED STATES",1308 EMERSON LLC,Active
"1314 ANDERSON ROAD, LLC",602 515 210,WA LIMITED LIABILITY COMPANY,"1314 ANDERSON RD, MOUNT VERNON, WA, 98274-7616, UNITED STATES",CURTIS DAHL,Active
1315 EAST JEFFERSON LLC,603 260 964,WA LIMITED LIABILITY COMPANY,"3201 1ST AVE S #207, SEATTLE, WA, 98134, UNITED STATES",JOHN B SCHACK,Administratively Dissolved
1320 S JEFFERSON LLC,603 362 204,WA LIMITED LIABILITY COMPANY,"603 N OAK ST, SPOKANE, WA, 99201-1836, UNITED STATES",DAVID DEGRAFF,Active
1325 E. JEFFERSON LLC,603 378 733,WA LIMITED LIABILITY COMPANY,"15620 HIGHWAY 99, SUITE 17, LYNNWOOD, WA, 98087-1478, UNITED STATES",ILYANA TAKAHASHI,Active
"13705 JACKSON PARK DEVELOPMENT, LLC",602 708 871,WA LIMITED LIABILITY COMPANY,"15600 REDMOND WAY, STE. 101, REDMOND, WA, 98052-3862, UNITED STATES",GINA ALSDORF,Inactive
"13TH & EMERSON, LLC",603 412 258,WA LIMITED LIABILITY COMPANY,"3500 188TH ST SW STE 234, LYNNWOOD, WA, 98037, UNITED STATES",STEPHANIE JENKINS,Administratively Dissolved
"1400 S. JACKSON BUILDING, L.L.C.",602 158 199,WA LIMITED LIABILITY COMPANY,"1400 S JACKSON ST, SEATTLE, WA, 98144, UNITED STATES",JOAN HABU,Active
1403-WLD DAMSON ROAD LLC,603 375 985,WA LIMITED LIABILITY COMPANY,"1010 MARKET STREET, KIRKLAND, WA, 98033, UNITED STATES",WESTCOTT HOLDINGS INC,Active
1405-WLD JEFFERSON LLC,603 385 089,WA LIMITED LIABILITY COMPANY,"1010 MARKET ST, KIRKLAND, WA, 98033, UNITED STATES","WESTCOTT HOLDINGS, INC.",Active
"1408 MADISON, L.L.C.",602 155 552,WA LIMITED LIABILITY COMPANY,,MICHAEL J WARREN,Inactive
1420 EAST MADISON STREET LLC,603 391 403,WA LIMITED LIABILITY COMPANY,"117 E LOUISA ST # 143, SEATTLE, WA, 98102-3203, UNITED STATES",JOHN LINKS,Administratively Dissolved
14212 JEFFERSON WAY CONDOMINIUM OWNERS ASSOCIATION,602 501 002,WA NONPROFIT CORPORATION,,LAURA BOLSER,Inactive
"1440 JACKSON INVESTORS, LLC",604 533 876,WA LIMITED LIABILITY COMPANY,"2905 SW 1ST AVE, PORTLAND, OR, 97201-4705, UNITED STATES",LPSL CORPORATE SERVICES INC,Active
"149 EDISON STREET, INC.",601 632 095,FOREIGN PROFIT CORPORATION,,C T CORPORATION SYSTEM,Terminated
14TH & MADISON LLC,602 433 344,WA LIMITED LIABILITY COMPANY,"1408 AND 1412 14TH AVE, SEATTLE, WA, 98122, UNITED STATES",KANTOR TAYLOR MCCARTHY PC,Inactive
"15 NICKERSON, LLC",602 575 046,WA LIMITED LIABILITY COMPANY,"13190 STONE AVE N, SEATTLE, WA, 98133-7617, UNITED STATES","CAIRNCROSS & HEMPLEMANN, PS",Active
"1500 MADISON, LLC",602 574 956,WA LIMITED LIABILITY COMPANY,"999 LAKE DR # 300, ISSAQUAH, WA, 98027, UNITED STATES",HILLIS CLARK MARTIN & PETERSON PS,Administratively Dissolved
151 NICKERSON LLC,602 634 381,WA LIMITED LIABILITY COMPANY,"4241 21ST AVE W STE 100, SEATTLE, WA, 98199-1250, UNITED STATES",MAC FAMILY MANAGEMENT LLC,Delinquent
151 NICKERSON STREET LLC,604 296 992,WA LIMITED LIABILITY COMPANY,"600 UNIVERSITY ST STE 2018, SEATTLE, WA, 98101-4114, UNITED STATES",ACB SERVICES LLC,Active
"1517 ANDERSON, LLC",602 596 121,WA LIMITED LIABILITY COMPANY,"3818 S 9TH ST, TACOMA, WA, 98405, UNITED STATES",COLLEEN GRAY,Active
"16 W. HARRISON, LLC",603 049 153,WA LIMITED LIABILITY COMPANY,"999 3RD AVE, SUITE 3050, SEATTLE, WA, 98104-4057, UNITED STATES",CAIRNCROSS & HEMPLEMANN PS,Active
1600 JEFFERSON MEDICAL OFFICE TOWER LIMITED PARTNERSHIP,601 121 100,WA LIMITED PARTNERSHIP,,SISTERS OF PROVIDENCE,Inactive
16543 BENSON ROAD S LLC,603 526 327,WA LIMITED LIABILITY COMPANY,"728 3RD ST APT D, MUKILTEO, WA, 98275-1518, UNITED STATES",CASH GROUP INC,Active
16TH & JEFFERSON LLC,602 460 663,WA LIMITED LIABILITY COMPANY,"12201 TUKWILA INTERNATIONAL, BLVD 4TH FLOOR, SEATTLE, WA, 98168, UNITED STATES",SABEY CORPORATION,Active
1700 MADISON APARTMENTS LLC,603 392 475,WA LIMITED LIABILITY COMPANY,"4115 ROOSEVLET WY, SEATTLE, WA, 98105, UNITED STATES",JOSEF F STANZL,Active
1700 MADISON PHASE I LLC,602 661 913,WA LIMITED LIABILITY COMPANY,"1319 DEXTER AVE N #245, SEATTLE, WA, 98109, UNITED STATES",EDI LINARDIC,Administratively Dissolved
"1700 MADISON, LLC",602 303 673,WA LIMITED LIABILITY COMPANY,,EDI LINARDIC,Administratively Dissolved
"1701 DICKINSON, LLC",602 821 264,WA LIMITED LIABILITY COMPANY,"1620 WOODARD AVE NW, UNIT C3, OLYMPIA, WA, 98502-4220, UNITED STATES",CHRISTOPHER RUSSO,Active
"1711 S. JACKSON, LLC",603 028 064,WA LIMITED LIABILITY COMPANY,"1945 YALE PL E, SEATTLE, WA, 98102-3610, UNITED STATES",PR CORP SERVICES INC,Active
1712 SANSON LLC,604 501 730,WA LIMITED LIABILITY COMPANY,"17417 145TH PL NE, WOODINVILLE, WA, 98072-9204, UNITED STATES",SEAN KELSEY,Active
"1717 NE ANDRESON RD., LLC",604 069 919,WA LIMITED LIABILITY COMPANY,"5505 EVERGREEN WAY, EVERETT, WA, 98203, UNITED STATES",DEBBY BURNS,Administratively Dissolved
"1730 GIBSON ROAD, LLC",603 618 894,WA LIMITED LIABILITY COMPANY,"1730 GIBSON RD, EVERETT, WA, 98204, UNITED STATES","WGK, INC.",Active
17TH & JACKSON INVESTMENT FUND LLC,602 741 458,WA LIMITED LIABILITY COMPANY,"1501 4TH AVE #1610, SEATTLE, WA, 98101, UNITED STATES",KANTOR TAYLOR NELSON & BOYD PC,Administratively Dissolved
17TH & JACKSON LLC,602 532 225,WA LIMITED LIABILITY COMPANY,"320 17TH AVE S, SEATTLE, WA, 98144, UNITED STATES",CADA EQUITIES INC,Administratively Dissolved
"1810 N. ADDISON, L.L.C.",602 984 694,WA LIMITED LIABILITY COMPANY,"303 W 33RD AVE, SPOKANE, WA, 99203, UNITED STATES",MYRON J HODGSON II CPA,Active
"1815 HUTCHINSON, LLC",602 780 872,WA LIMITED LIABILITY COMPANY,,P. JACOB YADEGAR,Voluntarily Dissolved
1818 MADISON VALLEY LLC,603 550 802,WA LIMITED LIABILITY COMPANY,"3243 107TH AVE SE, BELLEVUE, WA, 98004, UNITED STATES",REG WILLING,Administratively Dissolved
188 MADISON AVENUE LLC,604 161 854,WA LIMITED LIABILITY COMPANY,"505 FIFTH AVE S #900, SEATTLE, WA, 98104, UNITED STATES",C T CORPORATION SYSTEM,Active
"18TH JACKSON, LLC",603 158 296,WA LIMITED LIABILITY COMPANY,"11806 CLOVER CREEK DR SW, LAKEWOOD, WA, 98499, UNITED STATES",LYNDA JACKSON,Administratively Dissolved
19 SEASONS PROPERTY LLC,604 366 683,WA LIMITED LIABILITY COMPANY,"1121 E THOMAS ST, SEATTLE, WA, 98102-5828, UNITED STATES",JUSTIN ZIER,Active
19 W HARRISON LLC,603 410 998,WA LIMITED LIABILITY COMPANY,"C/O TEUTSCH PARTNERS, LLC, 2001 WESTERN AVE STE 330, SEATTLE, WA, 98121, UNITED STATES",FIKSO KRETSCHMER SMITH DIXON ORMSETH PS,Active
1900 HARRISON LLC,604 520 016,WA LIMITED LIABILITY COMPANY,"1906 HARRISON AVE NW, OLYMPIA, WA, 98502, UNITED STATES",NORMAN FALCONE,Active
"1909 HARRISON, LLC",604 138 600,WA LIMITED LIABILITY COMPANY,"6236 CEDAR FLATS RD SW, OLYMPIA, WA, 98512, UNITED STATES",ALICIA S. ELLIOTT,Active
"1919 HARRISON, LLC",602 727 102,WA LIMITED LIABILITY COMPANY,"142 SHERMAN ST NW, OLYMPIA, WA, 98501, UNITED STATES",GEORGE J NAROZONICK,Administratively Dissolved
1957 NE PAULSON RD LLC,603 066 713,WA LIMITED LIABILITY COMPANY,,RITA DELAAT,Administratively Dissolved
"1958 NELSON, L.L.C.",603 509 247,WA LIMITED LIABILITY COMPANY,"11624 SE 5TH ST, SUITE 210, BELLEVUE, WA, 98005, UNITED STATES",NATALIE CARDENAS,Active
1995 STEPHENSON FAMILY LIMITED PARTNERSHIP,601 632 328,WA LIMITED PARTNERSHIP,"10201 74TH AVE E, PUYALLUP, WA, 98373, UNITED STATES",LEROY E HART,Administratively Dissolved
"1996 WILSON, L.L.C.",601 758 918,WA LIMITED LIABILITY COMPANY,,BRIAN M WILSON,Inactive
1997 HELEN WILSON FAMILY LIMITED PARTNERSHIP,601 840 545,WA LIMITED PARTNERSHIP,,KEVIN W WILSON,Inactive
1997 JOHNSON FAMILY LIMITED PARTNERSHIP,601 790 579,WA LIMITED PARTNERSHIP,"203 E TRAVIS CT, SPOKANE, WA, 99208, UNITED STATES",PATRICIA A JOHNSON,Active
1997 VICTOR E. ANDERSON FAMILY LIMITED PARTNERSHIP,601 809 616,WA LIMITED PARTNERSHIP,,VICTOR E ANDERSON,Inactive
1998 SORENSON FAMILY LIMITED PARTNERSHIP,601 878 406,WA LIMITED PARTNERSHIP,,BRYCE HDILLE,Administratively Dissolved
1999 ANDERSON FAMILY LIMITED PARTNERSHIP,601 934 031,WA LIMITED PARTNERSHIP,,DONANDERSON,Administratively Dissolved
"19TH & MADISON DEVELOPMENT, LLC",603 408 305,WA LIMITED LIABILITY COMPANY,"4200 196TH ST SW #201, LYNNWOOD, WA, 98036, UNITED STATES",STEPHANIE JENKINS,Voluntarily Dissolved
19TH & MADISON LLC,602 169 164,WA LIMITED LIABILITY COMPANY,"159 S JACKSON ST STE 320, SEATTLE, WA, 98104-3097, UNITED STATES",VAL THOMAS,Active
1ST & MADISON ASSOCIATES L.L.C.,601 823 890,WA LIMITED LIABILITY COMPANY,,GORDON D SONDLAND,Inactive
1ST LIEUTENANT BENJAMIN F. WILSON AMERICAN LEGION POST 159,602 221 768,WA NONPROFIT CORPORATION,"18134 SW VASHON HWY, VASHON, WA, 98070, UNITED STATES",!STLIEUTENANT BENJAMIN F WILSON AMERICAN LEGION POST 159,Active
1ST WORLD LESSON,602 717 849,WA MASSACHUSETTS TRUST,"17719 PACIFIC AVE S #308, SPANAWAY, WA, 98387, UNITED STATES",AMERICAN-INTERNATIONAL BUSINESS LAW INC,Inactive
2 BROTHERS STONE MASONRY LLC,604 218 865,WA LIMITED LIABILITY COMPANY,"1007 S 5TH AVE, PASCO, WA, 99301-5714, UNITED STATES",JOSE GONZALEZ PONCE ,Active
2 HENDERSONS INVESTMENTS LLC,602 585 742,WA LIMITED LIABILITY COMPANY,"1777 S BURLINGTON BLVD #134, BURLINGTON, WA, 98233, UNITED STATES",BRANDI HENDERSON,Inactive
2 KINGS & SONS CONSTRUCTION LLC,602 830 475,FOREIGN LIMITED LIABILITY COMPANY,"942 LANTANA LN, GERVAIS, OR, 97026, UNITED STATES",CT CORPORATION SYSTEM,Terminated
2 NICKERSON LLC,602 781 955,WA LIMITED LIABILITY COMPANY,"155 108TH AVE NE STE 500, BELLEVUE, WA, 98004-5901, UNITED STATES",COLUMBIA WEST PROPERTIES INC,Active
2 SONS PLUMBING LLC,604 160 920,WA LIMITED LIABILITY COMPANY,"28105 SE 449TH ST, ENUMCLAW, WA, 98022-9285, UNITED STATES",DEBRA TVEDT,Active
2000 PARKISON-ROSS FAMILY LIMITED PARTNERSHIP,602 015 971,WA LIMITED PARTNERSHIP,,WAYNE ROSS,Inactive
2000 STEVENSON FAMILY LIMITED PARTNERSHIP,602 030 030,WA LIMITED PARTNERSHIP,,JACK D STEVENSON,Inactive
2001 MASONRY WAY 103 LLC,604 280 609,WA LIMITED LIABILITY COMPANY,"1000 E TOLEDO ST, BELLINGHAM, WA, 98229-2108, UNITED STATES",RICH WILLIAMS,Active
"2002 JOHNSON FAMILY PROPERTIES, L.L.C.",602 251 515,WA LIMITED LIABILITY COMPANY,"13618 116TH STREET CT E, PUYALLUP, WA, 98374-2473, UNITED STATES",RANDALL G JOHNSON,Active
"2004 ANDERSON, L.L.C.",602 457 545,WA LIMITED LIABILITY COMPANY,"7609 STEILACOOM BLVD SW, SUITE 300A, TACOMA, WA, 98498-6199, UNITED STATES",DEBBI ANDERSON,Active
2004 JOHNSON FAMILY LIMITED PARTNERSHIP,602 450 726,WA LIMITED PARTNERSHIP,"47 WALLACE ST, STEILACOOM, WA, 98388, UNITED STATES",HOLLY COUTURE - PRESIDENT,Administratively Dissolved
"2004 NELSON PROPERTIES, L.L.C.",602 390 655,WA LIMITED LIABILITY COMPANY,"1035 S 234TH, SEATTLE, WA, 98198, UNITED STATES",ELDRED L NELSON,Administratively Dissolved
2005 ANDERSON FAMILY LIMITED PARTNERSHIP,602 486 905,WA LIMITED PARTNERSHIP,"7609 STEILACOOM BLVD SW STE 300A, TACOMA, WA, 98498-6199, UNITED STATES",DEBBI ANDERSON,Active
"2006 HENDRICKSON, LLC",602 622 583,WA LIMITED LIABILITY COMPANY,"502 8TH ST NE #33, AUBURN, WA, 98002, UNITED STATES",DEAN WAYNE HENDRICKSON,Administratively Dissolved
2007 GIBSON FAMILY LIMITED PARTNERSHIP,602 767 026,WA LIMITED PARTNERSHIP,,JOHNGIBSON,Administratively Dissolved
2007 JOHNSON FAMILY LIMITED PARTNERSHIP,602 690 329,WA LIMITED PARTNERSHIP,,JOHN TJOHNSON,Administratively Dissolved
"2008 JACOBSON FAMILY, L.L.C.",602 872 295,WA LIMITED LIABILITY COMPANY,"5028 SUNRISE BEACH RD NW, OLYMPIA, WA, 98502, UNITED STATES",CARL ANTON EWALD JACOBSON,Active
"2008 JOHNSON & JOHNSON FAMILY, L.L.C.",602 845 633,WA LIMITED LIABILITY COMPANY,"22704 97TH AVE S, KENT, WA, 98031, UNITED STATES",BRIAN T JOHNSON,Inactive
"2008 ROBINSON FAMILY, L.L.C.",602 821 124,WA LIMITED LIABILITY COMPANY,"950 PACIFIC AVE STE 1050, TACOMA, WA, 98402, UNITED STATES",MICHAEL T TURNBULL,Inactive
"2009 JOHNSON FAMILY, L.L.C.",602 908 281,WA LIMITED LIABILITY COMPANY,"13618 116TJ ST CT E, PUYALLUP, WA, 98374, UNITED STATES",RANDALL G JOHNSON,Administratively Dissolved
2010 JACKSON STREET LLLP,603 043 352,WA LIMITED LIABILITY LIMITED PARTNERSHIP,"2407 1ST AVE STE 200, SEATTLE, WA, 98121-1311, UNITED STATES","BS&G, INC.",Active
"2012 CARLSON FAMILY, L.L.C.",603 270 113,WA LIMITED LIABILITY COMPANY,"8202 86TH AVE NW, GIG HARBOR, WA, 98332, UNITED STATES",ROBERT J CARLSON,Active
"2014 CARLSON FAMILY, L.L.C.",603 379 606,WA LIMITED LIABILITY COMPANY,"8202 86TH AVE NW, GIG HARBOR, WA, 98332, UNITED STATES",ROBERT J CARLSON,Active
"2015 BABSON CHILDREN'S, L.L.C.",603 491 912,WA LIMITED LIABILITY COMPANY,"950 PACIFIC AVE STE 1050, TACOMA, WA, 98402-4435, UNITED STATES",LLOYD ROMEO,Active
"2017 JACKSON, LLC",603 409 296,WA LIMITED LIABILITY COMPANY,"1620 WOODARD AVE NW, UNIT C3, OLYMPIA, WA, 98502-4220, UNITED STATES",CJ RUSSO,Active
"2017 SORENSON FAMILY, L.L.C.",604 173 105,WA LIMITED LIABILITY COMPANY,"9230 HORIZON LN SE, PORT ORCHARD, WA, 98367, UNITED STATES","2017 SORENSON FAMILY, LLC",Active
"2017 STEPHENSON FAMILY, L.L.C.",604 093 845,WA LIMITED LIABILITY COMPANY,"10201 74TH AVE E, PUYALLUP, WA, 98373-4029, UNITED STATES",LEROY E. HART,Active
"2017 STEPHENSON PROPERTIES, L.L.C.",604 090 853,WA LIMITED LIABILITY COMPANY,"10201 74TH AVE E, PUYALLUP, WA, 98373-4029, UNITED STATES",LEROY E HART,Active
20180227 B.C. LLC,604 223 817,WA LIMITED LIABILITY COMPANY,"5530 NORDIC WAY, FERNDALE, WA, 98248-9138, UNITED STATES",MARK LACKEY,Administratively Dissolved
2020 JACKSON STREET LLLP,603 104 357,WA LIMITED LIABILITY LIMITED PARTNERSHIP,"2407 1ST AVE STE 200, SEATTLE, WA, 98121-1311, UNITED STATES","BS&G, INC.",Active
2026 EAST MADISON LLC,602 833 257,WA LIMITED LIABILITY COMPANY,"500 UNION ST STE 625, SEATTLE, WA, 98101, UNITED STATES","PR CORP. SERVICES, INC.",Administratively Dissolved
"2026 MADISON CORNER, LLC",603 266 583,WA LIMITED LIABILITY COMPANY,"2030 E MADISON ST, SEATTLE, WA, 98122, UNITED STATES",PR CORP SERVICES INC,Active
"20375 SONATA, LLC",603 437 345,WA LIMITED LIABILITY COMPANY,"4111 E MADISON #264, SEATTLE, WA, 98112, UNITED STATES",JGB SERVICE CORPORATION,Active
2040 EAST MADISON LLC,602 818 327,WA LIMITED LIABILITY COMPANY,,PR CORP SERVICES INC,Administratively Dissolved
"2041 MADISON GROUP, LLC",602 739 076,WA LIMITED LIABILITY COMPANY,"1414 32ND AVE S, SEATTLE, WA, 98144-3916, UNITED STATES",LARRY J LANDRY,Administratively Dissolved
"2042 E HARRISON ST, LLC",604 465 670,WA LIMITED LIABILITY COMPANY,"3225 MCLEOD DR STE 100, LAS VEGAS, NV, 89121-2257, UNITED STATES",ANDERSON LAW GROUP PLLC,Active
"2046 E. HARRISON, L.L.C.",603 393 607,WA LIMITED LIABILITY COMPANY,"3856 TACOMA AVE S, TACOMA, WA, 98418-6740, UNITED STATES",ROBERT LEE SUMMERS,Active
205 NICKERSON L.L.C.,601 995 797,WA LIMITED LIABILITY COMPANY,,ANDREW SCOTT,Inactive
2051 EAST MADISON LLC,602 684 408,WA LIMITED LIABILITY COMPANY,"500 UNION ST STE 625, SEATTLE, WA, 98101, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Administratively Dissolved
