Business Name,Business ID,Business Type,Principal Business Office Address,Registered Agent Name,Fiscal Year Month,Status
4 SEASONS CARETAKING SERVICES LLC,339085,Domestic Limited Liability Company,"144 Old Farm Road, South Londonderry, VT, 05155, USA",EMILY UNDERWOOD,12,Active
"4 SEASONS FENCE COMPANY, INC.",127491,Domestic Profit Corporation,"1126 CARPENTER HILL RD., BENNINGTON, VT, 05201, USA",LIA DIAMOND,12,Dissolved
4 SEASONS FOAM INSULATORS OF NEW ENGLAND INC.,83165,Foreign Profit Corporation,"63 EMERALD ST., STE 602, KEENE, NH, 03431, USA",ELANA S BARON ESQ,12,Terminated
4 SEASONS HOME INSPECTIONS LLC,18772,Domestic Limited Liability Company,"2986 CENTERVILLE RD, HYDE PARK, VT, 05655, USA",ALAN THORNDIKE,12,Active
4 SEASONS PROPERTY MAINTENANCE,318008,Trade Name,"445 swanton raod, saint albans, VT, 05478, USA",sean evans,,Active
4 SEASONS SPORTS,236338,Trade Name,"RD 1 BOX 600, SHELDON, VT, 05483, USA",NONE,,Inactive
4 SEASONS TAXI,263852,Trade Name,"124 PLATTSBURGH AVE, BURLINGTON, VT, 05401, USA",NONE,,Inactive
4 SEASONS TAXI LLC,17295,Domestic Limited Liability Company,"135 WAVERLY CIRCLE, COLCHESTER, VT, 05446, USA",TED CORBETT,12,Terminated
4-EVER FIT PERSONAL TRAINING,284942,Trade Name,"331 REYNOLDS RD, GEORGIA, VT, 05478, USA",NONE,,Expired
4-SEASONS GREENHOUSE,259787,Trade Name,"ROUTE 7, BOX 195, NO CLARENDON, VT, 05759, USA",NONE,,Inactive
4-SEASONS ROOFING PAINTING,267067,Trade Name,"245 MANHATTEN DR, BURLINGTON, VT, 05401, USA",NONE,,Inactive
"47 SUSIE WILSON ROAD CONDOMINIUM OWNERS' ASSOCIATION, INC.",88294,Domestic Non-profit Corporation,NONE,KEN PETRIE,,Inactive
"486 SANDERSON ROAD, LLC",24787,Domestic Limited Liability Company,"486 SANDERSON ROAD, MILTON, VT, 05468, USA","Vermont Attorney Registered Agent Services, LLC",12,Dissolved
486-488 SANDERSON ROAD CONDOMINIUM OWNERS ASSOCIATION,348064,Trade Name,"759 Woods Hollow Road, Westford, VT, 05494, USA",Jamie Olson,,Active
5 SEASONS CAR WASH,301325,Trade Name,"14 Main St., Ludlow, VT, 05149, USA",Chris Devereux,,Active
"500 PERSONNEL SERVICES, THE",273514,Trade Name,"315 ST. PAUL STREET, BURLINGTON, VT, 05401, USA",NONE,,Inactive
"53 SUZIE WILSON ROAD, LLC",280745,Domestic Limited Liability Company,"84 Bower Street, South Burlington, VT, 05403, USA","DOUGLAS K. RILEY, ESQ.",12,Active
53-55 HARRISON AVENUE CONDOMINIUM ASSOCIATION THE,158724,Trade Name,"159 REED ROAD, VERGENNES, VT, 05491, USA",NONE,,Expired
"53-57 MUNSON WAY, LLC",33281,Domestic Limited Liability Company,"85 SHUNPIKE ROAD, WILLISTON, VT, 05495, USA",TRUST COMPANY OF VERMONT,12,Active
620 RICHARDSON ROAD LLC,337448,Domestic Limited Liability Company,"1049 Bay Road, Sharon, MA, 02067, USA",MELVIN B NEISNER JR PC,12,Terminated
"7 HARRISON PROPERTY MANAGEMENT, INC.",64873,Foreign Profit Corporation,"550 MAMARONECK AVE, HARRISON, NY, 10528, USA","THE PRENTICE-HALL CORPORATION SYSTEM, INC.",12,Inactive
75 HARRISON LLC,37486,Domestic Limited Liability Company,"12 Tenney Brook Court, RUTLAND, VT, 05701, USA",FIRST SERVE LLC,12,Active
77 NASON STREET SOLAR ARRAY,317272,Trade Name,"7506 Ethan Allen Highway, St A, VT, 05478, USA",Gregg Laber,,Active
"77 NASON, LLC",36325,Domestic Limited Liability Company,"7506 ETHAN ALLEN HIGHWAY, ST ALBANS, VT, 05478, USA",JOSHUA LABER,12,Active
"78 HARRISON AVE. ST. JOHNSBURY, LLC",883,Domestic Limited Liability Company,"932 WINN HIGH DRIVE, DANVILLE, VT, 05828, USA",MARGARET F LARNEY,12,Dissolved
"79 GIBSON DRIVE, LLC",301693,Domestic Limited Liability Company,"79 Gibson Drive, Enosburg Falls, VT, 05450, USA",BRIAN GREEN,12,Terminated
802 MASONRY LLC,318828,Domestic Limited Liability Company,"451 Barnett Rd, East Calais, VT, 05650, USA",benji bonanno,12,Terminated
"90 MADISON DRIVE, LLC",338060,Domestic Limited Liability Company,"39 Hanon Drive, Williston, VT, 05495, USA","CHRISTOPHER D. EKMAN, ESQ.",12,Terminated
"90-92 FERGUSON AVENUE, LLC",8894,Domestic Limited Liability Company,"136 EAST ALLEN ST, WINOOSKI, VT, 05404, USA",THOMAS DETTRE,12,Dissolved
"96 DICKINSON AVENUE, LLC",26854,Domestic Limited Liability Company,"613 GRANGE HALL ROAD, ENOSBURG, VT, 05450, USA",JESSE D. BUGBEE,12,Terminated
A & J AND SONS TRANSPORT,242051,Trade Name,"RFD 1, BOX 1, BARTON, VT, 05822, USA",NONE,,Inactive
A S CLARK & SONS,364548,General Partnership,"River Road, Dummerston, VT, 05345, USA",Winthrop O Clark,,Active
A SEASON FOR QUILTING LLC,34777,Domestic Limited Liability Company,"54 GREAVES ROAD, HARDWICK, VT, 05843, USA",THERESE GREAVES,12,Active
"A-SON'S CONSTRUCTION, INC.",89728,Foreign Profit Corporation,"3100 S Tillotson Ave, MUNCIE, IN, 47302, USA",C T CORPORATION SYSTEM,12,Terminated
A. COOPER & SON LTD.,46711,Foreign Profit Corporation,"4844 DE COURTRAI AVE, MONTREAL, H3W1A",ERNEST WHEELER,12,Inactive
A. F. SANBORN & SON,150088,Trade Name,"MAIN STREET, CHELSEA, VT, 05038, USA",NONE,,Inactive
"A. G. ANDERSON CO., INC.",60028,Domestic Profit Corporation,"46 MAQUAM SHORE, SWANTON, VT, 05488, USA",RICHARD E DAVIS JR,12,Terminated
"A. G. EDWARDS & SONS, LLC",25837,Foreign Limited Liability Company,"ONE NORTH JEFFERSON AVE., ST. LOUIS, MO, 63103, USA",CORP SERVICE COMPANY,12,Cancelled
"A. H. HARRIS & SONS, INCORPORATED",51076,Foreign Profit Corporation,"433 S. MAIN STREET #202, W.HARTFORD, CT, 06110, USA",C T CORPORATION SYSTEM,12,Withdrawn
A. HUNTER JOHNSON PHOTOGRAPHY LLC,299545,Domestic Limited Liability Company,"37 Lochmoor Road, Fairfax, VT, 05454, USA",Andrew Johnson,12,Active
A. JOHNSON CO. (THE),150119,Trade Name,"RD #2, BRISTOL, VT, 05443, USA",NONE,,Inactive
A. JOHNSON CO. THE,5,General Partnership,"990 RTE 116, BRISTOL, VT, 05443, USA",KENNETH JOHNSON,,Expired
A. JOHNSON CO. THE,216870,Trade Name,"VT ROUTE 116, BRISTOL, VT, 05443, USA",NONE,,Inactive
"A. JOHNSON CO., LLC THE",14906,Domestic Limited Liability Company,"995 SOUTH RTE 116, BRISTOL, VT, 05443, USA",BENJAMIN W PUTNAM ESQ,12,Active
"A. JOHNSON CO., THE",214862,Trade Name,"BRISTOL, VT, 05443, USA",NONE,,Inactive
"A. L. PEPIN & SONS, INC.",109472,Domestic Profit Corporation,"39 KINGSWOOD DRIVE, MILTON, VT, 05468, USA",ALFRED PEPIN,12,Inactive
"A. L. TYLER & SONS, INC.",53591,Domestic Profit Corporation,"175 CANAL STREET, BRATTLEBORO, VT, 05301, USA",KELLY TYLER,7,Active
"A. LAUGENI & SON, INC.",81627,Foreign Profit Corporation,"370 ARDALE STREET, WEST HAVEN, CT, 06516, USA",CORPORATION SERVICE COMPANY,12,Inactive
"A. R. BROOKS & SONS, INC.",68315,Domestic Profit Corporation,"1529 BRONSON RD, ST ALBANS, VT, 05478, USA",ROBERT BROOKS,12,Active
"A. ROTONDO & SONS, INC.",62014,Foreign Profit Corporation,"PO BOX 588, AUBURN, WA, 98071, USA",C T CORPORATION SYSTEM,9,Withdrawn
A. TEDESCO MASONRY,336107,Trade Name,"79 PLAIN STREET, STE 4, RUTLAND, VT, 05701, USA",Francesca Bove,,Active
A. THIBAULT & SONS LLC,10329,Domestic Limited Liability Company,"95 RIVERMONT TERRACE, BURLINGTON, VT, 05408, USA",ANDRE J THIBAULT,12,Terminated
A. W. EASTMAN AND SON BUILDERS,179065,Trade Name,"RFD 1, BOX 150 B, WINDSOR, VT, 05089, USA",NONE,,Inactive
"A. W. FARRELL & SON, INC.",76006,Foreign Profit Corporation,"3761 EAST LAKE ROAD, DUNKIRK, NY, 14048, USA",C T CORPORATION SYSTEM,12,Withdrawn
"A. W. FARRELL & SON, INC.",345904,Foreign Profit Corporation,"3649 Lake Shore Drive, Dunkirk, NY, 14048, USA",REGISTERED AGENTS INC.,12,Active
"A. W. FRIZZELL & SONS, INC.",60619,Domestic Profit Corporation,"ROUTE 4 WEST, WOODSTOCK, VT, 05091, USA","PHILIP A, FRIZZELL, SR.",12,Inactive
"A. WHITE & SON, INC.",300417,Domestic Profit Corporation,"4735 Williston Rd, Suite 40, Williston, VT, 05495, USA",JIM GOLDSBURY,12,Terminated
"A. WILSON & ASSOCIATES, INC.",131168,Domestic Profit Corporation,"308 Kelsy Lane, Salisbury, VT, 05769, USA",ALLEN WILSON,12,Active
A.C. TROPEANO AND SONS PEST SOLUTIONS,143232,Name Reservation,"96 PARKER ROAD, WEST GLOVER, VT, 05875, USA",NONE,,Expired
"A.D. HENDERSON FOUNDATION, INC. THE",58085,Foreign Non-profit Corporation,"515 East Las Olas Blvd. #930, FT. LAUDERDALE, FL, 33301, USA",EDWARD A. GALE,,Active
"A.G. EDWARDS & SONS, INC.",47531,Foreign Profit Corporation,"ONE NORTH JEFFERSON, ST LOUIS, MO, 63103, USA",C T CORPORATION SYSTEM,2,Withdrawn
A.H. HARRIS & SONS,357748,Trade Name,"6 Ethan Allen Avenue, South Burlington, VT, 05403, USA",CORPORATION SERVICE COMPANY,,Active
"A.H. HARRIS & SONS, LLC",346055,Foreign Limited Liability Company,"3400 Cumberland Boulevard, Atlanta, GA, 30339, USA",CORPORATION SERVICE COMPANY,12,Cancelled
"A.M. ROBINSON, LLC",345029,Domestic Limited Liability Company,"145 Pine Haven Shores Rd. #1000A, Shelburne, VT, 05482, USA",NORTHWEST REGISTERED AGENT LLC,12,Active
"A.O. PHANEUF & SON FUNERAL HOME, INC.",340270,Foreign Profit Corporation,"243 Hanover Street, Manchester, NH, 03101, USA",L RAYMOND MASSUCCO ESQ,12,Active
A.P. REALE AND SONS INC.,78925,Foreign Profit Corporation,"3323 STATE RT 74/PO 189, TICONDEROGA, NY, 12883, USA",MARY JO REALE TURNER,12,Inactive
"A.P. WHITAKER & SONS, INC.",60892,Foreign Profit Corporation,"652 WEST CENTER STREET, W. BRIDGEWATER, MA, 02379, USA",GEORGE HILL,3,Inactive
A.S. CLARK & SONS,54,General Partnership,"PO BOX 187, NEWFANE, VT, 05345, USA",WINTHROP O CLARK,,Expired
A.S. CLARK & SONS,158497,Trade Name,"RFD BOX 131, NEWFANE, VT, 05345, USA",NONE,,Inactive
A.S. CLARK & SONS,284735,General Partnership,"PO BOX 187, NEWFANE, VT, 05345, USA",WINTHROP O. CLARK,12,Expired
A.T. CAMPNEY MASONRY,214579,Trade Name,"155 DORR DR., BOX 9, RUTLAND, VT, 05701, USA",NONE,,Inactive
"A.T. CAMPNEY MASONRY, INC.",112786,Domestic Profit Corporation,"135 N. MAIN ST. STE. 9, RUTLAND, VT, 05701, USA",ARNOLD CAMPNEY,12,Inactive
"A.W. CLARK, JR. & SON, INC.",107845,Domestic Profit Corporation,"131 CLARK RD., WAITSFIELD, VT, 05673, USA",RICHARD DARBY,12,Active
"A.W. EASTMAN & SON, BUILDER, LTD.",96726,Domestic Profit Corporation,"3052 BROWNSVILLE-HART RD, WEST WINDSOR, VT, 05089, USA",LEE M. EASTMAN,12,Inactive
"A33 SEASONS, LLC",364584,Domestic Limited Liability Company,"5Q Sportscenter Village Way, Dover, VT, 05356, USA",ROBERT M FISHER ESQ,12,Active
"AARDSON ELECTRIC, INC.",94476,Domestic Profit Corporation,"SO RYALTON, VT, 05068, USA",GARY RICHARDSON,9,Inactive
"AARON & SON'S HAULING, INC.",109477,Domestic Profit Corporation,"BEN-MONT AVE, BENNINGTON, VT, 05201, USA",MARGARET L. DAVIS,12,Dissolved
AARON & SONS,258273,Trade Name,"25 Greens Hill Lane, Rutland, VT, 05701, USA",C T CORPORATION SYSTEM,,Active
AARON & SONS,271381,Trade Name,"LONG TRAIL ROAD, BENNINGTON, VT, 05201, USA",NONE,,Inactive
"AARON + SONS HAULING, INC.",128357,Domestic Profit Corporation,"291 HARBOUR RD., WOODFORD, VT, 05201, USA",MARGARET L. DAVIS,12,Inactive
ABC PERSONALIZED BOOKS,221881,Trade Name,"POB 573, ST. ALBANS, VT, 05478, USA",NONE,,Inactive
ABC SEASONAL PROPERTY SERVICES,194867,Trade Name,"PO BOX 921, ENOSBURG, VT, 05450, USA",NONE,,Inactive
ABEK'S & SONS,198100,Trade Name,"3 TANGLEWOOD DR, ST ALBANS, VT, 05478, USA",NONE,,Inactive
"ABEK'S & SONS, INC.",125553,Domestic Profit Corporation,"3 TANGLEWOOD DR, ST ALBANS, VT, 05478, USA",WILLIAM DUNN,12,Inactive
ABELSON ECHO LAKE LIMITED PARTNERSHIP,40043,Domestic Limited Partnership,"640 DELANCEY RD, SUDBURY, VT, 05753, USA","BENJAMIN W. PUTNAM, ESQ.",,Active
ABENAKI CONSTRUCTION-MISSISQUOI MASONRY,227893,Trade Name,"PO BOX 5862, BURLINGTON, VT, 05402, USA",NONE,,Inactive
"ABERNETHY-CLARKSON-WRIGHT, INC.",45538,Domestic Profit Corporation,"2 CHURCH STREET, BURLINGTON, VT, 05401, USA","W.L. WRIGHT, PRES.",1,Inactive
ABRAMSON LLC,33575,Domestic Limited Liability Company,"151 STONEBROKE ROAD, LEICESTER, VT, 05733, USA","UNITED STATES CORPORATION AGENTS, INC",12,Dissolved
"ACCESS ONE, INC.",72201,Foreign Profit Corporation,"820 W. JACKSON BLVD. SUITE 650, CHICAGO, IL, 60607, USA",CORPORATION SERVICE COMPANY,12,Active
"ACORDIA PERSONAL INSURANCE SERVICES, INC.",65737,Foreign Profit Corporation,"6720 PARKDALE PLACE, INDIANAPOLIS, IN, 46254, USA",C T CORPORATION SYSTEM,12,Withdrawn
ACS REGIONAL COMMITTEES ON TRAUMA INC.,92767,Foreign Non-profit Corporation,"633 N ST CLAIR ST 27 FL, CHICAGO, IL, 60611, USA",CORPORATION SERVICE COMPANY,,Active
ACT 1 PERSONNEL SERVICES,272804,Trade Name,"1999 W. 190TH ST., TORRANCE, CA, 90504, USA",CORPORATION SERVICE COMPANY,,Active
"ACTION PERSONNEL AGENCY, INC.",85255,Foreign Profit Corporation,"3478 BUSKIRK AVENUE #110, PLEASANT HILL, CA, 94523, USA",CORPORATION SERVICE COMPANY,12,Inactive
ACTUARIAL SERVICES OF ADDISON COUNTY,240056,Trade Name,"3 CHIPMAN HTS, MIDDLEBURY, VT, 05753, USA",NONE,,Inactive
ACUSON CORPORATION,70536,Foreign Profit Corporation,"1220 CHARLESTON RD, MOUNTAIN VIEW, CA, 94039, USA",C T CORPORATION SYSTEM,12,Withdrawn
ADAM & SONS CARPENTRY,320792,Trade Name,"155 Church St, Orwell, VT, 05763, USA",adam sears,,Active
ADAM B. JACKSON TRUCK & EQUIPMENT REPAIRS,236205,Trade Name,"MAIN ST., PUTNEY, VT, 05346, USA",NONE,,Inactive
ADAMS & SON BUILDING AND REMODELING,257052,Trade Name,"1503 COLTON RD, ENOSBURG FALLS, VT, 05450, USA",NONE,,Inactive
ADAMS FOUR SEASON FARM,285549,Trade Name,"1192 OLD STAGE RD, WESTFORD, VT, 05494, USA",Judith Adams,,Active
ADAMS MASONRY LLC,37834,Domestic Limited Liability Company,"168 rt 100, weston, VT, 05161, USA","JAMES A YOUNG, PC",12,Active
"ADAMS PARSONAGE, LLC",280548,Domestic Limited Liability Company,"11 Eastview Street, Lowell, MA, 01852, USA",STEVEN R. SAUNDERS,12,Active
ADAMS' ALL SEASON CARE,158788,Trade Name,"401 Branch Rd, West Halifax, VT, 05358, USA",WILLIAM A ADAMS JR,,Active
ADAMSON FARM LLC,10136,Domestic Limited Liability Company,"309 SPRING HILL RD, SO LONDONDERRY, VT, 05155, USA",WILLIAM E DAKIN JR,12,Active
"ADB MASONRY & RESTORATION, INC.",316695,Domestic Profit Corporation,"598 Mad Tom Road, East Dorset, VT, 05253, USA",Alex Bourn,12,Terminated
"ADDISON ACRES, LLC",38094,Domestic Limited Liability Company,"27 MAIN ST, VERGENNES, VT, 05491, USA",ROBERT B. AUSTIN,12,Active
ADDISON ADVISORS LLC,34899,Domestic Limited Liability Company,"5 COURT STREET, MIDDLEBURY, VT, 05753, USA",MATTHEW P WOOTTEN,12,Active
ADDISON ADVISORS LLC,143851,Name Reservation,"SAN JOSE, CA, 95124, USA",NONE,,Expired
ADDISON AEROWORKS,182054,Trade Name,"BOX 288, MIDDLEBURY, VT, 05753, USA",NONE,,Inactive
ADDISON AGENCY,172065,Trade Name,"ROUTE 17, NEW HAVEN, VT, 05472, USA",NONE,,Inactive
"ADDISON ALLIES NETWORK, INC.",346667,Domestic Non-profit Corporation,"58 Seminary St. Ext, Middlebury, VT, 05753, USA","Brice Simon, Esq.",,Active
ADDISON ANTIQUES,219810,Trade Name,"19 CHIPMAN PARK, MIDDLEBURY, VT, 05753, USA",NONE,,Inactive
ADDISON ASSOCIATES,153191,Trade Name,"BRIDPORT, VT, 05734, USA",NONE,,Inactive
ADDISON ASSOCIATES IN OBSTETRICS AND GYNECOLOGY,274214,Trade Name,"115 PORTER DRIVE, MIDDLEBURY, VT, 05753, USA",NONE,,Expired
"ADDISON ASSOCIATES IN OBSTETRICS AND GYNECOLOGY, INC.",85086,Domestic Profit Corporation,"116 PORTER DRIVE, MIDDLEBURY, VT, 05753, USA","JAMES MALCOLM III, M.D.",6,Dissolved
ADDISON BIBLE FELLOWSHIP,47395,Domestic Non-profit Corporation,"RD 1, BOX 344-A, VERGENNES, VT, 05491, USA",TERRY PHILLIPS,,Inactive
ADDISON BOOKKEEPING SERVICES,223879,Trade Name,"PO BOX 136/LOVERS LN, BRISTOL, VT, 05443, USA",NONE,,Inactive
ADDISON BOOKS,217692,Trade Name,"700 VT RTE 17 W, ADDISON, VT, 05491, USA",NONE,,Expired
"ADDISON BROADCASTING COMPANY, INC.",120726,Domestic Profit Corporation,"656 EXCHANGE ST, MIDDLEBURY, VT, 05753, USA",ED FLANAGAN,5,Inactive
"ADDISON BROADCASTING, INC.",67180,Domestic Profit Corporation,"RT. #7 SOUTH, MIDDLEBURY, VT, 05753, USA",MARK BRADY,6,Inactive
ADDISON BUILDERS,273100,Trade Name,"ROUTE 7, FERRISBURGH, VT, 05456, USA",NONE,,Inactive
"ADDISON CAPITAL PARTNERS, LLC",13052,Domestic Limited Liability Company,"PO BOX 80, BRISTOL, VT, 05443, USA",Gravel & Shea PC,12,Dissolved
"ADDISON CAPITAL PARTNERS, LLC",16008,Foreign Limited Liability Company,"186 COLLEGE STREET, FL4, BURLINGTON, VT, 05401, USA",Gravel & Shea PC,12,Cancelled
"ADDISON CENTRAL EDUCATIONAL ENDOWMENT FUND, INC.",47695,Domestic Non-profit Corporation,"P.O. BOX 146, MIDDLEBURY, VT, 05753, USA",SARA T MARSHALL,,Inactive
"ADDISON CENTRAL TEENS & FRIENDS, INC.",78160,Domestic Non-profit Corporation,"77 Mary Hogan Drive, MIDDLEBURY, VT, 05753, USA",EMILY J. JOSELSON,,Active
ADDISON COMMUNITY ACTION,272995,Trade Name,"ROUTE 7, BOX 165, MIDDLEBURY, VT, 05753, USA",NONE,,Inactive
ADDISON COMMUNITY ACTION,290730,Trade Name,"255 South Champlain Street, Burlington, VT, 05401, USA",Jan F Demers,,Active
ADDISON COMMUNITY ACTION EMERGENCY FOOD SHELF,290727,Trade Name,"255 South Champlain Street, Burlington, VT, 05401, USA",Jan F Demers,,Active
ADDISON COMMUNITY ACTION FOOD SHELF,290729,Trade Name,"MIDDLEBURY, VT, USA",NONE,,Expired
"ADDISON COMMUNITY ATHLETICS FOUNDATION, INC.",92769,Domestic Non-profit Corporation,"3 Court Street, Middlebury, VT, 05753, USA","THE VERMONT COMMUNITY FOUNDATION, INC.",,Active
ADDISON COMMUNITY FOOD SHELF,287507,Trade Name,"282 Boardman Street, Suite 1A, MIDDLEBURY, VT, 05753, USA",Addison County Community Action Group Inc,,Active
