Entity ID,Entity Name,City,Type,Status
017 - 493,"A. F. Speed and Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
034 - 556,A. G. Mitchell & Son Inc.,"RAINSVILLE, AL",Domestic Corporation,Exists
777 - 791,"A. H. Niolon & Son, Inc.","MERIDIAN, MS",Foreign Corporation,Withdrawn
498 - 520,"Al Evans & Son Marine Contractors, LLC","MOBILE, AL",Domestic Limited Liability Company,Exists
945 - 876,"Alex Lyon & Son Sales Managers & Auctioneers, Inc.","BRIDGEPORT, NY",Foreign Corporation,Exists
014 - 241,"Alsey C. Parker & Son Engineers, Inc.","TUSCALOOSA, AL",Domestic Corporation,Previous Name
787 - 675,"Alvin Reid & Son Homebuilders, Inc.","DECATUR, AL",Domestic Corporation,Dissolved
575 - 256,"ANDERSON AND SON CLEARING, INC.","Dothan, AL",Foreign Corporation,Registered Name
038 - 490,"Anderson & Son, Inc.","FOLEY, AL",Domestic Corporation,Exists
575 - 256,"ANDERSON AND SON, INC.","Dothan, AL",Foreign Corporation,Exists
764 - 262,"Angelo Lazzari & Son, Inc.","DAPHNE, AL",Domestic Corporation,Dissolved
939 - 944,"A. O. Hardee & Son, Inc.","LITTLE RIVER, SC",Foreign Corporation,Exists
193 - 117,"Archer & Son Cabinets, Inc.","GARDENDALE, AL",Domestic Corporation,Exists
750 - 513,Arthur Guinness Son & Co. Brewing Corporation,"MONTGOMERY, AL",Domestic Corporation,Dissolved
754 - 777,"Arthur Holk & Son, Inc.","GULF SHORES, AL",Domestic Corporation,Dissolved
179 - 450,"Ashberry & Son Landclearing, Inc.","OPP, AL",Domestic Corporation,Exists
533 - 719,"Askew & Son Contracting, LLC",Not Provided,Domestic Limited Liability Company,Exists
906 - 083,"Atkins & Son, Inc.","COLUMBUS, GA",Foreign Corporation,Exists
510 - 875,A1 Sister and Son Storage LLC,Not Provided,Domestic Professional Limited Liability Company,Exists
148 - 762,"Bain & Son, Inc.","ORANGE BEACH, AL",Domestic Corporation,Exists
938 - 641,"Baskervill & Son, Inc.","RICHMOND, VA",Foreign Corporation,Registered Name
938 - 641,"Baskervill & Son, PC","RICHMOND, VA",Foreign Corporation,Exists
712 - 288,"Bass & Son Construction Co., Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
712 - 290,"Bass & Son Realty Company, Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
018 - 156,"B. C. Tanner & Son Pecan Co., Inc.","MOBILE, AL",Domestic Corporation,Dissolved
232 - 582,"Bear & Son, Inc.","JACKSONVILLE, AL",Domestic Corporation,Exists
044 - 111,"Beck & Son Plumbing Company, Inc.","NORTHPORT, AL",Domestic Corporation,Exists
090 - 704,"Belcher & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
657 - 743,"Bess & Son, L.L.C.","SEALE, AL",Domestic Limited Liability Company,Exists
245 - 244,"B G & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
495 - 378,"Bia-Son Coating, LLC","GROVE HILL, AL",Domestic Limited Liability Company,Exists
086 - 251,"Bill Lykens & Son Welding Co., Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
037 - 444,"Bill Tidwell & Son Trucking, Inc.","HALEYVILLE, AL",Domestic Corporation,Previous Name
143 - 637,"Billy Mac & Son, Inc.","HUEYTOWN, AL",Domestic Corporation,Previous Name
720 - 979,Bird & Son Sales Corp.,"EAST WALPOLE, MA",Foreign Corporation,Withdrawn
665 - 314,"BJ & Son Trucking, L.L.C.","CLAYTON, AL",Domestic Limited Liability Company,Exists
244 - 597,"Blackmon & Son Construction Company, Inc.","GLENWOOD, AL",Domestic Corporation,Dissolved
110 - 822,"Blackmon & Son Trucking, Inc.","GUNTERSVILLE, AL",Domestic Corporation,Dissolved
268 - 994,"Blazer & Son Tree Service, LLC","BROOKWOOD, AL",Domestic Limited Liability Company,Dissolved
130 - 730,"Boothe & Son, Inc.","BUHL, AL",Domestic Corporation,Dissolved
680 - 150,"Boozer & Son Construction, L.L.C.","SYLVANIA, AL",Domestic Limited Liability Company,Exists
284 - 206,Borath & Son Inc,"JASPER, AL",Domestic Corporation,Exists
052 - 076,"Box And Son Logging Company, Inc.","ADDISON, AL",Domestic Corporation,Dissolved
047 - 382,"Bradford & Son Collision Center, Inc","ATHENS, AL",Domestic Corporation,Exists
692 - 020,"Braggs & Son Enterprises, L.L.C.","RANBURNE, AL",Domestic Limited Liability Company,Exists
346 - 118,Bridges & Son II Empire LLC,Not Provided,Domestic Limited Liability Company,Exists
611 - 883,"Brittany Point SPE - Ralph Huntley and Son, LLC","PEABODY, MA",Foreign Limited Liability Company,Exists
329 - 008,Broadhead and Son Stump Grinding LLC,Not Provided,Domestic Limited Liability Company,Exists
412 - 084,"Brock and Son, L.L.C.","MADISON, AL",Domestic Limited Liability Company,Exists
230 - 482,"Brooks & Son Construction, Inc.","ELKMONT, AL",Domestic Corporation,Exists
412 - 220,Brooks & Son Construction Limited Liability Company,"MONTGOMERY, AL",Domestic Limited Liability Company,Exists
684 - 509,"Brooks and Son Enterprise, LLC","LAFAYETTE, AL",Domestic Limited Liability Company,Dissolved
155 - 365,"Brown & Son Construction, Inc.","MONTGOMERY, AL",Domestic Corporation,Exists
719 - 752,"Brown and Son, Incorporated","BOAZ, AL",Domestic Corporation,Previous Name
198 - 028,"Brown and Son Transport, Inc. of Huntsville","HUNTSVILLE, AL",Domestic Corporation,Exists
288 - 137,"Bubba & Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
129 - 572,"Buffett & Son, Inc.","MONTGOMERY, AL",Domestic Corporation,Dissolved
034 - 646,"Burgess & Son Builders, Inc.","MT BROOK, AL",Domestic Corporation,Exists
425 - 765,"Burke & Son, LLC","JASPER, AL",Domestic Limited Liability Company,Exists
226 - 346,"Burks & Son Pool Co., Inc.","CULLMAN, AL",Domestic Corporation,Exists
461 - 976,"Bussey & Son, LLC","PHENIX CITY, AL",Domestic Limited Liability Company,Exists
669 - 826,"Butler & Son, L.L.C.","NEW HOPE, AL",Domestic Limited Liability Company,Exists
501 - 713,"Butler & Son, Ltd.","NEW HOPE, AL",Domestic Limited Partnership,Merged
061 - 826,"B. W. Capps & Son, Inc.","OPELIKA, AL",Domestic Corporation,Exists
020 - 145,"B. W. Wilson & Son, Inc.","GROVE HILL, AL",Domestic Corporation,Dissolved
128 - 214,"C & Son, Inc.","GARDENDALE, AL",Domestic Corporation,Dissolved
851 - 119,"C. Arnold & Son, Inc.","CULLMAN, AL",Foreign Corporation,Revoked
770 - 869,"C. MERCHANT & SON TRUCKING, INC.","CHICKASAW, AL",Domestic Corporation,Dissolved
294 - 094,C Paige Trucking and Son LLC,"NORTHPORT, AL",Domestic Limited Liability Company,Exists
159 - 692,"Cal-Son Industries, Inc., a close corporation","NORTHPORT, AL",Domestic Corporation,Previous Name
227 - 211,"Calametti & Son Electrical Services, Inc.","FAIRHOPE, AL",Domestic Corporation,Exists
239 - 441,"Callahan & Son Builders, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
399 - 403,Calvin & Son LLC,Not Provided,Domestic Professional Limited Liability Company,Exists
612 - 065,Car Son Cap CHVY L.L.C.,"MCLEAN, VA",Foreign Limited Liability Company,Withdrawn
670 - 276,Car Son Cap Chvy L.L.C.,"MONTGOMERY, AL",Domestic Limited Liability Company,Dissolved
605 - 721,"Car Son Iron II, L.L.C.","MCLEAN, VA",Foreign Limited Liability Company,Exists
605 - 720,Car Son Iron L.L.C.,"MCLEAN, VA",Foreign Limited Liability Company,Exists
143 - 937,"Carpenter & Son Construction, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
121 - 147,"Carpenter & Son, Inc.","MUSCLE SHOALS, AL",Domestic Corporation,Previous Name
367 - 030,"Carpenter's Son Building & Repair, LLC",Not Provided,Domestic Limited Liability Company,Dissolved
657 - 587,"Carpenter's Son, L.L.C.","JASPER, AL",Domestic Limited Liability Company,Dissolved
358 - 739,CASH AND SON TRANSPORT LLC,Not Provided,Domestic Limited Liability Company,Exists
254 - 004,"Castillos & Son Trucking, Corp.","SPRUCE PINE, AL",Domestic Corporation,Dissolved
285 - 467,"Cato's & Son, LLC","PORT BYRON, IL",Domestic Limited Liability Company,Exists
720 - 790,C. E. Bussey & Son Inc.,"MOBILE, AL",Domestic Corporation,Exists
789 - 238,"C. E. Robinson and Son Construction Company, Inc.","MOBILE, AL",Domestic Corporation,Dissolved
015 - 539,"Centilli & Son, LLC","CROPWELL, AL",Domestic Limited Liability Company,Exists
851 - 139,"C. H. Guenther & Son, Incorporated","SAN ANTONIO, TX",Foreign Limited Liability Company,Previous Name
851 - 139,C. H. Guenther & Son LLC,"SAN ANTONIO, TX",Foreign Limited Liability Company,Exists
425 - 958,"Chambers and Son Construction, LLC","WOODVILLE, AL",Domestic Limited Liability Company,Exists
192 - 465,"Chambers & Son Masonry, Inc.","TUSCALOOSA, AL",Domestic Corporation,Dissolved
889 - 587,"Chancellor & Son, Inc.","CORDOVA, TN",Foreign Corporation,Exists
589 - 324,CHARLES & SON LOGISTICS LLC,Not Provided,Domestic Limited Liability Company,Exists
140 - 249,"Charles Perkins & Son Woodworks, Inc.","HOLT, AL",Domestic Corporation,Dissolved
934 - 345,"Charles W. Merriam & Son, Inc.","SCHENECTADY, NY",Foreign Corporation,Exists
795 - 106,"Chas. B. Silver & Son, Incorporated","HAVRE DE GRACE, MD",Foreign Corporation,Previous Name
794 - 940,"Chas. F. Smith & Son, Inc.","DAYTON, OH",Foreign Corporation,Withdrawn
794 - 946,"Chas. F. Smith & Son, Inc.","DAYTON, OH",Foreign Corporation,Withdrawn
705 - 121,"Chas. M. Allen & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
304 - 388,Christian and Son L.L.C.,"HANCEVILLE, AL",Domestic Limited Liability Company,Exists
851 - 435,Chubb & Son Inc.,"NEW YORK, NY",Foreign Corporation,Exists
812 - 118,"C. J. Williamson & Son, Inc.","FLORENCE, AL",Domestic Corporation,Previous Name
763 - 022,"C. K. Knox and Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
701 - 314,"C. L. Adcock & Son, Inc.","FAIRFIELD, AL",Domestic Corporation,Dissolved
724 - 785,"C. L. Chambers & Son, Inc.","BRUNDIDGE, AL",Domestic Corporation,Dissolved
103 - 389,"C.L. Chambers & Son Livestock, Inc.","BRUNDIDGE, AL",Domestic Corporation,Exists
762 - 273,"Claude King & Son, Inc.","LEIGHTON, AL",Domestic Corporation,Dissolved
060 - 372,"Claude Slay & Son, Inc.","OXFORD, AL",Domestic Corporation,Dissolved
119 - 615,"Clements & Son Plumbing, Inc.","ALBERTVILLE, AL",Domestic Corporation,Dissolved
861 - 973,"C. M. Offray & Son, Inc.","NEW YORK, NY",Foreign Corporation,Previous Name
293 - 480,"Cobb and Son RV Repair, LLC",Not Provided,Domestic Limited Liability Company,Exists
537 - 329,Cobb & Son RV Sales LLC,Not Provided,Domestic Limited Liability Company,Exists
935 - 594,"Colvin & Son Heating Co., Inc.","ALCOA, TN",Foreign Corporation,Exists
054 - 964,"Cone & Son Home Builders, Inc.","DAPHNE, AL",Domestic Corporation,Previous Name
189 - 507,"Conner & Son Trucking, Inc.","FLOMATON, AL",Domestic Corporation,Exists
730 - 130,Cook & Son Lumber Company,"LANETT, AL",Domestic Corporation,Dissolved
111 - 785,"Coolidge Taylor & Son Logging, Inc.","BERRY, AL",Domestic Corporation,Previous Name
730 - 306,"Coonrod & Son Manufacturing Co., Inc.","FLORENCE, AL",Domestic Corporation,Exists
884 - 156,"Cooper & Son Construction Co., Inc.","WILMINGTON, DE",Foreign Corporation,Exists
137 - 840,"Cooper & Son-Design and Gifts, Inc.","BIRMINGHAM,, AL",Domestic Corporation,Previous Name
097 - 909,"Cooper & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
046 - 308,"Cox & Son Farms, Inc.","BILLINGSLEY, AL",Domestic Corporation,Exists
126 - 955,"Crabtree and Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
371 - 917,CRANFORD & SON WILD GAME PROCESSING LLC,Not Provided,Domestic Limited Liability Company,Exists
377 - 792,"Crowder & Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
031 - 627,"Culpepper & Son, Inc.","PHENIX CITY, AL",Domestic Corporation,Exists
036 - 702,"Curtis & Son Funeral Home, Inc.","SYLACAUGA, AL",Domestic Corporation,Previous Name
137 - 253,"Curtis & Son Funeral Home, Inc.","MONTGOMERY, AL",Domestic Corporation,Merged
550 - 329,"Curtis Hall & Son Social Saving Club, Inc.","BIRMINGHAM, AL",Domestic Non-Profit Corporation,Exists
059 - 367,"CW & Son Company, Inc.","TUSKEGEE, AL",Domestic Corporation,Exists
406 - 332,DALE & SON FIRE EQUIPMENT LLC,Not Provided,Domestic Limited Liability Company,Exists
883 - 170,"Dale Polk & Son, Inc.","NATCHEZ, MS",Foreign Corporation,Exists
789 - 834,"Dan C. Royal and Son, Inc.","SELMA, AL",Domestic Corporation,Dissolved
114 - 571,"Daniel & Son, Inc.","UNION SPRINGS, AL",Domestic Corporation,Exists
064 - 187,"Daniel L. Tonsmeire & Son, Inc.","POINT CLEAR, AL",Domestic Corporation,Dissolved
733 - 434,"Darby & Son, Inc.","MONTGOMERY, AL",Domestic Corporation,Dissolved
592 - 871,David & Son Lawncare LLC.,Not Provided,Domestic Limited Liability Company,Exists
165 - 623,"Davis & Son, Inc.","OZARK, AL",Domestic Corporation,Exists
679 - 415,"DBR & Son, LLC","PRATTVILLE, AL",Domestic Limited Liability Company,Exists
009 - 166,"D. E. Hill & Son, Inc.","LAWRENCEBURG, TN",Foreign Corporation,Exists
259 - 813,"Dean Richardson & Son Masonry, Inc.","RUSSELLVILLE, AL",Domestic Corporation,Exists
112 - 908,"Dexter Hughes & Son Construction, Inc.","ARAB, AL",Domestic Corporation,Dissolved
923 - 000,"D. G. Yuengling & Son, Incorporated","POTTSVILLE, PA",Foreign Corporation,Exists
431 - 765,Di-Son Automotive LLC,"HUNTSVILLE, AL",Domestic Limited Liability Company,Exists
449 - 322,Di-Son LLC,Not Provided,Domestic Limited Liability Company,Exists
061 - 906,"Dino & Son Pizza, Incorporated","FLORENCE, AL",Domestic Corporation,Exists
226 - 329,"Dodson & Son Trucking Company, Inc.","HAYDEN, AL",Domestic Corporation,Exists
140 - 334,"Don Lancaster & Son Electric Co., Inc.","NORTHPORT, AL",Domestic Corporation,Exists
179 - 361,"Don McCoy & Son, Inc.","MOBILE, AL",Domestic Corporation,Dissolved
359 - 477,"Donald & Son Trucking, LLC",Not Provided,Domestic Limited Liability Company,Exists
209 - 359,"Dorman & Son, Inc.","MILLBROOK, AL",Domestic Corporation,Dissolved
081 - 108,"Doug Joiner & Son Automotive Repair, Inc.","MOBILE, AL",Domestic Corporation,Exists
398 - 338,"Doug Walker & Son Agency, Inc.","INDIANAPOLIS, IN",Foreign Corporation,Exists
737 - 059,"Doyle & Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Dissolved
705 - 122,"D. R. Allen & Son, Inc.","FAYETTEVILLE, NC",Foreign Corporation,Withdrawn
805 - 789,"D.T. Underwood & Son, Incorporated","BIRMINGHAM, AL",Domestic Corporation,Dissolved
737 - 500,"Duncan and Son, Inc.","ALEX CITY, AL",Domestic Corporation,Dissolved
528 - 930,"Dunn and Son Land Management, LLC",Not Provided,Domestic Limited Liability Company,Exists
176 - 853,"Dusan Milosevich & Son, Inc.","GENEVA, AL",Domestic Corporation,Dissolved
920 - 330,"D. W. Haber & Son, Inc.","BRONX, NJ",Foreign Corporation,Withdrawn
194 - 898,"Dwight Lamb & Son, Inc.","HAMILTON, AL",Domestic Corporation,Dissolved
118 - 756,"Dykes & Son, Inc.","PHENIX CITY, AL",Domestic Corporation,Exists
260 - 114,"Earwood & Son Construction, Inc.","HARTSELLE, AL",Domestic Corporation,Exists
193 - 352,"East & Son Tile, Inc.","ANNISTON, AL",Domestic Corporation,Exists
019 - 551,"E. B. Walker and Son Lumber Co., Inc.","MOBILE, AL",Domestic Corporation,Dissolved
097 - 740,"E. D. Pike & Son, Inc.","PELL CITY, AL",Domestic Corporation,Exists
036 - 272,"Ed Smith & Son Tire Co., Inc.","ANNISTON, AL",Domestic Corporation,Dissolved
532 - 520,"EF Marburger & Son, Inc.","FISHERS, IN",Foreign Corporation,Exists
056 - 681,"Efurd & Son, Inc.","ASHFORD, AL",Domestic Corporation,Previous Name
749 - 403,"E. G. Gray & Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Dissolved
035 - 594,"E. H. Smith & Son Electrical Contractors, Inc.","MOBILE, AL",Domestic Corporation,Dissolved
082 - 354,"Elder & Son Construction Co., Inc.","MOBILE, AL",Domestic Corporation,Dissolved
013 - 187,"Elkins & Son-Brown Service Funeral Home, Inc.","FLORENCE, AL",Domestic Corporation,Previous Name
582 - 356,"Ellis & Son Trailers II, LLC",Not Provided,Domestic Limited Liability Company,Exists
212 - 365,"Ellis & Son Trailers, Inc.","SEMMES, AL",Domestic Corporation,Dissolved
808 - 490,"Elmer Waide & Son, Inc.","RUSSELLVILLE, AL",Domestic Corporation,Dissolved
356 - 609,"EMG Son Trucking, LLC",Not Provided,Domestic Limited Liability Company,Exists
753 - 849,"Emile Herpin & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
740 - 801,"Eubanks & Son Construction, Inc.","BOAZ, AL",Domestic Corporation,Dissolved
095 - 064,"Evans & Son Plumbing Co., Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
762 - 170,"Everett V. Killman and Son, Incorporated","DOTHAN, AL",Domestic Corporation,Exists
335 - 088,"Everett Whitehead & Son, Inc.","WINTER HAVEN, FL",Foreign Corporation,Exists
281 - 322,"Everything Under the Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
178 - 724,"Ezell & Son Transportation, Inc.","SUMMERDALE, AL",Domestic Corporation,Exists
460 - 340,Fain & Son L.L.C.,"GENEVA, AL",Domestic Limited Liability Company,Exists
159 - 887,"Farris and Son Transportation, Inc.","FLORENCE, AL",Domestic Corporation,Merged
416 - 280,"Father & Son Adventure, LLC","FAIRHOPE, AL",Domestic Limited Liability Company,Dissolved
379 - 747,"Father and Son Auto Sales, LLC",Not Provided,Domestic Limited Liability Company,Dissolved
573 - 052,Father & Son Floor Restoration LLC,Not Provided,Domestic Limited Liability Company,Exists
277 - 972,"FATHER & SON GRILL, LLC",Not Provided,Domestic Limited Liability Company,Exists
742 - 635,"The Father & Son, Inc.","OZARK, AL",Domestic Corporation,Dissolved
742 - 636,The Father & Son of Ozark,"OZARK, AL",Domestic Non-Profit Corporation,Exists
431 - 919,"Father and Son Reasonable Cleaning, L.L.C.","TUSCALOOSA, AL",Domestic Limited Liability Company,Exists
881 - 559,"Father & Son Shoe Stores Co., Inc.","DOVER, DE",Foreign Corporation,Exists
743 - 155,"Father & Son Shoe Stores, Inc.","ENDICOTT, NY",Foreign Corporation,Previous Name
653 - 836,"Father & Son Truck Service, L.L.C.","GREENVILLE, AL",Domestic Limited Liability Company,Exists
742 - 633,"Father, Son and Holy Ghost Church","MONTGOMERY, AL",Domestic Non-Profit Corporation,Exists
101 - 273,"Faulk & Son, Inc.","PHENIX CITY, AL",Domestic Corporation,Exists
033 - 354,Fell & Son,"IRONDALE, AL",Domestic Corporation,Dissolved
030 - 224,"Ferd Weil & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
275 - 715,"Ferg Us Son Music, LLC",Not Provided,Domestic Limited Liability Company,Exists
314 - 098,Ferguson & Son Scholarship Fund,Not Provided,Domestic Non-Profit Corporation,Exists
944 - 992,"Ferrandino & Son, Inc.","FARMINGDALE, NY",Foreign Corporation,Exists
314 - 973,"Fields & Son, LLC","CARROLLTON, AL",Domestic Limited Liability Company,Exists
125 - 912,"Fields & Son Logging, Inc.","FAYETTE, AL",Domestic Corporation,Exists
204 - 622,"Fifth Son Enterprises, Inc.","CORDOVA, AL",Domestic Corporation,Dissolved
743 - 952,"Fischer & Son Funeral Co., Inc.","CULLMAN, AL",Domestic Corporation,Dissolved
744 - 103,Fitts and Son Trucking Company,"RUSSELLVILLE, AL",Domestic Corporation,Dissolved
929 - 986,FOA & Son Corporation,"NEW YORK, NY",Foreign Corporation,Exists
561 - 459,"FOCUS on this SON Ministries, Inc.","ROANOKE, AL",Domestic Non-Profit Corporation,Exists
744 - 817,"Foley Father-Son Cue Club, Inc.","FOLEY, AL",Domestic Non-Profit Corporation,Exists
359 - 686,"Ford & Son Distributors, LLC",Not Provided,Domestic Limited Liability Company,Exists
104 - 349,"F. R. Hoar & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
859 - 353,"F. R. Hoar & Son, Inc.","BIRMINGHAM, AL",Foreign Corporation,Previous Name
919 - 410,"Frank Lill & Son, Inc.","WEBSTER, NY",Foreign Corporation,Exists
104 - 989,"Franks & Son Trucking, Inc.","WINFIELD, AL",Domestic Corporation,Dissolved
943 - 309,"Fred M. Smith and Son, Incorporated","SPRINGFIELD, TN",Foreign Corporation,Withdrawn
181 - 416,"Freeman & Son, Inc.","FAYETTE, AL",Domestic Corporation,Exists
890 - 612,"Friedman & Son, Inc.","DENVER, CO",Foreign Corporation,Revoked
410 - 831,"G-Son, LLC","LINDEN, AL",Domestic Limited Liability Company,Dissolved
N/A,Galeas and Son Construction LLC,"Austin, TX",Domestic Limited Liability Company,Name Reservation
469 - 958,"Garner & Son Hauling, LLC","FAIRHOPE, AL",Domestic Limited Liability Company,Exists
395 - 711,GARNER & SON TRUCKING LLC.,Not Provided,Domestic Limited Liability Company,Exists
269 - 324,"Garrett & Son Construction Company, LLC",Not Provided,Domestic Limited Liability Company,Exists
323 - 975,GARRETT AND SON LLC,"Southlake, TX",Foreign Limited Liability Company,Registered Name
767 - 710,G. B. McVay & Son Seed Co.,"BIRMINGHAM, AL",Domestic Corporation,Exists
