"Entity#","Name","Type","Filing Date","Exp. Date","Status","Location","County","State","View Report"
"4192170","MOTHER AND DAUGHTER CLEANING & RENOVATIONS LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/10/2018","-","Active","--","-","-","SHOW DETAILS"
"RN158347","MOTHER AND DAUGHTER CREATIONS","REGISTERED TRADE NAME","05/27/1992","05/27/2007","Cancelled","--","-","-","SHOW DETAILS"
"RN99096","MOTHER AND DAUGHTER CREATIONS","REGISTERED TRADE NAME","03/04/1987","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"2347991","MOTHER AND DAUGHTER GREEN CLEANING L.L.C.","DOMESTIC LIMITED LIABILITY COMPANY","12/04/2014","-","Active","--","-","-","SHOW DETAILS"
"3944091","MOTHER AND DAUGHTER THRIFT SHOP LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/23/2016","-","Active","--","-","-","SHOW DETAILS"
"2264315","MOTHER AND DAUGHTER VINTAGE TREASURES LLC","DOMESTIC LIMITED LIABILITY COMPANY","02/01/2014","-","Active","--","-","-","SHOW DETAILS"
"4290204","MOTHER DAUGHTER DREAM LLC","DOMESTIC LIMITED LIABILITY COMPANY","02/06/2019","-","Active","--","-","-","SHOW DETAILS"
"3861966","MOTHER'S DAUGHTER COOKING HOUSE LLC","DOMESTIC LIMITED LIABILITY COMPANY","02/08/2016","-","Active","--","-","-","SHOW DETAILS"
"388631","MY DARLING DAUGHTER, INC.","CORPORATION FOR PROFIT","09/17/1969","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"1954497","MY FATHERS DAUGHTER, ""LLC""","DOMESTIC LIMITED LIABILITY COMPANY","08/03/2010","-","Active","--","-","-","SHOW DETAILS"
"1826627","OLGA'S DAUGHTER CREATIONS","FICTITIOUS NAMES","12/29/2008","12/29/2013","Cancelled","--","-","-","SHOW DETAILS"
"3891363","OLGA'S DAUGHTER CREATIONS","FICTITIOUS NAMES","04/14/2016","04/14/2021","Active","--","-","-","SHOW DETAILS"
"2257960","OLOF'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/04/2014","-","Active","--","-","-","SHOW DETAILS"
"4297722","ONLY DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","02/25/2019","-","Active","--","-","-","SHOW DETAILS"
"3872829","POPEYE'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","03/01/2016","-","Active","--","-","-","SHOW DETAILS"
"3927307","PRODIGAL DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","08/01/2016","-","Active","--","-","-","SHOW DETAILS"
"1403340","PRODIGAL DAUGHTER MINISTRIES","REGISTERED TRADE NAME","08/04/2003","08/04/2008","Cancelled","--","-","-","SHOW DETAILS"
"1730181","REINHARD & DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","10/01/2007","-","Active","--","-","-","SHOW DETAILS"
"2179229","RENT A DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","03/04/2013","-","Active","--","-","-","SHOW DETAILS"
"3876601","RENT-A-DAUGHTER CORP.","CORPORATION FOR PROFIT","03/11/2016","-","Active","SOLON-","CUYAHOGA","-","SHOW DETAILS"
"4024578","ROSEMARY'S VEGAN DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","05/02/2017","-","Active","--","-","-","SHOW DETAILS"
"626825","SENKO AND DAUGHTER MOVING AND STORAGE, INC.","CORPORATION FOR PROFIT","01/11/1984","-","Cancelled","LAKEWOOD","CUYAHOGA","OHIO","SHOW DETAILS"
"4309094","SILLS MOTHER AND DAUGHTER TRAINING LLC","DOMESTIC LIMITED LIABILITY COMPANY","03/20/2019","-","Active","--","-","-","SHOW DETAILS"
"713895","SMITH & DAUGHTER BUILDERS, INC.","CORPORATION FOR PROFIT","12/09/1987","-","Dead","SPRING VALLEY, WASHINGTON TWP.","MONTGOMERY","OHIO","SHOW DETAILS"
"539099","SNAPP, DAUGHTER & SONS, INC.","CORPORATION FOR PROFIT","07/17/1979","-","Active","LANCASTER","FAIRFIELD","OHIO","SHOW DETAILS"
"1291436","SON & DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/23/2002","-","Active","--","-","-","SHOW DETAILS"
"1236908","SON AND DAUGHTER, INC.","CORPORATION FOR PROFIT","06/19/2001","-","Cancelled","CLEVELAND-","CUYAHOGA","-","SHOW DETAILS"
"RN102784","T.L. ROBINSON & DAUGHTER CLEANING SERVICES","REGISTERED TRADE NAME","07/22/1987","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"1224030","THE ADMIRAL'S DAUGHTER, L.L.C.","DOMESTIC LIMITED LIABILITY COMPANY","04/20/2001","-","Active","--","-","-","SHOW DETAILS"
"2326788","THE BEEKEEPER'S DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/12/2014","-","Active","--","-","-","SHOW DETAILS"
"2168372","THE BREWER'S DAUGHTER BEER COMPANY, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/25/2013","-","Active","--","-","-","SHOW DETAILS"
"2008364","THE CARPENTER'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","03/25/2011","-","Active","--","-","-","SHOW DETAILS"
"1984052","THE DAUGHTER PROJECT","REGISTERED TRADE NAME","12/16/2010","12/16/2020","Active","--","-","-","SHOW DETAILS"
"1844919","THE DAUGHTER PROJECT","CORPORATION FOR NON-PROFIT","03/23/2009","11/15/2023","Active","BOWLING GREEN-","WOOD","-","SHOW DETAILS"
"3938098","THE DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/02/2016","-","Active","--","-","-","SHOW DETAILS"
"RN229998","THE DUTCHMAN'S DAUGHTER","REGISTERED TRADE NAME","03/03/1997","03/03/2002","Cancelled","--","-","-","SHOW DETAILS"
"4348362","THE EXTRA DAUGHTER LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/17/2019","-","Active","--","-","-","SHOW DETAILS"
"RN100220","THE FARMER'S DAUGHTER","REGISTERED TRADE NAME","04/08/1987","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"1164597","THE FARMER'S DAUGHTER","REGISTERED TRADE NAME","06/22/2000","06/22/2005","Cancelled","--","-","-","SHOW DETAILS"
"2210991","THE FARMER'S DAUGHTER RESTAURANT","FICTITIOUS NAMES","06/28/2013","06/28/2023","Active","--","-","-","SHOW DETAILS"
"1675088","THE FARMER'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","02/01/2007","-","Active","--","-","-","SHOW DETAILS"
"2152922","THE FARMERS DAUGHTER ALPACA RANCH LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/20/2012","-","Active","--","-","-","SHOW DETAILS"
"RN145808","THE FRAMER'S DAUGHTER","REGISTERED TRADE NAME","06/03/1991","06/03/2001","Cancelled","--","-","-","SHOW DETAILS"
"2406689","THE HOARDER'S DAUGHTER","REGISTERED TRADE NAME","06/26/2015","06/26/2020","Active","--","-","-","SHOW DETAILS"
"RN114347","THE JUNKMAN'S DAUGHTER","REGISTERED TRADE NAME","09/19/1988","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"4368324","THE ONLY DAUGHTER SOCIETY LLC","DOMESTIC LIMITED LIABILITY COMPANY","08/13/2019","-","Active","--","-","-","SHOW DETAILS"
"2260024","THE ORGANIZED DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/13/2014","-","Active","--","-","-","SHOW DETAILS"
"RN160544","THE PEDDLER'S DAUGHTER","REGISTERED TRADE NAME","07/30/1992","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"1330104","THE PEDDLERS DAUGHTER","REGISTERED TRADE NAME","07/19/2002","07/19/2012","Cancelled","--","-","-","SHOW DETAILS"
"4238015","THE PRODIGAL DAUGHTER TREASURES AND TRINKETS, LTD.","DOMESTIC LIMITED LIABILITY COMPANY","10/01/2018","-","Active","--","-","-","SHOW DETAILS"
"1163922","THE SHEPHERD'S DAUGHTER","REGISTERED TRADE NAME","04/19/2000","04/19/2020","Active","--","-","-","SHOW DETAILS"
"2403608","THE SHEPHERD'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/15/2015","-","Active","--","-","-","SHOW DETAILS"
"2061454","THE VET'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/14/2011","-","Active","--","-","-","SHOW DETAILS"
"2426948","THE WOODCUTTER'S DAUGHTER","REGISTERED TRADE NAME","09/08/2015","09/08/2020","Active","--","-","-","SHOW DETAILS"
"2450907","THE WOODCUTTER'S DAUGHTER, LLC","DOMESTIC LIMITED LIABILITY COMPANY","12/03/2015","-","Active","--","-","-","SHOW DETAILS"
"3942595","THELMA'S DAUGHTER CORP.","CORPORATION FOR NON-PROFIT","09/21/2016","09/21/2021","Active","TOLEDO-","LUCAS","-","SHOW DETAILS"
"2063978","TOM STRAIN & SONS & DAUGHTER TOO LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/01/2012","-","Active","--","-","-","SHOW DETAILS"
"1803832","TREASURED DAUGHTER","REGISTERED TRADE NAME","09/03/2008","09/03/2013","Cancelled","--","-","-","SHOW DETAILS"
