"Entity#","Name","Type","Filing Date","Exp. Date","Status","Location","County","State","View Report"
"265418","A.C. LEADBETTER & SON, INC.","CORPORATION FOR PROFIT","08/09/1957","-","Cancelled","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"245232","A.C. MYERS & SON FUNERAL HOME, INC.","CORPORATION FOR PROFIT","02/24/1955","-","Dead","GREENTOWN","STARK","OHIO","SHOW DETAILS"
"181371","A.C. MYERS AND SON, INC.","CORPORATION FOR PROFIT","03/04/1941","-","Cancelled","GREENTOWN","STARK","OHIO","SHOW DETAILS"
"443783","A.E. PELLEY & SON, INC.","FOREIGN CORPORATION","09/04/1973","-","Dead","null","Conversion","WEST VIRGINIA","SHOW DETAILS"
"FN44202","A.J. HOWARD & SON CONSTRUCTION COMPANY","FICTITIOUS NAMES","12/07/1988","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"450917","A.J.M. & SON, INC.","CORPORATION FOR PROFIT","03/18/1974","-","Cancelled","GARFIELD HTS.","CUYAHOGA","OHIO","SHOW DETAILS"
"983187","A.S. & SON, INC.","CORPORATION FOR PROFIT","06/11/1997","-","Cancelled","NORTH OLMSTED","CUYAHOGA","OHIO","SHOW DETAILS"
"128857","A.S. HUNTER & SON INC","CORPORATION FOR PROFIT","12/09/1927","-","Dead","WILLARD","HURON","OHIO","SHOW DETAILS"
"2197743","AB FLOOD & SON TRUCKING LLC","DOMESTIC LIMITED LIABILITY COMPANY","05/07/2013","-","Active","--","-","-","SHOW DETAILS"
"887839","ABE HARRY & SON, INCORPORATED","CORPORATION FOR PROFIT","12/09/1994","-","Active","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"RN63607","ABNER & SON LEASING CO.","REGISTERED TRADE NAME","12/14/1981","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"3988097","ADAM & SON LLC","DOMESTIC LIMITED LIABILITY COMPANY","02/05/2017","-","Active","--","-","-","SHOW DETAILS"
"1566466","ADAM GOBEL & SON LLC","DOMESTIC LIMITED LIABILITY COMPANY","08/30/2005","-","Active","--","-","-","SHOW DETAILS"
"230435","ADAM SCHMIDT & SON, INC.","CORPORATION FOR PROFIT","11/04/1952","-","Cancelled","AKRON","SUMMIT","OHIO","SHOW DETAILS"
"2308364","ADAMS & SON AUTOMOTIVE, LLC","DOMESTIC LIMITED LIABILITY COMPANY","07/03/2014","-","Active","--","-","-","SHOW DETAILS"
"670827","ADDAIR & SON DRILLING INC.","CORPORATION FOR PROFIT","02/03/1986","-","Cancelled","MT. VERNON","KNOX","OHIO","SHOW DETAILS"
"829575","ADGATE & SON FLORIST, INC.","CORPORATION FOR PROFIT","10/16/1992","-","Active","WARREN","TRUMBULL","OHIO","SHOW DETAILS"
"1570490","ADKINS & SON CONCRETE, LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/19/2005","-","Active","--","-","-","SHOW DETAILS"
"1707981","ADKINS & SON, LLC","DOMESTIC LIMITED LIABILITY COMPANY","07/01/2007","-","Active","--","-","-","SHOW DETAILS"
"1234941","ADKINS AND SON ROOFING","REGISTERED TRADE NAME","06/08/2001","06/08/2006","Cancelled","--","-","-","SHOW DETAILS"
"374037","ADLER & SON","FOREIGN CORPORATION","07/25/1968","-","Active","-","-","NEW JERSEY","SHOW DETAILS"
"200807","ADOLPH JOHNSON & SON CO.","CORPORATION FOR PROFIT","03/17/1947","-","Active","YOUNGSTOWN","MAHONING","OHIO","SHOW DETAILS"
"180422","AGEE & SON IMPLEMENT COMPANY, INC.","CORPORATION FOR PROFIT","10/23/1940","-","Dead","GALLIPOLIS","GALLIA","OHIO","SHOW DETAILS"
"1682236","AINSLEY & SON HEATING","REGISTERED TRADE NAME","02/26/2007","02/26/2022","Active","--","-","-","SHOW DETAILS"
"1192421","AINSLEY & SON HEATING LLC","DOMESTIC LIMITED LIABILITY COMPANY","11/17/2000","-","Dead","--","-","-","SHOW DETAILS"
"992787","AINSLEY & SON HEATING, INC.","FOREIGN CORPORATION","09/26/1997","-","Dead","-","-","TENNESSEE","SHOW DETAILS"
"530691","AINSLEY & SON HEATING, INC.","CORPORATION FOR PROFIT","02/16/1979","-","Dead","CORTLAND","TRUMBULL","OHIO","SHOW DETAILS"
"1702567","AKERS & SON MUSCLE CARS & MORE","REGISTERED TRADE NAME","05/23/2007","05/23/2017","Cancelled","--","-","-","SHOW DETAILS"
"1311834","AKERS & SON REMODELING, LLC","DOMESTIC LIMITED LIABILITY COMPANY","04/11/2002","-","Active","--","-","-","SHOW DETAILS"
"1355525","AL BAKER & SON TRUCKING LLC","DOMESTIC LIMITED LIABILITY COMPANY","12/02/2002","-","Dead","--","-","-","SHOW DETAILS"
"1366877","AL BAKER & SON TRUCKING, INC.","CORPORATION FOR PROFIT","02/04/2003","-","Active","TIFFIN-","SENECA","-","SHOW DETAILS"
"2399893","AL CLARK AND SON BAIL BONDS LLC.","DOMESTIC LIMITED LIABILITY COMPANY","06/02/2015","-","Active","--","-","-","SHOW DETAILS"
"506373","AL DALE & SON TRUCKING COMPANY, INC.","CORPORATION FOR PROFIT","10/28/1977","-","Cancelled","LORAIN","LORAIN","OHIO","SHOW DETAILS"
"202972","AL KUHR & SON, INC.","CORPORATION FOR PROFIT","07/10/1947","-","Dead","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"307599","AL MEHLING & SON CO.","CORPORATION FOR PROFIT","01/30/1962","-","Cancelled","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"466809","AL WERLING AND SON, INC.","CORPORATION FOR PROFIT","05/16/1975","-","Dead","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"254607","AL WHITE & SON, INC.","CORPORATION FOR PROFIT","04/17/1956","-","Cancelled","RICHMOND","LAKE","OHIO","SHOW DETAILS"
"1995095","AL'S MASONRY & SON CONSTRUCTION","REGISTERED TRADE NAME","02/03/2011","02/03/2016","Cancelled","--","-","-","SHOW DETAILS"
"254293","AL. HACK AND SON, INC.","CORPORATION FOR PROFIT","04/02/1956","-","Cancelled","COLUMBUS","FRANKLIN","OHIO","SHOW DETAILS"
"234704","ALBERT & SON MACHINERY CORPORATION","CORPORATION FOR PROFIT","07/08/1953","-","Cancelled","AKRON","SUMMIT","OHIO","SHOW DETAILS"
"461565","ALBERT L. BOEHMER AND SON FUNERAL HOME, INC.","CORPORATION FOR PROFIT","01/02/1975","-","Dead","ST. BERNARD","HAMILTON","OHIO","SHOW DETAILS"
"827608","ALBERTI & SON DOOR CO.","CORPORATION FOR PROFIT","09/11/1992","-","Cancelled","BEDFORD","CUYAHOGA","OHIO","SHOW DETAILS"
"2385","ALBIN SON & CO.","CORPORATION FOR PROFIT","04/08/1874","-","Cancelled","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"775065","ALBRECHT & SON CONSTRUCTION, INC.","CORPORATION FOR PROFIT","06/11/1990","-","Active","COPLEY","SUMMIT","OHIO","SHOW DETAILS"
"844687","ALEX LYON & SON SALES MANAGERS & AUCTIONEERS, INC.","FOREIGN CORPORATION","05/05/1993","-","Active","-","-","NEW YORK","SHOW DETAILS"
"180739","ALEX ZAREMBA & SON, INC.","CORPORATION FOR PROFIT","12/10/1940","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"4239042","ALEXANDER & SON CONSTRUCTION LLC","DOMESTIC LIMITED LIABILITY COMPANY","10/04/2018","-","Active","--","-","-","SHOW DETAILS"
"1389225","ALEXANDER & SON ENTERPRISES","REGISTERED TRADE NAME","05/20/2003","05/20/2008","Cancelled","--","-","-","SHOW DETAILS"
"1831660","ALEXANDER & SON ENTERPRISES","REGISTERED TRADE NAME","01/22/2009","01/22/2014","Cancelled","--","-","-","SHOW DETAILS"
"1225175","ALL THINGS UNDER THE SON INC.","CORPORATION FOR PROFIT","04/27/2001","-","Active","HILLIARD-","FRANKLIN","-","SHOW DETAILS"
"854731","ALLEN & SON CONSTRUCTION CO.","CORPORATION FOR PROFIT","10/06/1993","-","Active","MAD RIVER TWP.","MONTGOMERY","OHIO","SHOW DETAILS"
"718758","ALLEN - SON GROUP, INC.","CORPORATION FOR PROFIT","02/16/1988","-","Cancelled","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"356583","ALLEN C. FOSTER & SON, INC.","CORPORATION FOR PROFIT","12/21/1966","-","Cancelled","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"394298","ALLGEIER & SON, INC.","CORPORATION FOR PROFIT","02/16/1970","-","Active","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"865066","ALPHONSO AND SON, INC.","CORPORATION FOR PROFIT","02/14/1994","-","Active","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"1079132","ALSOUSSOU & SON, INC.","CORPORATION FOR PROFIT","03/12/1999","-","Active","CLEVELAND-","CUYAHOGA","-","SHOW DETAILS"
"590847","AMERICA WALK TALL & PROUD IN THE (SON)","CHURCH","03/08/1982","-","Cancelled","CHERRY VALLEY","ASHTABULA","OHIO","SHOW DETAILS"
"550246","AMON AND SON TRUCKING, INC.","CORPORATION FOR PROFIT","02/19/1980","-","Cancelled","NORTH OLMSTED","CUYAHOGA","OHIO","SHOW DETAILS"
"939102","AMSLDF - OHIO (A MOTHERS SON LEGAL DEFENSE FUND)","CORPORATION FOR NON-PROFIT","04/23/1996","04/23/2001","Cancelled","MANSFIELD","RICHLAND","OHIO","SHOW DETAILS"
"2327165","ANDERSON & SON FINANCIAL LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/15/2014","-","Active","--","-","-","SHOW DETAILS"
"4350350","ANDERSON & SON MAINTENANCE SERVICE LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/20/2019","-","Active","--","-","-","SHOW DETAILS"
"785519","ANDERSON & SON TRUCKING, INC.","CORPORATION FOR PROFIT","11/28/1990","-","Cancelled","BATAVIA","CLERMONT","OHIO","SHOW DETAILS"
"179321","ANDREW YOUNG AND SON, INC.","CORPORATION FOR PROFIT","05/17/1940","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"1210386","ANTHONY AND SON FUNERAL HOME GREEN CHAPEL, INCORPORATED","CORPORATION FOR PROFIT","02/12/2001","-","Active","UNIONTOWN-","SUMMIT","-","SHOW DETAILS"
"3871095","ANTHONY DESARRO & SON CONSTRUCTION INC.","CORPORATION FOR PROFIT","02/26/2016","-","Active","CANTON-","STARK","-","SHOW DETAILS"
"192829","ANTON URBAN & SON, INC.","CORPORATION FOR PROFIT","02/02/1946","-","Dead","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"373168","ANTONIO SOFO & SON IMPORTING CO.","CORPORATION FOR PROFIT","06/28/1968","-","Active","TOLEDO","LUCAS","OHIO","SHOW DETAILS"
"2423822","ANYTHING UNDER THE SON","REGISTERED TRADE NAME","08/27/2015","08/27/2020","Active","--","-","-","SHOW DETAILS"
"1018689","ARC & SON CONTRACTORS","REGISTERED TRADE NAME","05/19/1998","05/19/2003","Cancelled","--","-","-","SHOW DETAILS"
"4041548","ARCHIE & SON MARKETING LLC","DOMESTIC LIMITED LIABILITY COMPANY","06/20/2017","-","Active","--","-","-","SHOW DETAILS"
"2106294","ARMSEY AND SON PAINTING","REGISTERED TRADE NAME","05/09/2012","05/09/2017","Cancelled","--","-","-","SHOW DETAILS"
"37784","ARMSTRONG & SON CO.","CORPORATION FOR PROFIT","07/27/1915","-","Cancelled","LIMA","ALLEN","OHIO","SHOW DETAILS"
"1535593","ARNIO & SON, INC.","CORPORATION FOR PROFIT","04/13/2005","-","Active","SOUTHINGTON-","TRUMBULL","-","SHOW DETAILS"
"1869634","ARNOLD & SON PROPERTIES, LLC","DOMESTIC LIMITED LIABILITY COMPANY","07/13/2009","-","Active","--","-","-","SHOW DETAILS"
"2318027","ARNOLD & SON, LLC","DOMESTIC LIMITED LIABILITY COMPANY","08/10/2014","-","Active","--","-","-","SHOW DETAILS"
"853088","ART SAMPSEL AND SON CONSTRUCTION, INC.","CORPORATION FOR PROFIT","09/03/1993","-","Cancelled","PLAINFIELD","COSHOCTON","OHIO","SHOW DETAILS"
"130829","ARTCRAFT METAL WORKS OF THE J.H. GRAY SON MANUFACTURING COMPANY","CORPORATION FOR PROFIT","04/18/1928","-","Cancelled","ATHENS","ATHENS","OHIO","SHOW DETAILS"
"RN227880","ARTHUR & SON ENTERPRISES","REGISTERED TRADE NAME","02/13/1997","02/13/2002","Cancelled","--","-","-","SHOW DETAILS"
"394796","ARTHUR F. HAZEN & SON, INC.","FOREIGN CORPORATION","03/02/1970","-","Cancelled","null","Conversion","PENNSYLVANIA","SHOW DETAILS"
"320014","ARTHUR G. BENZLE & SON, INC.","CORPORATION FOR PROFIT","05/04/1963","-","Dead","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"207878","ARTHUR GUINESS SON & CO. BREWING CORPORATION","FOREIGN CORPORATION","04/30/1948","-","Dead","null","Conversion","NEW YORK","SHOW DETAILS"
"RN9936","ARTIE A. SMITH & SON","REGISTERED TRADE NAME","05/14/1955","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"219539","ARTIE A. SMITH & SON, INC.","CORPORATION FOR PROFIT","08/12/1950","-","Dead","DAYTON","MONTGOMERY","OHIO","SHOW DETAILS"
"4215586","ARTIST SON HOME IMPROVEMENTS LLC","DOMESTIC LIMITED LIABILITY COMPANY","08/02/2018","-","Active","--","-","-","SHOW DETAILS"
"1404351","ATER & SON CHINA SALES, L.L.P.","LIMITED LIABILITY PARTNERSHIPS","09/01/2003","-","Cancelled","--","-","-","SHOW DETAILS"
"287192","AUGUST SPICUZZA & SON, INC.","CORPORATION FOR PROFIT","01/14/1960","-","Dead","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"2315529","AUSMAN & SON TRUCKING, LLC","DOMESTIC LIMITED LIABILITY COMPANY","07/31/2014","-","Active","--","-","-","SHOW DETAILS"
"264886","AUSTIN H. MILLER & SON, INC.","CORPORATION FOR PROFIT","07/16/1957","-","Cancelled","TWP. SOUTHINGTON","TRUMBULL","OHIO","SHOW DETAILS"
"2380969","AVON LAKE FATHER/SON FOOTBALL CLUB LLC","DOMESTIC LIMITED LIABILITY COMPANY","03/30/2015","-","Active","--","-","-","SHOW DETAILS"
"4215602","AYAD AND SON L.L.C.","DOMESTIC LIMITED LIABILITY COMPANY","08/01/2018","-","Active","--","-","-","SHOW DETAILS"
"1756610","B & G HAULING & SON, LLC","DOMESTIC LIMITED LIABILITY COMPANY","01/31/2008","-","Active","--","-","-","SHOW DETAILS"
"1210960","B&M YONIS & SON","REGISTERED TRADE NAME","02/05/2001","02/05/2006","Cancelled","--","-","-","SHOW DETAILS"
"2191402","B&S ELECTRICIAN AN SON","REGISTERED TRADE NAME","04/15/2013","04/15/2018","Cancelled","--","-","-","SHOW DETAILS"
"152402","B. COHN AND SON INC.","CORPORATION FOR PROFIT","08/31/1932","-","Cancelled","CLEVELAND","CUYAHOGA","OHIO","SHOW DETAILS"
"1544752","B. COOK & SON PLUMBING & HEATING, INC.","CORPORATION FOR PROFIT","05/23/2005","-","Active","WAPAKONETA-","AUGLAIZE","-","SHOW DETAILS"
"425335","B. DALFOL & SON, INCORPORATED","FOREIGN CORPORATION","05/26/1972","-","Cancelled","null","Conversion","PENNSYLVANIA","SHOW DETAILS"
"472134","B. F. MILLER AND SON EXCAVATING, INC.","CORPORATION FOR PROFIT","10/03/1975","-","Cancelled","BERLIN","HOLMES","OHIO","SHOW DETAILS"
"206176","B. F. SAWYER & SON, INC.","CORPORATION FOR PROFIT","01/21/1948","-","Dead","MIDDLETOWN","BUTLER","OHIO","SHOW DETAILS"
"629494","B. H. LARICK & SON, INC.","CORPORATION FOR PROFIT","02/21/1984","-","Active","LIMA","ALLEN","OHIO","SHOW DETAILS"
"331398","B. R. SHOEMAKER & SON, INC.","CORPORATION FOR PROFIT","06/24/1964","-","Cancelled","COLUMBUS","FRANKLIN","OHIO","SHOW DETAILS"
"RN187906","B. S. MANKINS & SON COMPLETE PLUMBING SERVICES","REGISTERED TRADE NAME","06/15/1994","06/15/1999","Cancelled","--","-","-","SHOW DETAILS"
"568192","B. STANLEY & SON, INCORPORATED","CORPORATION FOR PROFIT","01/23/1981","-","Cancelled","WILLOWICK","LAKE","OHIO","SHOW DETAILS"
"422551","B. WENKER & SON, INC.","CORPORATION FOR PROFIT","03/22/1972","-","Active","CINCINNATI","HAMILTON","OHIO","SHOW DETAILS"
"RN127937","B. WHEELER & SON","REGISTERED TRADE NAME","12/07/1989","-","Cancelled","-","Conversion","-","SHOW DETAILS"
"268901","B.D. FOGHT & SON, INC.","CORPORATION FOR PROFIT","01/28/1958","-","Cancelled","BUCYRUS","CRAWFORD","OHIO","SHOW DETAILS"
"2131737","B.E. MANGAS & SON, LLC","DOMESTIC LIMITED LIABILITY COMPANY","08/24/2012","-","Active","--","-","-","SHOW DETAILS"
"1809031","B.H. LARICK & SON ""LLC""","DOMESTIC LIMITED LIABILITY COMPANY","09/29/2008","-","Active","--","-","-","SHOW DETAILS"
"706296","B.I. BROOKS & SON, INC.","FOREIGN CORPORATION","08/03/1987","-","Cancelled","null","Conversion","KANSAS","SHOW DETAILS"
"1508416","B.L. DAVIS & SON CO., LLC","DOMESTIC LIMITED LIABILITY COMPANY","12/13/2004","-","Active","--","-","-","SHOW DETAILS"
"1094848","B.U.G.S. (BELIEVE UPON GOD'S SON)","FICTITIOUS NAMES","05/11/1999","05/11/2004","Cancelled","--","-","-","SHOW DETAILS"
"1149062","B.U.G.S.(BELIEVE UPON GOD'S SON)","REGISTERED TRADE NAME","01/15/2000","01/15/2005","Cancelled","--","-","-","SHOW DETAILS"
"2111347","BA KLAENE & SON MASONRY LLC","DOMESTIC LIMITED LIABILITY COMPANY","05/29/2012","-","Active","--","-","-","SHOW DETAILS"
"3943409","BABAS SON LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/21/2016","-","Active","--","-","-","SHOW DETAILS"
"2139365","BACHAN & SON PROPERTIES LLC","DOMESTIC LIMITED LIABILITY COMPANY","09/25/2012","-","Active","--","-","-","SHOW DETAILS"
"1533811","BAD SON PRODUCTIONS","REGISTERED TRADE NAME","04/05/2005","04/05/2010","Cancelled","--","-","-","SHOW DETAILS"
"4055281","BAER & SON INC.","CORPORATION FOR PROFIT","07/26/2017","-","Active","CLEVELAND-","CUYAHOGA","-","SHOW DETAILS"
"725322","BAGGETT & SON CO.","CORPORATION FOR PROFIT","05/19/1988","-","Dead","COLUMBIA STATION","LORAIN","OHIO","SHOW DETAILS"
"1111152","BAILEY & SON MANAGMENT","FICTITIOUS NAMES","09/07/1999","09/07/2004","Cancelled","--","-","-","SHOW DETAILS"
"814322","BAILEY & SON, INC.","CORPORATION FOR PROFIT","03/09/1992","-","Active","MANTUA","PORTAGE","OHIO","SHOW DETAILS"
