Business Name,Business ID,Status
"SONO VALUE ASSOCIATES, LLC",814175,Dissolved
"SONNET SOFTWARE, INC.",817004,Withdrawn
"SONSTAR, LLC",817488,Dissolved
"SONA BELLA SALON AND SPA, LLC",820540,Active
SONITROL CORPORATION,821290,Withdrawn
SONNY'S LANDSCAPING L.L.C.,822479,Active
"SONQUIST ASSOCIATES, LLC",825478,Active
SONITECH RESEARCH LLC,825536,Active
"SONO ELECTRIC COMPANY, LLC",825635,Active
"SONN PROPERTIES, LLC",827338,Dissolved
SONTAG ADVISORY LLC,828144,Cancelled
"SONEL, LLC",830646,Dissolved
"SONOMA WOODS CONDOMINIUM ASSOCIATION, INC.",834782,Active
SONGBIRD'S BOUTIQUE LLC,835113,Active
"SON EQUIPMENT, LLC",835246,Active
"SONA CONSULTING SERVICES, LLC",838607,Dissolved
"SONG OF MY HEART, LLC",839928,Dissolved
"SONOSON, LLC",841041,Active
"SONO CROSSING CONDOMINIUM ASSOCIATION, INC.",842471,Active
"SONG TAEKWONDO ACADEMY, INC.",843792,Active
SONO CONTRACTING LLC,844305,Dissolved
"SONLIGHT PRODUCTIONS, LLC",844474,Active
SONU LLC,845516,Active
SONVI LLC,850636,Dissolved
"SONG WILTON PROPERTIES, LLC",851171,Active
"SONOMA-CUTRER VINEYARDS, INC.",851984,Active
"CUSHMAN & WAKEFIELD SONNENBLICK-GOLDMAN, LLC",853348,Cancelled
"SONNENBLICK-GOLDMAN, LLC",853348,
SONI INTERNATIONAL L.L.C.,853769,Active
"SON OF THE MOON FINE FOODS, LLC",855815,Dissolved
"SONOMA WINE GROUP, INC.",856535,Active
SONG BATH LLC,860045,Active
"SONA REAL ESTATE, LLC",863572,Active
"SONIC INSURANCE AGENCY, LLC",867821,Active
SONSHINE CONSULTING LLC,868753,Dissolved
SON OF A CARPENTER HOME IMPROVEMENTS L.L.C.,869926,Active
SONATAFOODS LLC,872376,Dissolved
"SONOCO SWIM CLUB, LLC",873164,Active
"SONOA SYSTEMS, INC.",873847,Withdrawn
"THE SONG STUDIO, LLC",873886,Active
SONNY HOMES LLC,876763,Active
SONIA SEJAL LLC,878758,Dissolved
SONIC INFORMATION SYSTEMS INC,884375,Active
"SONO WEST AVENUE RETAIL, L.L.C.",887890,Active
"SONO NAILS & SPA, LLC",889436,Active
"SONO INVESTMENTS, LLC",889829,Active
"SONOR REALTY, LLC",891601,Active
SONO BOUTIQUE LLC,892107,Dissolved
"SONSTONE APARTMENTS, LLC",893007,Active
"SONO ACADEMY, LLC",895711,Active
"SONO GELATO, LLC",896520,Active
SONASSA AFRIMART LLC,896886,Active
SONIA DAY SPA LLC,904271,Dissolved
SONO VARIETY INC,905990,Dissolved
"SONO COURT, LLC",906064,Active
"SONDEO, LLC",906354,Active
"SONO BARTENDING SCHOOL, LLC",907625,Active
"SONIC SOUNDS PRODUCTIONS, LLC",908328,Dissolved
SONIC CONSTRUCTION INC.,910525,Active
SONIC INDUSTRIES SERVICES INC.,911452,Active
SONIA & SEJAL INC.,911780,Active
"SONO ART EDITIONS, LLC",913225,Dissolved
"SONO ROCK GYM, LLC",914781,Dissolved
"SONOMA CAPITAL, LLC",915554,Dissolved
SONIC INDUSTRIES LLC,916376,Active
SON OF BRONSON LLC,919508,Active
SONIC BRANDS LLC,922630,Dissolved
"SONODEPOT, INC.",926209,Withdrawn
"SONO STAFFING, LLC",930859,Dissolved
"SON OF STAN, LLC",931497,Active
SONG CLEANERS LLC,935573,Dissolved
SONO LIMOUSINE LLC,936000,Dissolved
"SONGCO ENTERPRISES, LLC",939324,Active
"SONIC GOLF, INC.",939436,Withdrawn
"SONA WINES, INC.",940719,Withdrawn
"SONOMA HOTEL GROUP, INC.",941894,Active
"SON TRAN & JULIE VO, LLC",945817,Dissolved
"SONO RESTAURANT GROUP, LLC",949110,Dissolved
"SONLOC, LLC",950649,Active
SONS BETTER CLEANERS LLC,951811,Active
SONNET 228 LLC,956285,Dissolved
"SONNY'S WINE & SPIRITS, LLC",956722,Active
"SONO COFFEE HOUSE, LLC",957357,Dissolved
"SONO ART GALLERY, LLC",957361,Dissolved
SONATA LLC,957805,Active
"SONITROL FRANCHISE COMPANY, L.L.C.",958309,Cancelled
"SONO RIDGE CONDOMINIUM ASSOCIATION, INC.",959305,Active
SONO CAPITAL LENDERS LLC,961301,Active
SONO FIELD HOUSE LLC,961366,Active
SONIA'S CLEANING SERVICES LLC,962312,Active
SONHO MAGICO JEWELRY LLC,962396,Dissolved
"SONO INTERNATIONAL, LLC",962876,Active
"SONIC BOMB, LLC",963065,Active
"SONO ROWING, INC.",964378,Active
"SONG-A-DAY MUSIC, LLC",968278,Active
SONO ALE HOUSE LLC,969480,Active
"SONICOR, INC.",972533,Active
"SONO DECOR, LLC",973555,Active
SONO STUDIOS LTD LLC,973897,Active
SONZA LLC,977128,Active
SONGBRIGHT LLC,977312,Active
SONIA C LLC,977501,Dissolved
SONS AND DAUGHTERS HOME CARE LLC,978431,Dissolved
SONE IMPORT EXPORT LLC,980775,Active
"SONIA NAILS, CORP.",982826,Dissolved
"SONO VARIETY, LLC",991726,Dissolved
"SONZA II, LLC",994188,Active
"SONO SEPTIC, LLC",999559,Dissolved
"SON OF A CARPENTER CONTRACTING, LLC",1002976,Active
SONOEXPRESS LLC,1004337,Dissolved
"SONS OF HD, INC.",1004373,Active
SONS OF THUNDER L.L.C. TRANSPORTATION,1006547,Dissolved
SONASSA'S LLC,1007480,Active
SONY INTERACTIVE ENTERTAINMENT AMERICA LLC,1008377,Withdrawn
SONY COMPUTER ENTERTAINMENT AMERICA LLC,1008377,
SONGBIRD LLC,1008480,Dissolved
SONIA'S CLEANING LLC,1009400,Active
"SONIC REALTY OF MANCHESTER, LLC",1012437,Active
"SONIC OF MANCHESTER CT, LLC",1012438,Active
"SONIC REALTY OF WALLINGFORD, LLC",1012439,Active
"SONIC OF WALLINGFORD CT, LLC",1012441,Active
"SONIC MANAGEMENT COMPANY, LLC",1013772,Active
"SONO CORNER, LLC",1014556,Active
SONIC SCIENCES LLC,1016736,Dissolved
"SONOMA RISK INSURANCE AGENCY, LLC",1019406,Cancelled
SONTAG ADVISORY LLC,1021126,Active
"SONGWRITE ENTERTAINMENT, LLC",1026151,Active
SONO MARINE LLC,1029348,Active
SONIC PLUMBING LLC,1029407,Active
"SONYA BAKRI, LLC",1032452,Active
"SONO METRO, LLC",1034731,Active
SONO BOATHOUSE LANDING LLC,1035197,Active
"SON OF A STITCH, LLC",1036333,Active
SONIC FRANCHISING LLC,1036767,Active
"SONO SEPTIC, INC.",1036809,Active
"SONO DENTAL GROUP, LLC",1037391,Active
"SONORAN RISK PURCHASING GROUP, INC.",1037515,Withdrawn
"SONATA 22, LLC",1039158,Active
SONO ELECTRIC & CONSTRUCTION LLC,1039372,Active
"SONI HOLDINGS, LLC",1042936,Active
SONIVA CLEANING SERVICE LLC,1045589,Dissolved
SONO MARKET PLACE LLC,1045625,Active
"SONOMA CT, LLC",1045827,Dissolved
"SONGBIRD ESTATES, LLC",1046902,Active
"SONIFI HEALTH, INC.",1048721,Active
"SONIFI HEALTHCARE, INC.",1048721,
SONO SOCCER CENTER LLC,1050716,Dissolved
SONO SALON HALO LLC,1051118,Dissolved
SONIDO WAGNER LLC,1051228,Active
SONO BASEBALL ACADEMY LLC,1051234,Active
SONS OF JAH ENTERTAINMENT LLC,1052162,Active
"SONO ICE HOUSE, LLC",1052942,Withdrawn
SONNY'S REUPHOLSTERY LLC,1053096,Active
SONO MULTISERVICE INC.,1055747,Dissolved
"SONO FILM CENTER, LLC",1056171,Dissolved
SONIA CASTANEDA LLC,1059289,Active
SONO FUNDING LLC.,1060248,Active
SONJIA MURRAY LLC,1060877,Active
"SONO EQUITIES, LLC",1065052,Cancelled
"SONO YOGURT CAFE, INC",1065418,Dissolved
"SONO SUDS, LLC",1069313,Active
"SONIA M. ANDERSON, LLC",1072625,Dissolved
SONS OF JACOB CONSTRUCTION L.L.C.,1072651,Active
"SONO HARBOR DELI AND CATERING, INC.",1079980,Active
SONO HOLDINGS LLC,1081656,Dissolved
"SONO CANTINA, LLC",1082180,Active
SON VIDA LLC,1083129,Dissolved
SONO 580 RIVERSIDE AVENUE LLC,1084600,Dissolved
"SONNY'S BARBER SHOP, LLC",1086849,Active
"SONO PROPERTY INVESTORS, LLC",1089325,Active
"SON RISE PERSONAL SAFETY, LLC",1090772,Active
"SONESON LAWN CARE, LLC",1095928,Active
"SONO PIZZA, LLC",1097116,Dissolved
SON CONVENIENCE LLC,1099664,Active
"THE ATHLETIC EDGE, LLC",1099861,Active
"SONO ICE HOUSE GYM, LLC",1099861,
SONE CONSULTING LLC,1099903,Dissolved
"SONO ICE HOUSE GRILL, LLC",1100183,Dissolved
"SONO HAIR STORE, INC.",1102495,Active
"SONIC OF BRISTOL, LLC",1104819,Active
"SONIC OF MILFORD, LLC",1104820,Active
"SONIC OF NEWINGTON, LLC",1104821,Active
SON ENERGY SYSTEMS LLC,1106384,Active
SONITUS MEDICAL INC.,1106960,Active
"SONAR, LLC",1107045,Dissolved
SONDER LLC,1108592,Active
"THE SRG/ILS GROUP, LLC",1111826,Active
"SONO RECORDING GROUP, LLC",1111826,
"SONIC ENTERTAINMENT GROUP, LLC",1111990,Dissolved
SON APARTMENTS LLC,1114789,Active
SONIDO MEDARDO LLC,1115653,Active
"SO NO HARBOR LANDING, LLC",1115823,Active
SONGER CONTRACTING LLC,1116316,Active
SONO AUTO SOUND LLC,1118194,Active
SONALI SARMA ADVOCACY SERVICES LLC,1119015,Active
SONIC HOME IMPROVEMENT LLC,1119857,Active
"SO.NO. HOLDINGS, LLC",1121985,Active
"SO. NO HOLDINGS, LLC.",1121985,
"SONO CANTINAS, LLC",1123274,Active
SONS OF AMVETS SQUADRON #47 INC.,1125914,Active
SONNY B LLT,1126035,Active
"SONITOR TECHNOLOGIES, INC.",1129088,Active
SONIA CORNEJAL LLC,1132641,Active
"SONTERRA MANAGEMENT, LLC",1133538,Active
SONO ELY LLC,1134732,Active
"SONIC TRANSPORT, LLC",1134881,Active
"SONO EXECUTIVE SUITES, LLC",1140111,Active
"SONO SUITES SERVICES, LLC",1141720,Cancelled
SON SHINE PLUS LLC,1142024,Dissolved
SON HENG CORPORATION,1143236,Active
SONG DENTISTRY P.C.,1143510,Active
S.O.N.G.S. PROJECT INC. (SAVING OUR NEXT GENERATION OF SONS PROJECTS INC.),1143693,Active
"SONOMA BEVERAGE WORKS, INC.",1147588,Withdrawn
"SONSE TECHNOLOGY GROUP, LLC",1147810,Active
SONOVAPE LLC.,1148634,Active
SONO LODGING LLC,1148892,Active
"SONO ALLIANCE, INC.",1150721,Active
SON GROUP CORP.,1151602,Active
"SONGBIRD, LLC",1152508,Active
"SONGBIRDS ENTERPRISES, LLC",1153399,Dissolved
SONO LIFESTYLE LLC,1156677,Active
"SONO MINIMARKET, LLC",1156744,Active
SONICK PLAGUE LLC,1158695,Active
