Entity Type,Entity #,Entity Name,Name Type,Status
Limited Liability Company,74350D,"ALASKA FOUR SEASONS, LLC",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,84599D,ALASKA INSTITUTE FOR PERSONAL GROWTH,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,74864D,ALASKA MASONIC CHARITIES FOUNDATION,Previous Legal Name,Good Standing
Nonprofit Corporation,74864D,Alaska Masonic Foundation for Children,Legal Name,Good Standing
Nonprofit Corporation,29838D,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,Legal Name,Good Standing
Nonprofit Corporation,18102D,ALASKA MASONIC RESEARCH ASSOCIATION INCORPORATED,Legal Name,Involuntarily Dissolved
Business Corporation,4012H,"ALASKA MASONRY AND CONSTRUCTION COMPANY, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,3285H,"ALASKA MASONRY CO., INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,87935D,"ALASKA MASONRY CONTRACTORS, LLC",Legal Name,Involuntarily Dissolved
Name Reservation,10035743,Alaska Native Arts Online,Legal Name,Canceled Name
Limited Liability Company,10036146,"ALASKA NATIVE ARTS ONLINE, LLC",Legal Name,Good Standing
Limited Liability Company,118754,"Alaska Personal Assistant Service, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,87001D,"ALASKA PERSONAL CARE, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,10012815,"Alaska Personal Defense and Wellness, LLC",Legal Name,Voluntarily Dissolved
Business Name Registration,112906,Alaska Personal Injury Law Group,Legal Name,Expired Name
Business Name Registration,10018752,ALASKA PERSONAL INJURY LAW GROUP,Legal Name,Expired Name
Business Corporation,722H,ALASKA PERSONAL SERVICE AGENTS,Legal Name,Voluntarily Dissolved
Limited Liability Company,92921,Alaska Personal Tours LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10036432,Alaska Personal Training LLC,Legal Name,Good Standing
Business Corporation,59627D,"ALASKA PERSONNEL, INC.",Legal Name,Good Standing
Business Name Registration,10001516,ALASKA SEASONING COMPANY,Legal Name,Expired Name
Nonprofit Corporation,10010096,Alaska Songbird Institute,Legal Name,Good Standing
Business Name Registration,108771,Alaska Songbird Publishing,Legal Name,Expired Name
Business Corporation,121867,Alaska Weddings On Ice Limited,Legal Name,Good Standing
Business Corporation,60955D,"ALASKA'S ALL SEASONS TRAVEL, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,60051D,"ALASKAN SONG, L.L.C.",Legal Name,Involuntarily Dissolved
Name Reservation,10000598,Alaskans for Bristol Bay Vote Yes on the Save our Salmon Initiative,Legal Name,Expired Name
Business Corporation,65133D,"ALASKISON CONCEPTS, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,65879D,"ALBERTSON PROPERTY MANAGEMENT, LLC",Legal Name,Good Standing
Business Corporation,10107958,"ALBERTSONS COMPANIES, INC.",Legal Name,Good Standing
Limited Liability Company,10008140,"Aldus Anderson, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,133291,"Alena R. Anderson, M.D., P.L.L.C.",Legal Name,Involuntarily Dissolved
Limited Partnership,3845PD,ALFSON ENTERPRISES LIMITED PARTNERSHIP LP#1,Legal Name,Non-Compliant
Business Corporation,90231D,"Alison & Caleb Rapp Enterprises, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10107297,ALISON MARKS LLC,Legal Name,Good Standing
Limited Liability Company,10117968,"Alison Walsh, LLC",Legal Name,Good Standing
Limited Liability Company,121204,"Alison's Freight Forwarders, LLC",Legal Name,Good Standing
Business Corporation,64372D,"ALISON'S RELOCATIONS, INC.",Legal Name,Good Standing
Limited Liability Company,10052537,"All Seasons Alaska, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,66081D,"ALL SEASONS ARGO & EQUIPMENT, LLC.",Legal Name,Good Standing
Limited Liability Company,10089028,All Seasons Aviation LLC,Legal Name,Non-Compliant
Business Corporation,10032396,All Seasons Clothing Company,Legal Name,Good Standing
Business Corporation,10032395,All Seasons Construction Company,Legal Name,Good Standing
Limited Liability Company,124717,"All Seasons Contracting, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,114450,"All Seasons Family Healthcare, LLC",Legal Name,Good Standing
Limited Liability Company,10010311,"All Seasons Golf Course and Sports Dome, LLC",Legal Name,Good Standing
Business Corporation,10060675,All Seasons Painting Company,Legal Name,Involuntarily Dissolved
Limited Liability Company,99956,"All Seasons Plumbing and Heating, LLC",Legal Name,Good Standing
Business Name Registration,10054882,ALL SEASONS RESOURCES,Legal Name,Active Name
Business Corporation,46972D,"ALL SEASONS TRANSPORT, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,69073D,"ALL SEASONS TRANSPORT, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10029082,"All Seasons Travel Alaska, LLC.",Legal Name,Good Standing
Business Corporation,50549D,"ALL SEASONS TRAVEL, INCORPORATED",Legal Name,Involuntarily Dissolved
Business Corporation,75605D,"ALL SEASONS, INC.",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,130273,Alliance for Reason and Knowledge,Legal Name,Good Standing
Limited Liability Company,10014451,Allison ALH LLC.,Legal Name,Involuntarily Dissolved
Limited Liability Company,10028704,"Allison Medical, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10047331,"Allison Mulcahy, LLC",Legal Name,Good Standing
Limited Liability Company,10109817,"ALLISON PROPERTIES, LLC",Legal Name,Good Standing
Business Corporation,10052679,"ALLISON TRANSMISSION, INC.",Legal Name,Good Standing
Limited Liability Company,123179,"ALLISON, LLC",Legal Name,Good Standing
Business Corporation,10027651,AllSeasons Campground Corp.,Legal Name,Good Standing
Business Corporation,30944D,"ALMA JACKSON, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,91512,Alpenglow All Seasons Resort,Legal Name,Expired Name
Business Corporation,58259F,"ALVORD & RICHARDSON CONSTRUCTION COMPANY, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,115596,Alvord Richardson Construction Co,Legal Name,Expired Name
Business Name Registration,23541,ALWAYS ON CALL MOUNTAIN MECHANICAL,Legal Name,Expired Name
Business Corporation,78456D,ALWAYS ON CALL MOUNTAIN MECHANICAL CORP,Legal Name,Good Standing
Limited Liability Company,10007840,"Alyssa Thompson-Tucker, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10002920,"AM Johnson, LLC",Previous Legal Name,Involuntarily Dissolved
Business Corporation,57329D,"AMASON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,10099687,Ambersons Incorporated,Legal Name,Good Standing
Business Corporation,6737H,"AMERICAN MASONRY, INC.",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10045475,AMVETS 0002 Sons of Amvets,Legal Name,Good Standing
Limited Liability Company,10083418,"Amy J Johnson Photography, LLC",Legal Name,Good Standing
Limited Liability Company,136695,"Amy Williamson, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,3737H,"ANCHORAGE MASONARY, INC.",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,38H,ANCHORAGE MASONIC CLUB,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,4179D,"ANCHORAGE MASONIC TEMPLE HOLDING COMPANY, INC.",Legal Name,Good Standing
Business Corporation,4082H,"ANCHORAGE MASONRY AND BUILDING COMPANY, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,112646,Anchorage Museum at Rasmuson Center,Legal Name,Expired Name
Nonprofit Corporation,72123D,"ANCHORAGE PARKINSON'S DISEASE SUPPORT GROUP, INC.",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,8655D,"Anchorage Sourdough Chapter #533 Of Americn Association Of Retired Persons, Inc.",Previous Legal Name,Non-Compliant
Business Corporation,46540D,"ANDERSON & ASSOCIATES, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,104354,"Anderson & Lohr Healthcare Consulting Services, LLC.",Legal Name,Good Standing
Limited Liability Company,81279D,ANDERSON & SON CONSTRUCTION LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10020179,Anderson & Sons LLC,Legal Name,Good Standing
Business Corporation,47252F,"ANDERSON & WOOD CONSTRUCTION CO, INC.",Legal Name,Revoked
Business Name Registration,10081597,ANDERSON AND TROTTER DIGITAL BILLBOARD COMPANY,Legal Name,Active Name
Limited Liability Company,10081589,Anderson and Trotter Media Group LLC,Legal Name,Good Standing
Limited Liability Company,10072125,Anderson and Trotter Transportation Company LLC,Legal Name,Good Standing
Limited Liability Company,10057918,ANDERSON ANDERSON WENDLER & ESPINOSA LLC,Legal Name,Good Standing
Limited Liability Company,70791D,ANDERSON APARTMENTS LLC,Legal Name,Involuntarily Dissolved
Business Corporation,85630D,"ANDERSON BAY, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,56147D,"ANDERSON BLADING & CONSTRUCTION, INC.",Legal Name,Involuntarily Dissolved
Name Reservation,10015966,Anderson Brothers Electric,Legal Name,Expired Name
Name Reservation,10021007,Anderson Brothers Electric,Legal Name,Canceled Name
Limited Liability Company,10022520,"Anderson Brothers Electric, LLC",Legal Name,Good Standing
Limited Liability Company,76054D,ANDERSON BUSINESS CONSULTING LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10078890,Anderson Clear Lions Club Inc,Legal Name,Involuntarily Dissolved
Limited Liability Company,10036372,"Anderson Commercial, LLC",Legal Name,Good Standing
Limited Liability Company,88156D,"ANDERSON CONSTRUCTION COMPANY, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,10109513,Anderson Consulting & Investments LLC,Legal Name,Good Standing
Limited Liability Company,10005572,"Anderson Custom Builders, LLC.",Legal Name,Good Standing
Limited Liability Company,96138,"Anderson Dabrowski Architects, LLC",Legal Name,Good Standing
Limited Liability Company,132901,Anderson Dalton Design and Construction LLC.,Legal Name,Voluntarily Dissolved
Limited Liability Company,10039345,Anderson Dental LLC,Legal Name,Good Standing
Name Reservation,10115767,Anderson Door,Legal Name,Active Name
Business Corporation,10001138,Anderson Drilling Inc.,Legal Name,Good Standing
Limited Liability Company,134619,"Anderson E-Commerc, LLC",Legal Name,Revoked
Business Name Registration,10006508,Anderson Educational Services,Legal Name,Expired Name
Business Name Registration,119802,Anderson Electric & Consulting,Legal Name,Expired Name
Limited Liability Company,10019097,Anderson Electric LLC,Legal Name,Good Standing
Business Name Registration,113052,Anderson Enterprises Alaska,Legal Name,Expired Name
Business Name Registration,10031974,ANDERSON ENTERPRISES ALASKA,Legal Name,Active Name
Limited Liability Company,64333D,"ANDERSON ENTERPRISES, LLC",Legal Name,Good Standing
Limited Liability Company,127262,"Anderson Environmental Contracting, LLC",Legal Name,Good Standing
Limited Liability Company,10010002,"ANDERSON EQUIPMENT, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,46347F,ANDERSON EXCAVATING CO.,Legal Name,Revoked
Limited Partnership,65449PD,ANDERSON FAMILY LIMITED PARTNERSHIP,Legal Name,Voluntarily Dissolved
Nonprofit Corporation,10029585,Anderson Family Music Festival,Legal Name,Good Standing
Limited Liability Company,97885,"Anderson Group, LLC",Legal Name,Good Standing
Business Corporation,10061418,"ANDERSON HALLAS ARCHITECTS, CORPORATION",Legal Name,Good Standing
Limited Partnership,10023811,Anderson Holdings Limited Partnership,Legal Name,Non-Compliant
Limited Liability Company,10023392,"Anderson Homestead, LLC",Legal Name,Good Standing
Business Corporation,10097307,"Anderson House Tours, Inc.",Legal Name,Good Standing
Business Corporation,85932D,ANDERSON INC.,Legal Name,Involuntarily Dissolved
Limited Liability Company,10016720,Anderson Investments LLC,Legal Name,Involuntarily Dissolved
Business Corporation,18556D,"ANDERSON INVESTMENTS, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,112731,Anderson LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10029780,Anderson Management LLC,Legal Name,Good Standing
Business Corporation,2303D,"ANDERSON MARINE SERVICES, INC.",Legal Name,Good Standing
Business Name Registration,29412,ANDERSON MECHANICAL SYSTEMS & SERVICE,Legal Name,Expired Name
Limited Liability Company,10029619,"Anderson Merchandisers, LLC",Legal Name,Good Standing
Limited Partnership,10000282,Anderson Parkey Limited Partnership,Legal Name,Non-Compliant
Limited Liability Company,74719D,"ANDERSON PLUMBING AND HEATING SUPPLIES, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,10087737,Anderson Poolworks Inc.,Assumed Name,Good Standing
Limited Liability Company,10010890,Anderson Properties LLC,Legal Name,Good Standing
Limited Liability Company,80375D,ANDERSON QUALITY CONSTRUCTIONS LLC,Legal Name,Involuntarily Dissolved
Foreign Corporate Name Registration,10010004,ANDERSON REGISTERED AGENTS,Legal Name,Canceled Name
Business Corporation,10014663,Anderson Registered Agents,Legal Name,Good Standing
Business Corporation,10014663,"Anderson Registered Agents, Inc.",Assumed Name,Good Standing
Business Corporation,45402D,"ANDERSON SEAFOODS, LTD.",Legal Name,Involuntarily Dissolved
Limited Liability Company,77074F,"ANDERSON SERVICES, LLC",Legal Name,Revoked
Business Corporation,39480F,"ANDERSON TRUCKING SERVICE, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,50481F,ANDERSON TUG & BARGE CO.,Legal Name,Revoked
Business Corporation,114729,ANDERSON WILDERNESS GUIDE SERVICE INC.,Legal Name,Good Standing
Business Corporation,58926F,"ANDERSON WILDERNESS GUIDE SERVICE, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10029418,"Anderson Wood Service ""LLC""",Legal Name,Involuntarily Dissolved
Business Corporation,10026304,Anderson ZurMuehlen,Assumed Name,Good Standing
Business Corporation,10026304,"Anderson ZurMuehlen & Co., P.C.",Legal Name,Good Standing
Limited Liability Company,10099581,"Anderson's Bride & Jim's Tuxedos, LLC",Legal Name,Good Standing
Business Corporation,58149D,"ANDERSON'S FIREWEED LODGE, INC.",Legal Name,Good Standing
Limited Liability Company,101484,ANDERSON'S MINORITY CONTRACTING LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10112780,"Anderson's Way, LLC",Legal Name,Good Standing
Limited Liability Company,78628D,"ANDERSON, CRONEN AND LOHR HEALTHCARE CONSULTANTS, LLC",Legal Name,Voluntarily Dissolved
Business Corporation,49251D,"ANDERSON-BRUNTON INSURANCE BROKERS, INCORPORATED",Legal Name,Involuntarily Dissolved
Limited Liability Company,77110D,"ANDERSON-CRONEN CONSULTING, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10092726,Anderson-Lamborn Holdings LLC,Legal Name,Good Standing
Business Name Registration,104726,Andersons & Associates,Legal Name,Expired Name
Limited Liability Company,10052861,Andrews and Sons LLC,Legal Name,Good Standing
Limited Liability Company,10057210,Anita Raubeson LLC,Legal Name,Good Standing
Limited Liability Company,124343,APRIL CONCRETE -MASONRY LLC,Previous Legal Name,Involuntarily Dissolved
Limited Liability Company,10012586,"Aqueous Jepson Technologies, LLC",Previous Legal Name,Involuntarily Dissolved
Limited Liability Company,10012586,"Aqueous Jepson Technologies, LLC",Previous Legal Name,Involuntarily Dissolved
Business Corporation,48238D,ARCTIC CONCRETE AND MASONRY INC.,Legal Name,Involuntarily Dissolved
Limited Liability Company,10108544,"Arctic Sons Painting, LLC",Legal Name,Good Standing
Business Corporation,55644F,ARIZONA LARSON COMPANY,Assumed Name,Withdrawn
Limited Liability Company,10086997,"ARMason Asset 1, LLC",Legal Name,Good Standing
Limited Partnership,10088573,"ARMASON SAFE 1, LIMITED PARTNERSHIP",Legal Name,Good Standing
Limited Liability Company,10005909,"ARNESON BUILDERS, LLC",Legal Name,Good Standing
Business Corporation,45594F,"ART ANDERSON ASSOCIATES, INC.",Legal Name,Good Standing
Nonprofit Corporation,45724D,"ARTIC MASONIC LODGE #7, INC.",Legal Name,Involuntarily Dissolved
Nonprofit Corporation,86969D,ARTS ON THE EDGE,Legal Name,Good Standing
Limited Liability Company,113905,ARVIDSON ALASKA LLC,Legal Name,Good Standing
Limited Liability Company,10088251,ARVIDSON MARINE SURVEYORS,Previous Legal Name,Good Standing
Limited Liability Company,10088251,ARVIDSON MARINE SURVEYORS & DOCUMENTATION LLC,Legal Name,Good Standing
Limited Liability Company,72433D,"ARVIN ANDERSON ENTERPRISES, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10058664,"Aryeh Levenson, MD, LLC",Legal Name,Good Standing
Business Corporation,64755D,"ASAP ANSWERING & PERSONNEL SERVICES, INC.",Legal Name,Involuntarily Dissolved
Professional Corporation,37749D,"Ashburn & Mason, A Professional Corporation",Legal Name,Good Standing
Limited Liability Company,85227D,ASI PERSONNEL MANAGEMENT LLC,Legal Name,Voluntarily Dissolved
Limited Liability Company,10003617,"Aspen Personal Care Services, LLC",Legal Name,Good Standing
Limited Liability Company,59059D,"ASRC PARSONS ENGINEERING, LLC",Legal Name,Voluntarily Dissolved
Nonprofit Corporation,132476,"Associated Masonry Contractors of Alaska, Inc.",Legal Name,Good Standing
Limited Liability Company,104011,ASSUREDPARTNERS JAMISON LLC,Legal Name,Good Standing
Business Corporation,10008024,"Atkinson Aeronautics & Technology, Inc.",Legal Name,Withdrawn
Limited Partnership,75037PD,ATKINSON FAMILY LIMITED PARTNERSHIP,Legal Name,Voluntarily Dissolved
Business Corporation,10012300,Atkinson Robotics & Technology Integration Corporation (ARTIC),Legal Name,Involuntarily Dissolved
Business Corporation,8258D,"ATKINSON, CONWAY, & GAGNON, INC.",Legal Name,Good Standing
Business Name Registration,10011646,AURORA BIRTH SONG,Legal Name,Expired Name
Limited Liability Company,10099252,"Aurora Sonography, LLC",Legal Name,Good Standing
Business Corporation,94948,"Aurora Tile & Masonry, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,78712D,"AURORA TILE AND MASONRY, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,94942,"Aurro Personal Services, LLC",Legal Name,Involuntarily Dissolved
Professional Corporation,10101311,"AUSTIN T. NELSON MD, P.C.",Legal Name,Good Standing
Business Corporation,43339F,AVERY DENNISON OFFICE PRODUCTS COMPANY,Legal Name,Withdrawn
Business Corporation,101006,"Axelson Boat, Inc.",Legal Name,Involuntarily Dissolved
Business Corporation,79342D,"Axelsson and Associates, Inc.",Legal Name,Good Standing
Business Corporation,79342D,"AXELSSON, MAYO & ASSOCIATES, INC.",Previous Legal Name,Good Standing
Limited Liability Company,126294,"B & G Robertson, LLC",Legal Name,Voluntarily Dissolved
Business Corporation,62030F,B. R. ANDERSON & CO.,Legal Name,Revoked
Business Corporation,128489,"B.J. Masonry, Inc.",Legal Name,Involuntarily Dissolved
Business Corporation,75824F,"B.K. NELSON CONSTRUCTION, INC.",Legal Name,Revoked
Nonprofit Corporation,58885D,BADGER - RICHARDSON SAFE WATER ASSOCIATION,Legal Name,Involuntarily Dissolved
Business Corporation,70028F,"BAE Systems Sierra Detroit Diesel Allison, Inc",Legal Name,Withdrawn
Limited Liability Company,10057361,"Bahnson Environmental Specialties, LLC",Legal Name,Good Standing
Business Corporation,10041915,"Baker, Donelson, Bearman, Caldwell & Berkowitz, a Professional Corporation",Legal Name,Good Standing
Business Corporation,10041915,"Baker, Donelson, Bearman, Caldwell & Berkowitz, Corporation",Assumed Name,Good Standing
Business Name Registration,123308,Balance Personal Training,Legal Name,Expired Name
Nonprofit Corporation,10012555,Ballers on Purpose,Legal Name,Involuntarily Dissolved
Limited Liability Company,91198,"Bangeman Johnson Consulting, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,103204,"Barbara R. Wilson, LCSW, Professional Corporation",Legal Name,Involuntarily Dissolved
Business Corporation,10006685,"BARGREEN ELLINGSON, INC.",Legal Name,Good Standing
Limited Liability Company,10050864,"Barlow Anderson, LLC",Legal Name,Good Standing
Limited Liability Company,134309,Barnette & Sons Mobile DJ Service LLC,Legal Name,Good Standing
Business Corporation,45793D,"BARSON, INC.",Legal Name,Good Standing
Limited Liability Partnership,10003278,"Bauer Moynihan & Johnson, L.L.P.",Legal Name,Good Standing
Business Name Registration,101707,Bear & Bason Bed & Bath,Legal Name,Expired Name
Limited Liability Company,10002773,Bearing Song,Previous Legal Name,Non-Compliant
Limited Liability Company,10002773,Bearing Song LLC,Legal Name,Non-Compliant
