Name	Record Type	File Number	Status [More info]
AAA DRYWALL & MASONRY	Trade Name	329284 ZZ	Expired
AAA DRYWALL & MASONRY LLC	Entity	39978 C5	Adm. Terminated
AAA DRYWALL & MASONRY LLC	Pending Filing	13997296 T8	Expired
AAA MALAMA AINA LANDSCAPE AND MASONRY DESIGN LLC	Entity	118750 C5	Nm. Chg.
AAC MASONRY	Trade Name	210304 D1	Expired
AANA & SONS, INC.	Entity	10682 D1	Active
E AANENSON MAUI LLC	Entity	120763 C6	Active
E AANENSON MAUI LLC	Pending Filing	13147330 T8	Expired
AARON HENDRICKSON PAINTING	Trade Name X-Ref 1	462637 ZZ	Active
AARON'S MASONRY	Trade Name	335519 ZZ	Expired
AARON'S SURFING LESSONS	Trade Name	303841 ZZ	Expired
ABBOTT-PIERSON PARTNERSHIP LLC	Entity	40107 C5	Adm. Terminated
ABC JACKSON, INC.	Entity	67712 D1	Inv. Dissolved
ABE AND SONS PROPERTY CARE	Trade Name	422417 ZZ	Active
ABELMANN PETERSON LLLC	Entity	73099 C5	Active
ABELMANN PETERSON ROLLINS LLLC	Entity	73099 C5	Nm. Chg.
KIM ABRAHAMSON	Trade Name	427492 ZZ	Active
ABSTACT POOLS & MASONRY LLC	Pending Filing	12562997 T8	Expired
ABSTRACT POOLS & MASONRY LLC	Entity	60558 C5	Terminated
ACCO-WILSON, INC.	Entity	4776 F1	Active
ACCOUNTING & FINANCIAL PERSONNEL AGENCY	Trade Name	38096 P1	Expired
ACCURATE BONDING & CONFIDENCE MASONRY	Trade Name	203530 ZZ	Expired
ACCURATE VENISON SOLUTIONS, LLC	Entity	194043 C5	Active
ACCUSONIC TECHNOLOGIES, INC.	Entity	18503 F1	Withdrawn
ACE MASONRY	Trade Name	51725 ZZ	Expired
ACERSON CAREHOME LLC	Entity	111058 C5	Active
ACHESON, BOGAERT & CARNAGO	Entity	50167 G6	1
ACKER AND SONS, LLC	Entity	116273 C5	1
ACKER & SONS, LLC	Entity	54857 C5	Adm. Terminated
ACKERSON CORPORATION	Entity	78030 D1	Dissolved
ACME PERSONNEL SERVICE	Service Mark	54739 ZZ	Expired
ACORDIA PERSONAL BENEFITS OF HAWAII, INC.	Pending Filing	56218 T8	Expired
ACORN PERSONNEL, INC.	Entity	45022 D1	Inv. Dissolved
ACT 1 PERSONNEL SERVICES	Trade Name	31289 F1	Active
ACT 1 PERSONNEL SERVICES	Trade Name	31289 F1	Expired
ACTION JACKSON'S	Trade Name	255263 ZZ	Expired
ACTION JACKSON'S	Pending Filing	11033348 T8	Expired
ACTION MEDICAL PERSONNEL	Trade Name	64083 D1	Expired
ACTION MEDICAL PERSONNEL	Trade Name	65789 D1	Expired
ACTION MEDICAL PERSONNEL	Trade Name	65789 D1	Cancelled
ACTION MEDICAL PERSONNEL	Pending Filing	72021 T8	Expired
ACTION MEDICAL PERSONNEL	Pending Filing	187003 T8	Expired
ACTION MEDICAL PERSONNEL, INC.	Entity	106721 D1	Inv. Dissolved
ACTION MEDICAL PERSONNEL, INC.	Pending Filing	10921740 T8	Expired
ACTION MEDICAL PERSONNEL, INC.	Pending Filing	11035625 T8	Expired
ACTION MEDICAL PERSONNEL, INC.	Pending Filing	186201 T8	Expired
ACTION PERSONNEL AGENCY, INC.	Entity	38349 F1	Withdrawn
ACUSON CORPORATION	Entity	20083 F1	Inv. Cancelled
ADAIR & SONS CONSTRUCTION, INC.	Entity	20374 F1	Inv. Cancelled
ALLISON ADAMS INC.	Entity	121869 D1	Active
ADAMSON BUXTON CO. LTD	Pending Filing	12988537 T8	Expired
ADAMSON BUXTON COMPANY	Entity	1885 L5	Inv. Cancelled
ADAMSON BUXTON COMPANY LP	Entity	10065 L5	Cancelled
ADC MASONRY, LLC	Entity	29040 C5	Terminated
ADDISON BAY INSURANCE BROKERS LTD.	Entity	37378 F1	Withdrawn
ADDISON ENTERPRISES LLC	Entity	85473 C5	Adm. Terminated
JONI C. ADDISON, LLC	Entity	76052 C5	Adm. Terminated
NORMAN ADDISON	Trade Name X-Ref 1	356886 ZZ	Expired
ADDISON PRODUCTIONS, INC.	Entity	54893 F1	Withdrawn
ADDISON PRODUCTIONS, INC.	Pending Filing	13195577 T8	Expired
ADDISON PROFESSIONAL FINANCIAL SEARCH LLC	Pending Filing	13092378 T8	Expired
ADDISON PROFESSIONAL FINANCIAL SEARCH LLC	Pending Filing	13092379 T8	Expired
ADDISON YORK INSURANCE BROKERS LTD.	Entity	35797 F1	Withdrawn
THE ADELLA JOHNSON CORPORATION	Pending Filing	10983007 T8	Expired
ADIA PERSONNEL SERVICES	Trade Name	84564 D1	Expired
ADKISON HI MANAGEMENT	Trade Name	439247 ZZ	Active
ADKISON HI MANAGEMENT LLC	Entity	223688 C5	Active
ADSON	Trade Name	215811 C5	Active
ADSON CARS LLC	Cross Reference 1	215811 C5	Active
ADSONCARS LLC	Entity	215811 C5	Active
ADVANCED MEDICAL PERSONNEL SERVICES, INC.	Entity	40532 F1	Active
ADVANCED PERSONAL DYNAMICS	Trade Name	185363 ZZ	Expired
ADVANCED PHYSICAL THERAPY & PERSONAL TRAINING LLC	Entity	86668 C5	Nm. Chg.
AF & SONS L.L.C.	Entity	63045 C5	Terminated
AFFORDABLE HOUSING OPPORTUNITIES FOR PERSONAL EMPOWERMENT (AHOPE), INC.	Entity	277634 D2	1
AFFORDABLE LOCKSMITH AND SONS, LTD.	Entity	201695 D1	Dissolved
AFFORDABLE LOCKSMITH & SON LLC	Entity	106572 C5	Active
AFFORDABLE ROCK MASON, INC.	Entity	119903 D1	Inv. Dissolved
AGCAOILI & SON PARTNERS	Entity	12900 G5	Dissolved
AGGI & SON DELIVERY SERVICE	Trade Name	256788 ZZ	Expired
ARTHUR AGIN & SONS LIMITED PARTNERSHIP	Entity	7670 L5	Cancelled
LEILANI M AHIA-MATTSON LLC	Entity	74012 C5	Adm. Terminated
LEILANI M. AHIA-MATTSON LLC	Pending Filing	12774313 T8	Expired
H.F. AHMANSON & COMPANY	Entity	8495 F1	Withdrawn
AHOLELEI MASON CONT.	Trade Name	168077 ZZ	Expired
AIKO, AKO AND SON LLC	Entity	64320 C5	Active
JASON M. AINES, M.D., P.C.	Entity	250144 P1	Active
JASON M. AINES MD., PC. CORPORATION	Pending Filing	13369725 T8	Expired
AIRFRAME AND POWER PLANT MAINTENANCE BY JOHNSON	Trade Name X-Ref 1	60208 ZZ	Expired
AJ & SONS CATERING, LLC	Entity	62672 C5	1
AJANSONS HAWAII	Trade Name	196327 ZZ	Expired
AJANSONS HAWAII	Trade Name	226632 ZZ	Expired
AJANSONS POOL & SPA LLC	Entity	86850 C5	Active
AKA AND SONS	Trade Name	438438 ZZ	Active
AKA MASONRY LLC	Entity	203727 C5	Active
AKAHANE & PETERSON, CONSULTANTS	Entity	11630 G5	Inv. Cancelled
AKAMAI KITEBOARD LESSONS	Trade Name	312529 ZZ	Expired
AKAMAI KITEBOARD LESSONS	Pending Filing	11084728 T8	Expired
JASON AKAMINE SERVICES	Trade Name	317516 ZZ	Expired
J. AKAU MASONRY LLC	Entity	84722 C5	Active
AKI, ITO, & GIBSON ASSET MANAGEMENT GROUP HAWAII LLC.	Entity	22717 C5	Terminated
AKI, ITO, & GIBSON ASSET MANAGEMENT GROUP HAWAII LLC.	Pending Filing	11230026 T8	Expired
AKI ITO & GIBSON ASSET MANAGEMENT GROUP HAWAII LLC	Pending Filing	11045881 T8	Expired
AKIMBO (& GRAPHIC DESIGN OF 2 FIGURES. LEFT FIGURE HAS HANDON HIP AND HOLDING A GOLF CLUB. RIGHT FIGURE HAS BOTH HANDSON HIPS.)	Trade Mark	25135 G5	Expired
AKSON LLC	Entity	199970 C5	Active
AKULATA MASONRY AND LANDSCAPE	Trade Name	370257 ZZ	Expired
AL SON GENERAL REPAIR	Trade Name X-Ref 1	131059 ZZ	Expired
AL & SONS PAINTING	Trade Name	168708 ZZ	Expired
AL WATERSON PRODUCTIONS	Trade Name X-Ref 1	327385 ZZ	Expired
ALA MOANA ATKINSON, LLC	Entity	143946 C6	Cancelled
ALA MOANA BEACH SURF LESSONS	Trade Name	108896 C5	Expired
ALAN B. RICHARDSON, CPA, LLC	Cross Reference 1	5807 C5	Active
ALAN M. ROBINSON, LLC	Cross Reference 1	42531 C5	Adm. Terminated
ALAN WILSON INVESTMENTS LIMITED	Cross Reference 1	279407 D1	Active
ALAN WILSON INVESTMENTS, LLC	Cross Reference 1	117043 C5	Terminated
ALBARADO & SON INTERNATIONAL	Trade Name	71814 ZZ	Expired
ALBERTSON ASSOCIATES	Trade Name	52791 ZZ	Expired
ALBERTSON MARINE CORP.	Entity	236069 D1	Inv. Dissolved
THE ALBERTSONS COMPANIES FOUNDATION	Entity	39722 F2	Active
ALBERTSONS COMPANIES SPECIALTY CARE, LLC	Entity	168322 C6	Active
ALBERTSONS COMPANIES SPECIALTY PHARMACY, LLC	Entity	168322 C6	Nm. Chg.
ALBERTSON'S, INC.	Entity	20561 F1	Withdrawn
ALCON VISON MARKETPLACE	Pending Filing	14010262 T8	Expired
ALDERSON 2, LLC	Cross Reference 1	30996 C5	Adm. Terminated
ALDERSON AVIATION, INC.	Entity	119013 D1	Inv. Dissolved
ALDERSON/SIU I LLC	Entity	6194 C5	Adm. Terminated
ALDERSON TWO, LLC	Cross Reference 2	30996 C5	Adm. Terminated
ALDERSON2, LLC	Entity	30996 C5	Adm. Terminated
ALDERSON3, LLC	Entity	32414 C5	Nm. Chg.
ALEX & SON BUILDERS LLC	Entity	117680 C5	Active
ALEX & SON, INC.	Entity	86129 D1	Inv. Dissolved
ALEXANDER AND EMERSON CO., INC.	Entity	85731 D1	Inv. Dissolved
ALEXANDER AND EMERSON CO., INC.	Entity	56523 D1	Inv. Dissolved
ALEXANDER & EMERSON COMPANY LLC	Entity	119498 C5	Adm. Terminated
ALEXANDER & EMERSON TRAVEL	Trade Name	85731 D1	Expired
ALEXANDER & EMERSON TRAVEL	Trade Name	85731 D1	Expired
ALEXANDER JAMESON	Trade Name	33795 C5	Expired
ALFRED A. SISON, MA, LMFT, PSY.D. INC	Cross Reference 1	220747 D1	1
ALFRED & SONS CONSTRUCTION, INC.	Entity	13755 F1	Inv. Cancelled
ALIKA SPENCER PERSONALIZED ADVENTURE IN MAUI & LIMOUSINE SERVICE	Trade Name	207376 D1	Expired
ALIKA SPENCER PERSONALIZED ADVENTURE TOUR & LIMOUSINE SERVICE	Trade Name	207376 D1	Expired
ALIKA SPENCER PERSONALIZED ADVENTURE TOUR & LIMOUSINE SERVICE, CORP.	Entity	207376 D1	Inv. Dissolved
ALIKA SPENCER PERSONALIZED ADVENTURES IN MAUI LIMOUSINE SERVICE, INC.	Entity	207765 D1	Inv. Dissolved
ALISABETH ANDERSON: EXTREME CLEAN	Trade Name X-Ref 1	391044 ZZ	Active
ALISER AND SON	Pending Filing	11542464 T8	Expired
ALISHA MINER PERSONAL TRAINING	Trade Name X-Ref 1	403417 ZZ	Active
ALISON A. MIYASAKI, CPA, INC.	Cross Reference 1	209455 D1	Active
ALISON BESTE PHOTOGRAPHY	Trade Name X-Ref 1	347783 ZZ	Expired
ALISON BRIGHT LLC	Cross Reference 1	49250 C5	Active
ALISON & COMPANY REAL ESTATE LLC	Entity	56844 C5	Adm. Terminated
ALISON CONTESSA LTD.	Entity	85218 D1	Dissolved
ALISON HAYASHI, INC.	Entity	96425 D1	1
ALISON HAYASHI KISS & MAKEUP	Trade Name	378111 ZZ	Expired
ALISON HAYASHI KISS & MAKEUP	Trade Mark	259353 ZZ	Expired
ALISON HAYASHI KISS & MAKEUP	Trade Name	332724 ZZ	Expired
ALISON JOY BISHOP	Trade Name X-Ref 1	464453 ZZ	Active
ALISON LEARY, LLC	Cross Reference 1	139915 C5	Terminated
ALISON LYNN DESIGNS	Cross Reference 2	94775 C5	Terminated
ALISON W. JAYNE, DVM, INC.	Cross Reference 1	266705 D1	Active
ALISON ZECHA, INC.	Cross Reference 1	259696 D1	Active
ALISON ZECHA, INC.	Cross Reference 1	51781 F1	Active
ALISON'S ACUPUNCTURE & HERBS	Trade Name	161771 ZZ	Expired
ALISON'S AMAZING OILS	Trade Name	359742 ZZ	Expired
ALISON'S CARE & SERVICES	Trade Name X-Ref 1	434976 ZZ	Active
ALL AMERICAN MASONRY	Trade Name	406247 ZZ	Active
ALL KINEZ CUSTOM CONCRETE & MASONRY	Trade Name	423462 ZZ	Active
ALL-SEASON ATHLETE	Trade Name	310073 ZZ	Expired
ALL SEASON FARM	Entity	23640 G5	Dissolved
ALL SEASON FLOWERS	Trade Name	252719 ZZ	Expired
ALL SEASON JEWELRY	Trade Name	103405 ZZ	Expired
ALL SEASON WALLS	Trade Name X-Ref 1	56950 ZZ	Expired
ALL SEASONS COMMERCIAL DIVISION, INC.	Entity	43635 F1	1
ALL SEASONS GIFTS	Trade Name	312051 ZZ	Expired
ALL SEASONS GIFTS-DECOR	Trade Name	315608 ZZ	Expired
ALL SEASONS INTERNATIONAL, L.P.	Entity	6465 L6	Inv. Cancelled
ALL SEASONS JEWELRY LLC	Entity	45828 C5	2
ALL SEASONS PROPERTY CLEANERS	Trade Name	426556 ZZ	Active
ALL SEASONS REALTY, LTD.	Reservation	74478 R7	Expired
ALL SEASONS SEAMLESS GUTTERS HAWAII	Trade Name	316576 ZZ	Expired
ALL SEASONS TOUR	Trade Name	39367 D1	Expired
ALL SEASONS TRAVEL	Trade Name	196456 ZZ	Expired
ALL SEASONS TRAVEL & ACTIVITIES	Trade Name	14236 F1	Expired
ALL SEASONS TRAVEL AND SERVICES	Pending Filing	14058845 T8	Expired
ALL SEASONS TRAVEL SERVICES	Trade Name	312522 ZZ	Expired
ALL SEASONS TRAVEL & SERVICES	Trade Name	459504 ZZ	Active
ALL STAR MASONRY	Trade Name X-Ref 1	336801 ZZ	Expired
ALL-TECH MASON CONTRATORS L.L.C.	Entity	211110 C5	Active
ALLAN A. BENSON REAL ESTATE	Trade Name X-Ref 1	340195 ZZ	Expired
ALLAN MASON CONSTRUCTION	Trade Name X-Ref 1	365961 ZZ	Expired
JASON RICHARD ALLEN	Trade Name X-Ref 1	436214 ZZ	Active
ALLGOOD & SON DRAIN & GREASE TRAP CLEANING SERVICE	Trade Name	118735 D1	Expired
ALLIANCE PERSONNEL INC.	Entity	204171 D1	Active
ALLISON ADAMS INC.	Cross Reference 1	121869 D1	Active
ALLISON ADVANCED DEVELOPMENT COMPANY, INC.	Reservation	1372520 R7	Expired
ALLISON ASSOCIATES, LLC	Entity	188092 C5	Active
ALLISON CHU	Trade Name X-Ref 1	379911 ZZ	Expired
ALLISON CLEANING SERVICE, LLC	Entity	47753 C5	Active
ALLISON COMMUNICATIONS LLC	Entity	68629 C5	Adm. Terminated
ALLISON D T VAN ORMAN, CPA LLC	Entity	123191 C5	Active
ALLISON ENGINE COMPANY	Pending Filing	112036 T8	Expired
GERALD L. ALLISON, INC.	Entity	44757 D1	Inv. Dissolved
ALLISON HIGA DESIGN	Trade Name X-Ref 1	346491 ZZ	Expired
ALLISON IDE STRUCTURAL ENGINEERS LLC	Entity	2917 C5	Active
ALLISON INVESTMENT CORPORATION	Entity	71565 D1	Inv. Dissolved
ALLISON INVESTMENT CORPORATION	Pending Filing	11371155 T8	Expired
ALLISON IZU	Trade Name	144056 C5	Active
ALLISON IZU	Trade Name	305199 ZZ	Expired
ALLISON IZU LLC	Entity	144056 C5	1
