Num,Name,Abbreviation,Status, estimate ,son,daughter,Daughter_search,Son_search,Comments,conservative_flag
26,Montana,MT,Gaurav did,4,240,66,,,"MT provides all the search results and we run a regex to narrow down to cases where son(s) is a separate word. A brief glimpse suggests all of the results are legitimate, of the variety X and Son(s) etc. There the ratio between business names with the word son and daughter is about 4.",Yes
27,Nebraska,NE,Can't be Done,,,,41 rows found and copy/pasted to csv,keyword search of son gives error. Sons keyword search returns 1390 but really need spider to get to r to do regex,"Keep getting error, try later. Son search gives error due to count",
28,Nevada,NV,Gaurav did,72,1440,20,,,,
29,New Hampshire,NH,Done,27,3203,119,I copy pasted,Gaurav did selenium ,,
30,New Jersey,NJ,Done,2,173,73,Was able to copy/paste all with daughter,Copy pasted but results truncated at 500 so combined son and sons search to increase n and then deduped,Super conservative estimate for son cause search results truncated at 500 on search. ,Yes
31,New Mexico,NM,Blocked,,,,"52 contain daughter, need spider","7861 contain son, need spider",Has I'm not robot captcha. No friendly url to rvest is generated so what we do? Total No. of Records: 7877 Page 1 of 788,
32,New York,NY,Done,2,1190,745,"Had to do multiple queries and spiders to maxime n, see R for details","Had to do multiple queries and spiders to maxime n, see R for details",Daugther(s) count is probably correct but son(s) is for sure underrepresented since cap at 500. Use with caution. This was lots of good work to get data. Remember captcha code expires so R code won't run and need to reget a new URL,Yes
33,North Carolina,NC,Blocked,,,,"261 contain daughter, need spider","1930 contain son, need spider",Horrible output format and don't know how to do URL to rvest. Copy paste is almost impossible.,
34,North Dakota,ND,Done,26,605,23,Was able to copy/paste but had to clean in R. # is accurate,Caps at 500 so did multiple searches with son/sons and start vs contains. Then copy/paste was horrible and had to dedup and clean,son is underrepresented due to search cap ,Yes
35,Ohio,OH,Gaurav did,26,2550,100,,,,
36,Oklahoma,OK,Blocked,,,,"174 contain daughter, need spider","son capped at 500, sons cap at 500. need spider",Can't generate URL to rvest. Could copy paste but would be long.,
37,Oregon,OR,Gaurav did,4,1000,227,,,"1000+ so son under rep. OR doesn't return more than 1,000 results. Results for son are over a 1000. But when you apply regex to the 1,000, 985 come up as true positive. So the most conservative son:daughter ratio is 4.",Yes
38,Pennsylvania,PA,Can't be Done,,,,,,doesn't seem to allow for exhaustive search,
39,Rhode Island,RI,Done,17,206,12,"Had to do 3 different searches: begins with, full text, inactive. 12 rows in csv to R","Had to do 3 different searches: begins with, full text, inactive. 314 rows in csv to R",,
40,South Carolina,SC,Done,69,4083.3,59,173 contain daughter but only 60 are shown. Copy paste ok,"27222 have ""son"" but only 60 are shown. Copy paste ok",9/60 for son were true positive so extrapolate,Yes
41,South Dakota,SD,Done,12,129,11,had to search twice (contains vs starts with) to get more results. Will dedup in R.,had to search twice (contains vs starts with) to get more results. Will dedup in R.,,
42,Tennessee,TN,Done,2,203,132,"Was able to search ""contains"" and got 141. Copy pasted ok to csv",Problematic search since capped at 500. Searched multiple times for son/sons and start/contains mix to maximize n. But son is severely underrepresented,Son is severely underrepresented so caveat this estimate.,Yes
43,Texas,TX,Can't be Done,,,,daughter search would yield 221 but doesn't show. Daughters show 152 results.,"son would yield 4,740 but doesn't show. Sons would yiled 275 but doesn't show",I think it doesn't show if 200+? Rows. What we do?,
44,Utah,UT,Done,5,81,16,Copy pasted but it's messy cause combines all attributes but ok for our work,690 for son* copy pasted. For *son I need spider and I can't get URL link like Arkansas as Gaurav suggested,son is EXTREMELY underrepresented. If we want more accurate # I need help from Gaurav for son spider. But this ratio makes point and extremely conservative,Yes
45,Vermont,VT,Done,22,1361,63,65 rows copy pasted to csv,Gaurav pulled with selenium and I calculated,,
46,Virginia,VA,Blocked,,,,"Page 1 of 12, records 1 to 25 of 278 -- need spider",Your Search Criteria returns 29121 results which is more than 500 results. Can show all results but copy/paste would be horrible,Can't get URL to rvest and copy/paste would be too much. ,
47,Washington,WA,Gaurav did,15,2424,161,,,"WA returns all the results and after applying the regex, we get 2,424 results for son(s). This means a ratio of 15.
",
48,West Virginia,WV,Done,2,128,72,I copy pasted,Gaurav did selenium ,Super conservative estimate for son cause search results truncated at 1000,Yes
49,Wisconsin,WI,Gaurav did,20,845,43,,,"Searches for ""son"" as a separate word.
Had to do multiple searches---breaking by time---for son as results > 500",
50,Wyoming,WY,Done,11,238,21,Full DB was downloaded,Full DB was downloaded,Was able to download the full DB in a friendly way. Had to do some sorting and cleaning in excel cause R was freaking so used edited version.,
