Business ID,Business Name,Name Type,Entity Type,Principal Office Address,Registered Agent Name,Status
201710161219567,"FARMER'S DAUGHTER SCREEN PRINTING, EMBROIDERY & MORE, LLC",LEGAL NAME,Domestic Limited Liability Company,"901 E JOHN ST, Fort Branch, IN, 47648, USA",ASHLEY RUPPEL,Active
2006061500130,"FARMERS' DAUGHTERS MARKET, LLP",LEGAL NAME,Domestic Limited Liability Partnership,"1842 N 400 E, Franklin, IN, 46131, USA",KIm Minton,Active
201809191280135,"FAROS DAUGHTER, INC",LEGAL NAME,Domestic Nonprofit Corporation,"5631 Glenn Rd, Indianapolis, IN, 46216, USA",Michelle Shepherd,Active
201802141239938,"FAROS DAUGHTER, LLC",LEGAL NAME,Domestic Limited Liability Company,"5631 Glenn Rd, Indianapolis, IN, 46216, USA",Michelle Shepherd,Voluntarily Dissolved
2012112800286,FATHER & DAUGHTER CONSULTING INCORPORATED,LEGAL NAME,Domestic For-Profit Corporation,NONE,ZORICA KVRGIC,Admin Dissolved
201801101232283,FATHER DAUGHTER CLEANING LLC,LEGAL NAME,Domestic Limited Liability Company,"316 S Dr Martin Luther King Jr Blvd, apt 300, South Bend, IN, 46601, USA",Robert Raderstorf,Active
201705191196933,FATHERLESS DAUGHTERS CORP.,LEGAL NAME,Domestic Nonprofit Corporation,NONE,WORMSER LEGAL LLC,Admin Dissolved
2015122800429,FIREMAN'S DAUGHTER,RESERVED NAME,,"8942 BAYWOOD CIRCLE, INDIANAPOLIS, IN, 46256, USA",,Expired
2015122801259,FIREMAN'S DAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"8942 Baywood Cir, Indianapolis, IN, 46256, USA",ERICA WHITE,Active
201704271192839,FIVE DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,NONE,Teresa Griffin,Voluntarily Dissolved
2005080800284,"FIVE DAUGHTERS, INCORPORATED",LEGAL NAME,Domestic For-Profit Corporation,"114 S. MAIN ST, TIPTON, IN, 46072, USA",GREGG A. TOWNSEND,Admin Dissolved
201905191319241,FOUR DAUGHTERS DESIGNS LLC,LEGAL NAME,Domestic Limited Liability Company,"11630 Olio Road, Suite 120, Fishers, IN, 46037, USA",NICOLE GRAHAM,Active
201711271225242,FOUR DAUGHTERS FAMILY LLC,LEGAL NAME,Domestic Limited Liability Company,"7535 Fair Oaks Parkway, Fair Oaks Ranch, TX, 78015, USA",Michael Meyer,Active
2006090800182,FOUR DAUGHTERS INC.,LEGAL NAME,Domestic For-Profit Corporation,"202 HADLEY AVE, FOUNTAIN CITY, IN, 47341, USA",DEANNE BARLEY,Admin Dissolved
201804091250934,"FOUR DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,"3000 Overlook Trace, New Albany, IN, 47150, USA",Blair Richardson,Active
2005081100130,"FOUR DAUGHTERS, LTD.",LEGAL NAME,Domestic For-Profit Corporation,"10600 WHITE OAK LN, SAINT JOHN, IN, 46373, USA",CORPORATION SERVICE COMPANY,Voluntarily Dissolved
191683-052,FRANCIS VIGO CHAPTER DAUGHTERS OF THE AMERICAN REVOLUTION,LEGAL NAME,Domestic Nonprofit Corporation,"PO BOX 355, 30 W HARRISON, VINCENNES, IN, 47591 - 0355, USA",RITA A HAGERTY,Active
1989090275,"FRANK T. POLACK & DAUGHTER AGENCY, INC.",LEGAL NAME,Domestic For-Profit Corporation,"3030 S MICHIGAN ST, SOUTH BEND, IN, 46614, USA",JOCELYN RAYBUCK,Active
1996041175,"GENERAL DE LAFAYETTE CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"3327 Shrewsbury Drive, West Lafayette, IN, 47906 - 8747, USA",Mary Anne Robinson,Active
2013010300102,GOD'S DAUGHTER MINISTRIES INC.,LEGAL NAME,Domestic Nonprofit Corporation,"1510 NORTH MARLIN DRIVE, MARION, IN, 46952, USA",ANN SHAWN IKUDABO,Active
2004071400329,"GUNDLACH & DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,"12332 4TH A RD, PLYMOUTH, IN, 46563, USA",ROBERT D HAAS,Admin Dissolved
192215-011,GUTHNECK CIRCLE NO 227 DAUGHTERS OF ISABELLA HOME AS,LEGAL NAME,Domestic Nonprofit Corporation,"2328 HARGAN DR, MADISON, IN, 47250, USA",JEAN SHELTON,Admin Dissolved
201703311188711,H K DAUGHTERS INC,LEGAL NAME,Domestic For-Profit Corporation,"5820 W 56STREET, SUITE 4, Indianapolis, IN, 46254, USA",HARPREET K GILL,Active
201809181279834,"HEATON DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,"2800 W. County Road 750 N., Muncie, IN, 47303, USA",Eric N. Allen,Active
197103-049,HEPHZIBAH (DAUGHTER OF ZION) INC,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
201704201191758,"HUBBARD DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,"5159 Warbler Way, Carmel, IN, 46033, USA",Karen E. Whitaker,Active
201706071199373,I AM MY DAUGHTERS VOICE INC,LEGAL NAME,Domestic Nonprofit Corporation,"5233 E. 13th Pl., Gary, IN, 46403, USA",Keathia Ezell,Admin Dissolved
1995101314,"INDIANA DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"943 W Keiser Road, Columbia City, IN, 46725 - 8068, USA",Charlotte Blair,Active
196807-428,INDIANA GRAND GUARDIAN COUNCIL INTRNTL JOBS DAUGHTER,FORMER NAME,Domestic Nonprofit Corporation,"18422 Piers End Drive, Noblesville, IN, 46062, USA",WANDA LILLYBLADE,Active
1988120316,"J. E. KING & DAUGHTER, INC.",LEGAL NAME,Domestic For-Profit Corporation,"11651 Capistrano Dr., INDPLS, IN, 46236, USA",DEBORAH A WILLIS,Admin Dissolved
196807-428,JOB'S DAUGHTERS INTERNATIONAL GRAND GUARDIAN COUNCIL OF INDIANA INC,LEGAL NAME,Domestic Nonprofit Corporation,"18422 Piers End Drive, Noblesville, IN, 46062, USA",WANDA LILLYBLADE,Active
2013100400078,KIMBERLY'S DAUGHTER LLC,LEGAL NAME,Domestic Limited Liability Company,"1120 MORTON ST, GARY, IN, 46404, USA",KIMBERLY ANN WINTERS,Voluntarily Dissolved (Name Protected)
184252-041,KING'S DAUGHTERS' HEALTH,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"1373 E SR 62, MADISON, IN, 47250, USA",CAROL DOZIER,Active
201705231197103,"KING'S DAUGHTERS PHARMACY, LLC",FOREIGN LEGAL NAME,Foreign Limited Liability Company,"1 Chisholm Trail, Suite 400, Round Rock, TX, 78681, USA","INCORP SERVICES, INC.",Revoked
194243-042,KINGS DAUGHTERS SERVICES INC,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
201803061244481,"KORAN TEMPLE #30 DAUGHTERS OF THE NILE,INC",LEGAL NAME,Domestic Nonprofit Corporation,"304 tulip drive, Indianapolis, IN, 46227, USA",audrey apple,Active
198210-991,L BROWN AND DAUGHTERS INC,LEGAL NAME,Domestic For-Profit Corporation,"4895 DEER RIDGE DR N, CARMEL, IN, 46033, USA",ROBERT A ABEL,Voluntarily Dissolved
192855C107,LAHEE AND DAUGHTERS ALUMINUM,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
198003-444,LEHMAN AND DAUGHTERS INC,LEGAL NAME,Domestic For-Profit Corporation,"420 W CENTRAL, LAGRANGE, IN, 46761, USA",RICHARD K MUTZ,Admin Dissolved
2011010300687,LILLY MAY'S DAUGHTER PROPERTY MANAGEMENT LLC,LEGAL NAME,Domestic Limited Liability Company,"6699 RED HORSE PIKE, NEWBURGH, IN, 47630 - 1709, USA",RITA NATION,Active
201910011348973,LINDA'S DAUGHTER,ASSUMED BUSINESS NAME,Domestic Limited Liability Company,"8548 Ardennes Dr., Fishers, IN, 46038, USA",Robert Ellison,Active
2005051300816,MAKADA GRAND COURT OF DAUGHTER OF SPHINX,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"4057 VANBAREN ST, GARY, IN, 46408, USA",ERROL T. HEFFNER,Admin Cancelled
201606261147361,MARLENE'S GRANDDAUGHTER'S CLEANING SERVICE LLC,LEGAL NAME,Domestic Limited Liability Company,"3518 Highfield ct apt-c, Indianapolis, IN, 46222, USA",Tinniea anderson,Active
198308-991,MARY E RITTER & DAUGHTER INC,LEGAL NAME,Domestic For-Profit Corporation,"RR 1 BOX 180A, NINEVEH, IN, 46164, USA",MARY RITTER,Admin Dissolved
1990120168,"MONTES AND DAUGHTERS, INCORPORATED",LEGAL NAME,Domestic For-Profit Corporation,NONE,Juan G. Montes,Admin Dissolved
2012020100089,MOTHER & DAUGHTER CLEANING LLC,LEGAL NAME,Domestic Limited Liability Company,"16171 CR. 108, BRISTOL, IN, 46507, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin Dissolved
2007101800538,MOTHER DAUGHTER TIME LLC,LEGAL NAME,Domestic Limited Liability Company,"7621 East Lakewood-92, Roanoke, IN, 46783, USA",Margaret A. Sklenar,Active
201704181191411,MOTHER&DAUGHTER LOVE LLC,LEGAL NAME,Domestic Limited Liability Company,"3645 w 10th Street, Indianapolis, IN, 46222, USA",Anayeli rosales,Admin Dissolved
2013103100287,"MOTHER-DAUGHTER DUO, LLC",LEGAL NAME,Domestic Limited Liability Company,"618 E STREETER AVE, MUNCIE, IN, 47303, USA",MARY GOWIN,Past Due
197412-143,MOTHERS GO GET YOUR DAUGHTERS; DAUGHTERS GO GET YOUR MOTHERS,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"3347 N. EMERSON AVE, STE 10, Indianapolis, IN, 46218, USA",NETTIE LESTER,Active
201809261281122,MY 2 DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,"1126 Boxwood Dr., Munster, IN, 46321, USA","UNITED STATES CORPORATION AGENTS, INC.",Active
2010110400324,"MY MOTHER'S DAUGHTER, INC.",LEGAL NAME,Domestic For-Profit Corporation,"15 EAST LINCOLNWAY, VALPARAISO, IN, 46383, USA",CHRISTOPHER PAVLOU,Active
192873-073,NATIONAL GRAND COUNCIL ANCIENT UNITED KNIGHTS & DAUGHTERS OF,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
2014012700426,NATIONAL SONS AND DAUGHTERS MINISTRIES INC.,FOREIGN LEGAL NAME,Foreign Nonprofit Corporation,"4033 N EVERETT RD, APT I, MUNCIE, IN, 47304, USA",FELICIA TYSON,Expired
201705041194643,NATURE'S DAUGHTER INC.,LEGAL NAME,Domestic For-Profit Corporation,"868 N COUNTY LINE RD, APT F, Gary, IN, 46403, USA",TEONNA COLLIE,Admin Dissolved
