Business Name,Business ID,Homestate Name,Previous Name,Business Type,Principal Office Address,Registered Agent Name,Status
(THE PHOENIX CENTER) FOR PERSONAL AND ENVIRONMENTAL HEALING,185051,,,Trade Name,"RT. 103, NEWBURY, NH, 03255, USA",,Expired
1*2*1 CARDIOSONICS,161816,,,Trade Name,"25 SALMON ST., MANCHESTER, NH, 03104, USA",,Expired
1-2-1 CARDIOSONICS,283022,,,Trade Name,"375 ORANGE STREET, MANCHESTER, NH, 03104, USA",,Expired
"10 Dennison Road, LLC",693418,,,Domestic Limited Liability Company,"10 Dennison Road, Durham, NH, 03824, USA",C T Corporation System,Good Standing
102 AUTO BROKERS OF HUDSON,350890,,,Trade Name,"296 DERRY STREET, HUDSON, NH, 03051, USA",,Expired
"102 Auto Brokers Of Hudson, LLC",535946,,,Domestic Limited Liability Company,"296 Derry St, Hudson, NH, 03051, USA","Mosher, Daniel",Admin Dissolution
"11 NELSON, LLC",832438,,,Domestic Limited Liability Company,"10 Anna Louise Drive, Hudson, NH, 03051, USA",Douglas F Pastorello,Good Standing
"11-13 East Otterson Street Associates, LLC",557380,,,Domestic Limited Liability Company,"11 - 13 East Otterson Street, Nashua, NH, 03060, USA","Bennett, Peter W, Esq",Administratively Dissolved
"11R JOHNSON AVENUE, LLC",817538,,,Domestic Limited Liability Company,"11R Johnson Avenue, Hampton, NH, 03842, USA",Albert Fleury,Good Standing
"12 Bryson Place, LLC",653216,,,Domestic Limited Liability Company,"PO Box 163, Manchester, NH, 03101, USA","Burke, Steven M, Esq",Good Standing
"13 Mason Street, LLC",607077,,,Domestic Limited Liability Company,"225 Derry Road, Hudson, NH, 03051, USA","Badeau, Elisha",Admin Dissolution
"130 WILSON STREET WAREHOUSE, LLC",781791,,,Domestic Limited Liability Company,"16 S Willow St, Manchester, NH, 03101, USA","Allen-Fuller, P.A.",Administratively Dissolved Name Protection
14-16 Allison Street Condominium Association,561788,,,Domestic Nonprofit Corporation,"14-16 Allison Street, Concord, NH, 03301, USA",,Good Standing
"149 EDISON STREET, INC.",437525,"149 EDISON STREET, INC.",,Foreign Profit Corporation,"54 RANSIER DRIVE, WEST SENECA, NY, 14224, USA",C T Corporation System,Admin. Suspension
"149 EDISON STREET, INC.",134250,"149 EDISON STREET, INC.",,Foreign Profit Corporation,"1690 Walden Avenue, Buffalo, NY, 14225, USA",C T Corporation System,Withdrawn
15 HUDSON PARK DRIVE LLC.,394935,,,Domestic Limited Liability Company,"One Wall Street, Hudson, NH, 03051, USA","Taub, Philip B, Esq",Not In Good Standing
"15-17 Atkinson, LLC",727431,,,Domestic Limited Liability Company,"C/o 82 Court Street, Portsmouth, NH, 03801, USA","Scott, William G",Good Standing
"16 Anderson, LLC",606037,,,Domestic Limited Liability Company,"PO Box 5365, Manchester, NH, 03108, USA","English, Paul C",Not In Good Standing
"16 Commercial Street Realty, LLC",694999,,"2 West Otterson Street Realty, LLC",Domestic Limited Liability Company,"16 Commercial Street, Nashua, NH, 03060, USA","Shanahan, Kelly J, Esq",Good Standing
"16 Johnson Street, LLC",729343,,,Domestic Limited Liability Company,"16 Johnson Street, Belmont, NH, 03220, USA","Sullivan, Shawn J, Esq",Good Standing
"16 Richardson Ct., LLC",712672,,,Domestic Limited Liability Company,"83 Reserve Pl, Concord, NH, 03301, USA",Peter A Thompson,Good Standing
169 WILSON STREET ASSOCIATES LIMITED PARTNERSHIP,105652,,169 WILSON ASSOCIATES LIMITED PARTNERSHIP,Domestic Limited Partnership,"C/O JOCK ROY PO BOX 419, BEDFORD, NH, 03102, USA",,Active
"17 HUDSON ASSOCIATES, LIMITED PARTNERSHIP",219923,,,Domestic Limited Partnership,"80 Nashua Rd Ste A1, Londonderry, NH, 03053, USA",Raja Khanna,Active
"17 Mason Street, LLC",727774,,,Domestic Limited Liability Company,"3 Hibiscus Way, Nashua, NH, 03062, USA","Crowley, Rob",Good Standing
171 WATSON ROAD OF DOVER HOLDING CORPORATION,461860,,,Domestic Nonprofit Corporation,"100 Education Way, Dover, NH, 03820, USA",,Good Standing
178 Jackson Place LLC,682041,,,Domestic Limited Liability Company,"C/o 18 Morton Rd, East Freetown, MA, 02717, USA",Janice Burke,Good Standing
"18 GARRISON LANE, LLC",823520,,,Domestic Limited Liability Company,"120 Portsmouth Ave, Exeter, NH, 03833, USA",Sean P. Murphy,Good Standing
18 Hutchinson Drive LLC,711977,,,Domestic Limited Liability Company,"PO Box 265, North Hampton, NH, 03862, USA","McCrea, Lyman",Administratively Dissolved
"184 Madison Street, LLC",691447,,,Domestic Limited Liability Company,"32 Madbury Rd, Durham, NH, 03824, USA","Berton, Paul E",Good Standing
18H SEASON LLC,819908,,,Domestic Limited Liability Company,"1 Seasons at Attitash Road, Bartlett, NH, 03812, USA",Joshua Grieves,Good Standing
"19 ATKINSON STREET, LLC",758112,,,Domestic Limited Liability Company,"3 October Dr, Greenland, NH, 03840, USA","Zorn, William V A, Esq",Good Standing
"19 JOHNSON AVENUE, LLC",823398,,,Domestic Limited Liability Company,"19 Johnson Avenue, Hampton, NH, 03842, USA",Albert Fleury,Good Standing
197-207 WILSON STREET PROPERTIES LIMITED PARTNERSHIP,50977,,,Domestic Limited Partnership,"36 OLD MANCHESTER RD, AMHERST, NH, 03031, USA",,Active
1ST MADISON AVENUE DELI,442150,,,Trade Name,"110 SPRUCE ST, KEENE, NH, 03431, USA",,Expired
2 EAST OTTERSON ST NASHUA LLC,811547,,,Domestic Limited Liability Company,"12A Chenell Drive, Concord, NH, 03301, USA",Brett D. Scott,Good Standing
2 EAST OTTERSON ST NASHUA SH LLC,812198,,,Domestic Limited Liability Company,"12A chenell Dr, Concord, NH, 03301, USA","Scott, Brett D",Good Standing
"2 HUDSON PARK DRIVE, LLC",384867,,,Domestic Limited Liability Company,"41 Old Derry Road, Hudson, NH, 03051, USA","Polewarczyk, Patricia",Good Standing
2 JACKSON ST L.L.C.,384630,,"43 CONGRESS STREET, LLC",Domestic Limited Liability Company,"2 JACKSON ST UNIT#7, ROCHESTER, NH, 03867, USA","Bolduc, Michael J, Esq",Admin Dissolution
"2 Robinson Road, LLC",683725,,,Domestic Limited Liability Company,"12 Murphy Drive, Suite 200, Nashua, NH, 03062, USA","Bennett, Peter W, Esq",Dissolved
"2 Sons Equipment Leasing, LLC",699757,,,Domestic Limited Liability Company,"7042 Shaker Rd, Loudon, NH, 03307, USA","Forman, Fred J, Esq",Good Standing
"2 Sons Holdings, LLC",601512,,,Domestic Limited Liability Company,"1662 Elm Street, Manchester, NH, 03101, USA","Deachman, W John, Esq",Admin Dissolution
2 SONS LANDSCAPING LLC,759240,,,Domestic Limited Liability Company,"1 Ohio Avenue,, Nashua, NH, 03060, USA",Dungan Robert,Administratively Dissolved
20 ATKINSON ROAD LLC,833247,,,Domestic Limited Liability Company,"35 Atlantic Avenue, Seabrook, NH, 03874, USA",Joe Ann Balsamo,Good Standing
20-22 East Watson Street Condominium Association,583804,,,Domestic Nonprofit Corporation,"20-22 East Watson St, Dover, NH, 03820, USA",,Admin Diss LLP-CC-NP
"21 JOHNSON AVENUE, LLC",802671,,,Domestic Limited Liability Company,"21 Johnson Avenue, Hampton Beach, NH, 03842, USA",Morris Edward F Esq,Good Standing
21 MADISON ST LLC,823055,,,Domestic Limited Liability Company,"69 Hunking St, Portsmouth, NH, 03801, USA",Bardenwerper Walter W.,Good Standing
215 WILSON STREET LLC,788965,,,Domestic Limited Liability Company,"20C DelCarmine Street, Suite 101, Wakefield, MA, 01880, USA",Steven DallaCosta,Good Standing
"22 Emerson Street, LLC",633345,,,Domestic Limited Liability Company,"1 Eastwood Rd, Windham, NH, 03087, USA",Sandra Higgins,Good Standing
2264 HENDRICKSON STREET LIMITED PARTNERSHIP,311000,,,Domestic Limited Partnership,"1013 CENTRE ROAD, WILMINGTON, DE, 19805, USA","Latremore, Lewis",Active
23 Atkinson St LLC,675398,,,Domestic Limited Liability Company,"PO Box 301, Dover, NH, 03821, USA","Duffy, Vincent",Good Standing
"23 Peterson Road, LLC",669913,,,Domestic Limited Liability Company,"23 Peterson Rd, Plainfield, NH, 03781, USA","Crance, Jason R, Esq",Good Standing
"236 Dickinson Innkeepers, LLC",757313,,,Domestic Limited Liability Company,NONE,,Reserved Name Expired
24 Jackson St LLC,611203,,,Domestic Limited Liability Company,"71 Shore Rd, East Wakefield, NH, 03830, USA","Lavoie, Matthew J",Admin Dissolution
24 Mason LLC,588105,,,Domestic Limited Liability Company,"24 Mason Street, Lebanon, NH, 03766, USA","Varano, Sal",Admin Dissolution
24 Mason Rd L.L.C.,648786,,,Domestic Limited Liability Company,"31 Mason Rd, Brookline, NH, 03033, USA","Rater, Brian",Good Standing
24 THOMPSON ROAD SPE LLC,743656,,,Domestic Limited Liability Company,"4 Goodwin Court, Kennebunk, ME, 04043, USA","Bosen, John K, Esq",Good Standing
254 Wilson Street LLC,736917,,,Domestic Limited Liability Company,"1087 Elm St. 310, Manchester, NH, 03101, USA","Kalathakos, Alexander",Not In Good Standing
259 WILSON LLC,784127,,,Domestic Limited Liability Company,"22 Nathan Lord Rd, Amherst, NH, 03031, USA",Ryan Wallace Field,Good Standing
"26 CONGRESS STREET, INC.",6540,,"RAY BEAUDOIN & SONS, INC.",Domestic Profit Corporation,"26 CONGRESS STREET, Rochester, NH, 03867, USA","Beaudoin, Raymond A, III",Dissolved
"26 Emerson Street, LLC",715051,,,Domestic Limited Liability Company,"25 South Main St, Plymouth, NH, 03264, USA","Buhrman, Sheridan",Good Standing
"26 Mason Street, LLC",631648,,,Domestic Limited Liability Company,"26 Mason St, Nashua, NH, 03060, USA","Zall, Jeffrey A, Esq",Good Standing
"264 Wilson St, L.L.C.",718547,,,Domestic Limited Liability Company,"264 Wilson St, Manchester, NH, 03103, USA","Lemay, Daniel",Good Standing
"267 Lowell Rd Hudson, LLC",717293,"267 Lowell Rd Hudson, LLC",,Foreign Limited Liability Company,"200 U.S. Route One Suite 200, Scarborough, 04074, USA",C T Corporation System,Admin. Suspension
"267 Lowell Rd Hudson, LLC",748978,"267 Lowell Rd Hudson, LLC",,Foreign Limited Liability Company,"200 US Route One Suite 200, Scarborough, ME, 04074, USA",C T Corporation System,Good Standing
267 WILSON STREET LLC,733543,,,Domestic Limited Liability Company,"1662 Elm Street U1, Manchester, NH, 03101, USA","Deachman, W John, Esq",Good Standing
29 Jackson St Properties LLC,709691,,,Domestic Limited Liability Company,"PO Box 10189, Bedford, NH, 03110, USA","Roxo, Antonio F",Good Standing
3 D Masonry,591603,,,Trade Name,"PO Box 36, North Conway, NH, 03860, USA",,Expired
3 SEASONS DRIVE-IN,84088,,,Trade Name,"GUILD ROAD, NEWPORT, NH, 03773, USA",,Expired
3 SEASONS DRIVE-IN,194398,,,Trade Name,"GUILD ROAD, NEWPORT, NH, 03773, USA",,Expired
"3 SEASONS DRIVE-IN, LTD.",266559,,,Domestic Profit Corporation,"308 SUNAPEE ST, NEWPORT, NH, 03773, USA","Schmidt, James Edward",Dissolved
"3 Seasons Home Improvements, LLC",556165,,,Domestic Limited Liability Company,"45 Moulton Rd, Freedom, NH, 03836, USA","National Registered Agents, Inc.",Good Standing
"3 Seasons, Inc.",654798,,,Domestic Profit Corporation,"Unknown, Pelham, NH, 03076, USA",,Admin Dissolution
"3 Sons Eatery, Inc.",576481,,,Domestic Profit Corporation,NONE,"Provencher, Suzanne M",Dissolved
3 SONS HEATING,415603,,,Trade Name,"616 SHAKER ROAD, CANTERBURY, NH, 03224, USA",,Expired
3-D MASONRY COMPANY,56186,,,Trade Name,"1023 HOOKSETT RD, HOOKSETT, NH, 03106, USA",,Expired
3-G Masonry & Tile Services,600833,,,Trade Name,"510 Diamond Pond Rd, Colebrook, NH, 03576, USA",,Expired
"3-M-MASONRY - MARK MABRA, MASONRY",288960,,,Trade Name,"76 CIANTON CIRCLE, CONCORD, NH, 03301, USA",,Expired
"30 Atkinson, LLC",669810,,,Domestic Limited Liability Company,"31 Bagdad Rd, Durham, NH, 03824, USA","Stasko, Michael P",Administratively Dissolved Name Protection
"325 Wilson Street Realty, LLC",608547,,,Domestic Limited Liability Company,"8 Shepherd Hill Rd, Bedford, NH, 03110, USA","Robinson, Michael W",Admin Dissolution
"33 THOMPSON STREET, LLC",828515,,,Domestic Limited Liability Company,"300 North Adams Street, Manchester, NH, 03104, USA",Karyn P. Forbes Esq.,Good Standing
338 Wilson Crossing LLC,647905,,,Domestic Limited Liability Company,"338 Wilson Cross Rd, Auburn, NH, 03032, USA","Hull, Debbie",Dissolved
339341EMERSON LLC,806816,,,Domestic Limited Liability Company,"339 Emerson Ave, Hampstead, NH, 03841, USA","United States Corporation Agents, Inc.",Not In Good Standing
"354-356 MASON ROAD, LLC",445299,,,Domestic Limited Liability Company,"189 NATICOOK RD, MERRIMACK, NH, 03054, USA","Kaklamanos, James, Esq",Administratively Dissolved
36 & 38 Atkinson Road Condo Association,639097,,,Trade Name,"38 Atkinson Rd, Salem, NH, 03079, USA",,Expired
36 FOX HOLLOW HUDSON LIMITED PARTNERSHIP,260810,,,Domestic Limited Partnership,"4500 PGA BLVD STE 303B, Palm Beach Gardens, FL, 33418, USA","Halvorsen & O'Connell, PC",Active
"36 Hanson Street, LLC",579362,,,Domestic Limited Liability Company,"1 New Hampshire Ave Ste 125, Portsmouth, NH, 03801, USA","Craig, Jarrod",Admin Dissolution
"37 DYSON STREET, LLC",766054,,,Domestic Limited Liability Company,"6 Manor Parkway, Salem, NH, 03079, USA",Tarbell & Brodich Professional Association,Good Standing
"38 Nelson Realty, LLC",703741,,,Domestic Limited Liability Company,"40 South Mast Street, Goffstown, NH, 03045, USA","Rothwangl, Christiane , DDS",Good Standing
"39 Emerson Home, LLC",726693,,,Domestic Limited Liability Company,"2 Conant Road, Hanover, NH, 03755, USA","O'Connell, Sean T, Esq",Dissolved
"4 ANDERSON POND ROAD, LLC",822252,,,Domestic Limited Liability Company,"14806 Hadleigh Way, Tampa, FL, 33624, USA",Warren F Lake Esq,Good Standing
4 C - Sons Transportation,544428,,,Trade Name,"PO Box 10, Keene, NH, 03431, USA",,Expired
4 JOHNSON AVE LLC,830741,,,Domestic Limited Liability Company,"36 Blackbird Drive, Bedford, NH, 03110, USA",Danis & Danis Ltd,Good Standing
4 My 2 Sons LLC,643261,,,Domestic Limited Liability Company,"10 Main St, Hampstead, NH, 03841, USA","Partridge, Diane",Administratively Dissolved Name Protection
4 PAWS ONLY,159747,,,Trade Name,"137 EPPING RD, EXETER, NH, 03833, USA",,Expired
"4 Season Fitness, LLC",558453,,"The Portsmouth Performance Institute, LLC",Domestic Limited Liability Company,"33 Tuttle Lane, Greenland, NH, 03840, USA","Murdach, Charles William",Good Standing
4 Season Outfitter's LLC,547422,,,Domestic Limited Liability Company,"98 Kendall Pond Rd PO Box 235, Windham, NH, 03087, USA","Downing, Darren K",Admin Dissolution
4 Season Wagon Rides LLC,600488,,,Domestic Limited Liability Company,"1236 Smyth Rd, Hooksett, NH, 03106, USA","Holt, Charles Randy",Admin Dissolution
4 Seasons Delight,556238,,,Trade Name,"Woodberry Ave, Newington, NH, 03801, USA",,Expired
4 SEASONS FARM,36372,,,Trade Name,"RT. 12, CHARLESTOWN, NH, 03603, USA",,Expired
4 Seasons Foam Insulators of New England Inc.,569931,,,Domestic Profit Corporation,"63 Emerald Street #602, Keene, NH, 03431, USA","Baron, Elana S, Esq",Admin Dissolution
4 SEASONS FOAM INSULATORS OF NEW ENGLAND INC.,736968,,,Domestic Profit Corporation,"63 Emerald Street #607, Keene, NH, 03431, USA","Baron, Elana S, Esq",Administratively Dissolved Name Protection
4 SEASONS GIFTWARE,322369,,,Trade Name,"18 MICHAEL STREET, MANCHESTER, NH, 03104, USA",,Expired
4 SEASONS INDOOR MINIATURE GOLF,167805,,,Trade Name,"333 VALLEY ST., MANCHESTER, NH, 03103, USA",,Expired
4 SEASONS LANDSCAPING,216255,,,Trade Name,"8 THATCHER DR, AMHERST, NH, 03031, USA",,Expired
4 SEASONS MECHANICAL,107564,,,Trade Name,"13 MERROW ST., MANCHESTER, NH, 03104, USA",,Expired
"4 SEASONS MECHANICAL, INC.",125852,,,Domestic Profit Corporation,"PO BOX 16121, HOOKSETT, NH, 03106, USA",STURM LAW PLLC,Dissolved
4 SEASONS PARTY BUS INC,818101,,,Domestic Profit Corporation,"50 Haigh Ave, Salem, NH, 03079, USA",Jose Vega,Good Standing
4 Seasons Pro Cleaning Services LLC,738428,,,Domestic Limited Liability Company,"469 Spruce St #2, Manchester, NH, 03103, USA","Solano, Evelyn A.",Administratively Dissolved
4 SEASONS PROFESSIONAL CLEANING SERVICES INC.,746458,,,Domestic Profit Corporation,"469 Spruce St #2, Manchester, NH, 03103, USA","Solano, Evelyn A.",Administratively Dissolved
4 SEASONS PROPERTY MANAGEMENT LLC,787601,,,Domestic Limited Liability Company,"31 Arlene Dr, Belmont, NH, 03220, USA",John Lievens,Not In Good Standing
4 SEASONS PROPERTY SERVICES LLC,771999,,,Domestic Limited Liability Company,"16 Brookfield Cr, Webster, NH, 03303, USA",Schofield Michial,Not In Good Standing
4 SEASONS SURVIVAL INC,381341,,,Domestic Profit Corporation,"4R MORNINGSIDE DRIVE, DERRY, NH, 03038, USA","Doucette, Diane",Dissolved
"4 Son's, inc.",B56842,,,Domestic Profit Corporation,"Unknown, Meredith, NH, 03253, USA",,Admin Dissolution
4-6 Hutchinson Ave Condo Association LLC,539104,,,Domestic Limited Liability Company,"6 Hutchinson Ave, Concord, NH, 03301, USA","Abbott, Steven",Admin Dissolution
"4-SEASONS CARPET, INC.",143055,,,Domestic Profit Corporation,"48 PORTSMOUTH AVENUE, EXETER, NH, 03833, USA","Adams, Joel",Dissolved
4-Seasons Janitorial & Building Services,537867,,,Trade Name,"5 Industrial Park Dr, Dover, NH, 03820, USA",,Expired
40 ATKINSON STREET DOVER LLC,758768,,,Domestic Limited Liability Company,"47 Park Ave, Greenland, NH, 03840, USA",Stebbins H. Benjamin,Good Standing
"40 East Otterson Street, LLC",566447,,,Domestic Limited Liability Company,"603 MAMMOTH ROAD, LONDONDERRY, NH, 03053, USA","Thibeault, Ernest J, III",Admin Dissolution
41 NELSON STREET ASSOCIATION,438441,,,Trade Name,"41 NELSON STREET, CONCORD, NH, 03301, USA",,Expired
41 Nelson Street Condo Association,694698,,,Trade Name,"41 Nelson St, Manchester, NH, 03103, USA",,Active
41-43 NELSON STREET LLC,764209,,,Domestic Limited Liability Company,"43 Nelson Street, Dover, NH, 03820, USA","Kelmore Capital, LLC",Good Standing
"416 Emerson Avenue Realty, LLC",528972,,,Domestic Limited Liability Company,"9 Red Roof Lane, Salem, NH, 03079, USA","Peluso, Linda G",Admin Dissolution
429-431 WILSON STREET LLC,412675,,,Domestic Limited Liability Company,"633 SECOND STREET, MANCHESTER, NH, 03102, USA","Raiche, Glenn C, Esq",Dissolved
"43 JACKSON STREET ASSOCIATES, LLC",389910,,,Domestic Limited Liability Company,"95 MARKET STREET, MANCHESTER, NH, 03101, USA","Murphy, Robert E, Jr Esq",Admin Dissolution
"45 Seasons, LLC",556533,,,Domestic Limited Liability Company,"13 Delta DriveUnit # 1, Londonderry, NH, 03053, USA","Levenstein, Jon H, Esq",Good Standing
46 Jackson LLC,655667,,,Domestic Limited Liability Company,"46 Jackson Street,, Littleton, NH, 03561, USA","United States Corporation Agents, Inc.",Dissolved
"46644 Gone Fishin' Road, LLC",433962,,"CECILY LARSON'S MONTESSORI SCHOOL, LLC",Domestic Limited Liability Company,"52 HIGH ST, HAMPTON, NH, 03842, USA","Casassa, Robert A, Esq",Admin Dissolution
492-494 WILSON ST LLC,767410,,,Domestic Limited Liability Company,"492 wilson st, Manchester, NH, 03103, USA",Richard Fortin,Good Standing
492-494 Wilson Street LLC,579906,,,Domestic Limited Liability Company,"5 Hilltop Circle, Hooksett, NH, 03106, USA","Lambert, Maria",Admin Dissolution
4SEASONSRETAIL LIMITED LIABILITY COMPANY,832541,,,Domestic Limited Liability Company,"7b Avery Road, Londonderry, NH, 03053, USA","United States Corporation Agents, Inc.",Good Standing
"5 Dennison Road, LLC",596700,,,Domestic Limited Liability Company,"11 Littlehale Road, Durham, NH, 03824, USA","Parks, Stephan P, Esq",Administratively Dissolved
"5 EMERSON WAY, LLC",725237,,,Domestic Limited Liability Company,"25 Pelham Road, Ste 103, Salem, NH, 03079, USA","Sharma, Deepak, MD",Good Standing
5 REASONS TO VISIT,832891,,,Trade Name,"345 Heritage Avenue, #691, Portsmouth, NH, 03801, USA",,Active
5 SEASON MAINTENANCE & LANDSCAPE,408164,,,Trade Name,"21 EDGERLY SCHOOL RD., MEREDITH, NH, 03253, USA",,Expired
"5 Security Drive of Hudson, LLC",569834,,,Domestic Limited Liability Company,"3 Security Drive, Hudson, NH, 03051, USA","Bernard, Gino",Good Standing
"5 Sons Holdings, LLC",601511,,,Domestic Limited Liability Company,"1662 Elm Street, Manchester, NH, 03101, USA","Deachman, W John, Esq",Good Standing
"50 JACKSON STREET, LLC",817212,,,Domestic Limited Liability Company,"300 North Adams Street, Manchester, NH, 03104, USA",Karyn Forbes Esq,Good Standing
"510 THOMPSON FARM LANE, LLC",808333,,,Domestic Limited Liability Company,"23 Silver Lake Road, Hollis, NH, 03049, USA",Tanya G Richmond,Good Standing
524 WILSON ST LLC,727390,,,Domestic Limited Liability Company,"38 Bismark st, Manchester, NH, 03102, USA","Yaakov, Merav",Good Standing
"544 HUDSON STREET, LLC",766628,,,Domestic Limited Liability Company,"9 Debbi Lane, Epping, NH, 03042, USA",Fredric Coltin,Good Standing
"6 ANDERSON ROAD, LLC",829393,,,Domestic Limited Liability Company,"c/o Gottesman & Hollis, P.A. 39 East Pearl Street, Nashua, NH, 03060, USA",Morgan A. Hollis Esq.,Good Standing
6 GEN MASONRY LLC,820055,,,Domestic Limited Liability Company,"26 Prospect Street, APT 2, Milford, NH, 03055, USA",Phillip A Cote,Good Standing
6 JACKSON STREET LLC,770238,,,Domestic Limited Liability Company,"750 lafayette rd suite 201, Portsmouth, NH, 03801, USA",James Petrovitsis,Good Standing
"6 WATSON ROAD, LLC",793627,,,Domestic Limited Liability Company,"2 Garden Lane, Durham, NH, 03824, USA",Janice Aviza,Good Standing
"6-8 Robinson Court Nashua, LLC",689854,,,Domestic Limited Liability Company,"PO Box 3691, Nashua, NH, 03061, USA",Sam Katz,Good Standing
"603 Anderson Road, LLC",673326,,,Domestic Limited Liability Company,"19 Maple Street, Newmarket, NH, 03857, USA","Bosen, John K, Esq",Administratively Dissolved
603 MASONRY,816786,,,Trade Name,"2 School St, Rumney, NH, 03266, USA",,Active
603 METALWORKS & COLLISON LLC,800425,,,Domestic Limited Liability Company,"174 Washington Street, Claremont, NH, 03743, USA",Jason Laffin,Good Standing
