Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
JOHNSON CHIROPRACTIC AND REHABILITATION,A072055,N/A,Inactive Expired,02/26/1999,Assumed Business Name,
SUNDOWN HONEY,A012938,N/A,Inactive Expired,12/15/1986,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/CHELSEA THOMPSON,A184256,N/A,Inactive Expired,11/08/2010,Assumed Business Name,
MY CHEF PERSONAL CHEF SERVICE,A120102,N/A,Inactive Expired,02/22/2005,Assumed Business Name,
DON'S MASONRY,A215619,N/A,Inactive Expired,05/31/2013,Assumed Business Name,
BARNES MASONRY,A087771,N/A,Inactive Expired,06/15/2001,Assumed Business Name,
"DAVID,BENSON,DBADAVIOL,BENSON LOGGING",A071083,N/A,Inactive Expired,02/03/1999,Assumed Business Name,
JAE ANDERSON CONSTRUCTION,A167524,N/A,Inactive Expired,05/20/2009,Assumed Business Name,
BEARCAT MASONRY,A253664,N/A,Active Good Standing,06/24/2016,Assumed Business Name,
POLSON STORAGE,A250369,N/A,Active Good Standing,03/30/2016,Assumed Business Name,
DAVEY'S SWEET DEALS ON WHEELS,A026986,N/A,Inactive Expired,06/13/1991,Assumed Business Name,
BILLINGS ONSITE TRUCK REPAIR,A247909,N/A,Active Good Standing,02/01/2016,Assumed Business Name,
ROCK SOLID MASONRY & FLATWORK,A235066,N/A,Active Pending Expiration,01/26/2015,Assumed Business Name,
ROCKY MOUNTAIN PERSONAL ASSISTANT ERRAND SERVICE,A102434,N/A,Inactive Expired,04/11/2003,Assumed Business Name,
PERSONNEL-LY SPEAKING,A054121,N/A,Inactive Expired,06/12/1996,Assumed Business Name,
NORTHWEST STORES ONLINE,A133311,N/A,Inactive Expired,05/03/2006,Assumed Business Name,
ANDERSON WATER WORKS,A180878,N/A,Inactive Expired,07/26/2010,Assumed Business Name,
ANTIQUES ON GRAND,A034687,N/A,Inactive Expired,04/29/1993,Assumed Business Name,
A. L. WILLIAMS/BENSON,A003437,N/A,Inactive Expired,11/22/1982,Assumed Business Name,
CITY OF POLSON DBA POLSON BAY GOLF COURSE,A236755,N/A,Active Good Standing,03/05/2015,Assumed Business Name,
A. L. WILLIAMS/MAX B. SIMPSON,A019181,N/A,Inactive Expired,02/10/1989,Assumed Business Name,
M & SONS CONSTRUCTION,A148486,N/A,Inactive Expired,08/31/2007,Assumed Business Name,
PERSONALIZED BOOKKEEPING SERVICE,A071875,N/A,Inactive Expired,02/18/1999,Assumed Business Name,
HANSON BUILDING MAINTENANCE,A210187,N/A,Inactive Expired,12/20/2012,Assumed Business Name,
FILIPP MASONRY,A139302,N/A,Inactive Expired,11/27/2006,Assumed Business Name,
DAN & SON'S LAWNCARE,A227319,N/A,Inactive Expired,05/27/2014,Assumed Business Name,
UNISON DRESSAGE TRAINING,A126148,N/A,Inactive Expired,09/15/2005,Assumed Business Name,
A. L. WILLIAMS/H. SANDERSON OFFICE,A012024,N/A,Inactive Expired,07/28/1986,Assumed Business Name,
CM ANDERSON INTERIOR DESIGN,A192902,N/A,Inactive Expired,07/18/2011,Assumed Business Name,
KIM J. GARRISON,A199159,N/A,Active Good Standing,02/02/2012,Assumed Business Name,
TYSON BERRY CONSTRUCTION,A190275,N/A,Inactive Expired,04/29/2011,Assumed Business Name,
DORYCE MASON'S MASSAGE WORKS,A090518,N/A,Inactive Expired,11/02/2001,Assumed Business Name,
MORRISON ROOFING,A225389,N/A,Inactive Expired,04/02/2014,Assumed Business Name,
ESPRESS ON THE GO,A097093,N/A,Inactive Expired,08/27/2002,Assumed Business Name,
ROBERT ROBERTSON CONSTRUCTION,A169491,N/A,Inactive Expired,07/30/2009,Assumed Business Name,
HYNDMAN ENTERPRISES - JASON HYNDMAN,A162623,N/A,Inactive Expired,12/15/2008,Assumed Business Name,
PEARSON WELLNESS,A241009,N/A,Active Good Standing,07/02/2015,Assumed Business Name,
PARSONS CARPENTRY & CONSTRUCTION,A218538,N/A,Inactive Expired,09/09/2013,Assumed Business Name,
RB HANSON CONSTRUCTION CONSULTANTS,A123099,N/A,Inactive Expired,06/13/2005,Assumed Business Name,
FERGUSON & ASSOCIATES,A104034,N/A,Inactive Expired,06/09/2003,Assumed Business Name,
AARON T OLMSTEAD MASONRY (A.T.O.M.),A226665,N/A,Active Good Standing,05/08/2014,Assumed Business Name,
DMC AND SONS,A188032,N/A,Inactive Expired,03/01/2011,Assumed Business Name,
THOMPSON'S RUBBER STAMPS,A167109,N/A,Inactive Expired,05/07/2009,Assumed Business Name,
AND' SONS HANDYMAN SERVICES,A152730,N/A,Inactive Expired,01/29/2008,Assumed Business Name,
OSMUNDSON AG SERVICES,A133543,N/A,Inactive Expired,05/08/2006,Assumed Business Name,
ERICKSON'S CONSTRUCTION,A053058,N/A,Inactive Expired,04/19/1996,Assumed Business Name,
TIMBERLINE MASONRY,A095443,N/A,Inactive Expired,06/13/2002,Assumed Business Name,
ALLISON SMELTZ DESIGN,A217978,N/A,Inactive Expired,08/26/2013,Assumed Business Name,
DUCKETT MASONRY,A248463,N/A,Active Good Standing,02/11/2016,Assumed Business Name,
PERSONALIZED STITCHES,A075752,N/A,Inactive Expired,09/02/1999,Assumed Business Name,
ALL SEASONS EXTERIOR,A183221,N/A,Inactive Expired,10/05/2010,Assumed Business Name,
PATTERSON RANCH CONSTRUCTION,A146203,N/A,"Inactive, Cancelled",06/20/2007,Assumed Business Name,
ANDERSON ART STUDIO & GALLERY,A226378,N/A,Active Good Standing,04/30/2014,Assumed Business Name,
BISON ELECTRIC,A097818,N/A,"Inactive, Cancelled",10/01/2002,Assumed Business Name,
SARA TORGERSON FACIAL AESTHETICS,A234492,N/A,Active Pending Expiration,01/08/2015,Assumed Business Name,
SINCLAIR TILE & SONS,A142471,N/A,Inactive Expired,03/26/2007,Assumed Business Name,
BRANSON FIX-N-FINISH,A077187,N/A,Inactive Expired,12/17/1999,Assumed Business Name,
FERGUSON TRUCKING,A181260,N/A,Inactive Expired,08/05/2010,Assumed Business Name,
DAVIDSON GELBVIEH,A034780,N/A,Inactive Expired,05/03/1993,Assumed Business Name,
FLORENCE E ANDERSON CONSULTING SERVICES,A133435,N/A,Inactive Expired,05/01/2006,Assumed Business Name,
ALWAYS-ON PC SERVICE,A205932,N/A,Inactive Expired,08/13/2012,Assumed Business Name,
ALLENSON GENERAL CONTRACTING,A192557,N/A,"Inactive, Cancelled",07/05/2011,Assumed Business Name,
JASON'S STUMP GRINDING,A225184,N/A,Inactive Expired,03/27/2014,Assumed Business Name,
SORENSON CONSTRUCTION/HANDYMAN,A181309,N/A,Active Good Standing,08/09/2010,Assumed Business Name,
"MUNSON PAINTING, DBA",A182886,N/A,Inactive Expired,09/27/2010,Assumed Business Name,
POLSON MARTIAL ARTS ACADEMY,A248761,N/A,Active Good Standing,02/19/2016,Assumed Business Name,
HENDRICKSON'S TOWING,A237322,N/A,Active Good Standing,04/01/2015,Assumed Business Name,
GOODSON DESIGNS,A232593,N/A,Inactive Expired,11/03/2014,Assumed Business Name,
JOHNSON PAINTING & DESIGN,A060458,N/A,Inactive Expired,05/20/1997,Assumed Business Name,
ALPINE BLINDS ON-SIGHT CLEANING,A110441,N/A,Inactive Expired,02/26/2004,Assumed Business Name,
LARSON WILDLIFE DESIGNS,A080736,N/A,Inactive Expired,06/05/2000,Assumed Business Name,
BURLISON PLUMBING,A247847,N/A,Active Good Standing,02/01/2016,Assumed Business Name,
THOMPSON EXCAVATING,A075205,N/A,"Inactive, Cancelled",08/03/1999,Assumed Business Name,
ALL SEASONS LIQUIDATORS,A021623,N/A,Inactive Expired,11/22/1989,Assumed Business Name,
BILLY W. JOHNSON,A060038,N/A,Inactive Expired,04/28/1997,Assumed Business Name,
JESSE MICKELSON EXCAVATION AND CONSTRUCTION,A247522,N/A,Active Good Standing,01/20/2016,Assumed Business Name,
SETH WILSON CONSTRUCTION,A101382,N/A,Inactive Expired,03/10/2003,Assumed Business Name,
WILLIAMSON GEO CONSULTING,A224327,N/A,Inactive Expired,03/14/2014,Assumed Business Name,
JOHNSON MEDICAL BILLING,A084280,N/A,Inactive Expired,01/05/2001,Assumed Business Name,
JASON LAVIGRE INSURANCE AGENCY,A134261,N/A,Inactive Expired,06/06/2006,Assumed Business Name,
MADISON VALLEY CARPENTRY & WOODWORKING,A194262,N/A,Active Good Standing,08/31/2011,Assumed Business Name,
BOULDER PERSONAL STORAGE,A195238,N/A,Active Good Standing,09/30/2011,Assumed Business Name,
SHIREY'S ON THE EDGE ROOFING,A204730,N/A,Inactive Expired,07/11/2012,Assumed Business Name,
SONSHINE PRESCHOOL,A115388,N/A,Inactive Expired,08/30/2004,Assumed Business Name,
HUSON'S WELDING WORX,A105060,N/A,"Inactive, Cancelled",07/24/2003,Assumed Business Name,
ANDERSON MAINTENANCE & SERVICE,A067537,N/A,Inactive Expired,06/08/1998,Assumed Business Name,
A. L. WILLIAMS/DONALD L. JOHNSON OFFICE,A014066,N/A,Inactive Expired,04/29/1987,Assumed Business Name,
ALL SEASON SPAS,A011181,N/A,Inactive Expired,04/09/1986,Assumed Business Name,
PERSONAL TOUCH CLEANING SERVICES,A048902,N/A,Inactive Expired,09/18/1995,Assumed Business Name,
SONJA BURGARD PHOTOGRAPHY,A124095,N/A,Inactive Expired,07/07/2005,Assumed Business Name,
TIM GREENWOOD MASONRY CONSTRUCTION,A109177,N/A,"Inactive, Cancelled",01/15/2004,Assumed Business Name,
HARRISON AVE LIQUOR STORE,A242030,N/A,Active Good Standing,08/05/2015,Assumed Business Name,
A. L. WILLIAMS/ROBERT C. THOMPSON,A008124,N/A,Inactive Expired,03/14/1985,Assumed Business Name,
"SONJA RAE, SIGN LANGUAGE INTERPRETING",A227729,N/A,Inactive Expired,06/06/2014,Assumed Business Name,
GIBSON-CASSIDY HOUSE,A244751,N/A,Active Good Standing,11/02/2015,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/LEVI ANDERSON,A124153,N/A,Inactive Expired,07/11/2005,Assumed Business Name,
BAUER CONCRETE AND CONSTRUCTION,A206570,N/A,Inactive Expired,08/31/2012,Assumed Business Name,
ANDERSON'S BACKHOE SERVICE,A130418,N/A,Active Good Standing,02/14/2006,Assumed Business Name,
PATRICK CONNELLY PERSONAL TRAINING IN YOUR HOME.,A235567,N/A,Active Pending Expiration,02/05/2015,Assumed Business Name,
HENDERSON CONCRETE,A196307,N/A,Active Good Standing,11/04/2011,Assumed Business Name,
"PRIMERICA FINANCIAL SERVICES/THOMAS JEFFERSON WAGGONER, IV",A032462,N/A,Inactive Expired,11/19/1992,Assumed Business Name,
PETERSON BROKERAGE AGENCY,A034620,N/A,Inactive Expired,04/26/1993,Assumed Business Name,
ERICKSON AVIATION,A153311,N/A,"Inactive, Cancelled",02/19/2008,Assumed Business Name,
A. L. WILLIAMS/WAYNE L. NELSON JR.,A008475,N/A,Inactive Expired,04/18/1985,Assumed Business Name,
CARLSON & ADAMS INS. AGENCY,A003804,N/A,Inactive Expired,02/17/1983,Assumed Business Name,
ROBERTSONS FINLEY POINT LODGE,A057970,N/A,Inactive Expired,01/23/1997,Assumed Business Name,
MADISON RIVER REALTY,A115553,N/A,Inactive Expired,09/14/2004,Assumed Business Name,
HENDERSON ROOFING AND SIDING,A236335,N/A,Active Good Standing,02/27/2015,Assumed Business Name,
WILSON CONTRACTING,A039195,N/A,Inactive Expired,03/16/1994,Assumed Business Name,
BUY IT FOR LESS ONLINE,A144150,N/A,Inactive Expired,04/23/2007,Assumed Business Name,
JP AND SONS GENERAL CONTRACTING,A236883,N/A,Active Good Standing,03/11/2015,Assumed Business Name,
ALLISON MCGREE FINE ART,A153436,N/A,Inactive Expired,02/19/2008,Assumed Business Name,
A. L. WILLIAMS/TIMOTHY JAMES PARSONS,A020146,N/A,Inactive Expired,05/26/1989,Assumed Business Name,
GEISER & SON APPLIANCE SERVICE,A035285,N/A,Inactive Expired,06/09/1993,Assumed Business Name,
T&S MASONRY,A103046,N/A,Inactive Expired,05/01/2003,Assumed Business Name,
HENDERSON CONDO,A212158,N/A,Inactive Expired,02/27/2013,Assumed Business Name,
LARSON WOODWORKS,A241780,N/A,Active Good Standing,07/27/2015,Assumed Business Name,
KERR BAILEY DUSON THERAPEUTIC MASSAGE,A120366,N/A,Inactive Expired,03/04/2005,Assumed Business Name,
MAX THOMPSON RIPARIAN & WETLAND CONSULTING,A133787,N/A,Inactive Expired,05/15/2006,Assumed Business Name,
SONS CONSTRUCTION,A124518,N/A,Inactive Expired,07/25/2005,Assumed Business Name,
GARAGES ONLY!,A068575,N/A,Inactive Expired,08/10/1998,Assumed Business Name,
NELSON ARCHITECTS,A133598,N/A,"Inactive, Cancelled",05/19/2006,Assumed Business Name,
"""ZIZ"" CHAIR MASSAGE BY SHARON THOMPSON",A080910,N/A,Inactive Expired,06/12/2000,Assumed Business Name,
PERFECTLY PERSONALIZED,A084313,N/A,Inactive Expired,01/08/2001,Assumed Business Name,
GIBSON CONSTRUCTION,A104744,N/A,Inactive Expired,07/09/2003,Assumed Business Name,
ELISON CONSULTING,A048889,N/A,Inactive Expired,09/15/1995,Assumed Business Name,
JACKSON COMMODITIES BRANCH OFFICE,A135540,N/A,Inactive Expired,07/18/2006,Assumed Business Name,
A. L. WILLIAMS/KAREN RICHARDSON,A007855,N/A,Inactive Expired,02/08/1985,Assumed Business Name,
JAMISON CONSULTING GROUP,A152335,N/A,Inactive Expired,01/15/2008,Assumed Business Name,
SWANSON/E Z DESTRUCTION,A108083,N/A,"Inactive, Cancelled",11/24/2003,Assumed Business Name,
SHAPESHIFTERS PERSONAL TRAINING,A122729,N/A,"Inactive, Cancelled",05/23/2005,Assumed Business Name,
PERSONAL TOUCH CLEANING,A103368,N/A,Active Good Standing,05/13/2003,Assumed Business Name,
CONLEY & SONS CARPET & DUCT CLEANING,A132166,N/A,Inactive Expired,04/03/2006,Assumed Business Name,
SCENIC RIDGE MASONRY,A156518,N/A,Inactive Expired,05/13/2008,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES / CAMERON LARSON,A242998,N/A,Active Good Standing,08/27/2015,Assumed Business Name,
ORIN OLSON FARMS,A158539,N/A,Inactive Expired,07/16/2008,Assumed Business Name,
JACKSON GOODELL: ARTIST AND ENTREPRENEUR,A165195,N/A,Inactive Expired,03/13/2009,Assumed Business Name,
THE JEFFERSON HOUSE,A007565,N/A,Inactive Expired,01/04/1985,Assumed Business Name,
YAT SON,A186100,N/A,Active Good Standing,01/05/2011,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES-ELIZABETH R. FRIDRICHSON OFFICE,A131846,N/A,Inactive Expired,03/28/2006,Assumed Business Name,
JACOBSON PHOTOGRAPHY,A076638,N/A,Inactive Expired,11/02/1999,Assumed Business Name,
TL THOMPSON CONSTRUCTION,A164904,N/A,Inactive Expired,03/04/2009,Assumed Business Name,
ERICKSON'S PAINTING,A121202,N/A,Inactive Expired,04/15/2005,Assumed Business Name,
DUNBAR AND SONS,A039448,N/A,Inactive Expired,03/30/1994,Assumed Business Name,
LIFE SONG MEMORIES,A210256,N/A,Inactive Expired,01/04/2013,Assumed Business Name,
MARJERRISON MILLING & STONE,A156338,N/A,Inactive Expired,05/08/2008,Assumed Business Name,
PATTERSON PONDS,A159726,N/A,Inactive Expired,08/22/2008,Assumed Business Name,
GARRISON BAY,A080493,N/A,Inactive Expired,05/22/2000,Assumed Business Name,
WANDERING BEAR MASONRY,A137148,N/A,Inactive Expired,09/07/2006,Assumed Business Name,
M SAMPSON TRUCKING,A168999,N/A,"Inactive, Cancelled",07/16/2009,Assumed Business Name,
S NELSON PHOTOGRAPHY,A130914,N/A,Inactive Expired,02/28/2006,Assumed Business Name,
ALL SEASONS REMODELING,A049711,N/A,Inactive Expired,10/27/1995,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/ARTHUR DALE JOHNSON,A027969,N/A,Inactive Expired,09/30/1991,Assumed Business Name,
AMUNDSON CONSTRUCTION,A156911,N/A,Inactive Expired,05/22/2008,Assumed Business Name,
A. L. WILLIAMS/XZLMAR E. ANDERSON,A014045,N/A,Inactive Expired,04/27/1987,Assumed Business Name,
LUCAS JOHNSON BACK COUNTRY CONSTRUCTION,A163021,N/A,Inactive Expired,12/31/2008,Assumed Business Name,
HONDO JOHNSON LEATHERWORKS,A201727,N/A,Active Good Standing,04/23/2012,Assumed Business Name,
SONDERER SPEECH - LANGUAGE SERVICES,A229209,N/A,Active Good Standing,07/23/2014,Assumed Business Name,
ALTENBURG MASONRY,A115805,N/A,Inactive Expired,09/15/2004,Assumed Business Name,
LYN DAWSON FLYFISHING SCHOOLS GUIDED TRIPS,A073108,N/A,Inactive Expired,04/14/1999,Assumed Business Name,
JOHNSON P.C. CLEANING,A168092,N/A,Inactive Expired,06/09/2009,Assumed Business Name,
SONSHINE CLEANING,A195509,N/A,Inactive Expired,10/12/2011,Assumed Business Name,
PETERSON LAW OFFICE,A163971,N/A,Active Good Standing,02/03/2009,Assumed Business Name,
Perfectly Personalized Embroidery,RN1088632,N/A,Expired,07/23/2018,Reserved Name,
KARSON KLASS MASONRY,A237413,N/A,Active Good Standing,03/24/2015,Assumed Business Name,
PRECIOUS ONES DAYCARE,A138353,N/A,Inactive Expired,10/23/2006,Assumed Business Name,
IDEAWORKS ONE,A198417,N/A,Inactive Expired,01/12/2012,Assumed Business Name,
COPPER MOUNTAIN MASONRY,A240197,N/A,"Inactive, Cancelled",06/09/2015,Assumed Business Name,
CARLSON PIPES,A080628,N/A,Inactive Expired,05/30/2000,Assumed Business Name,
STEVENSON SHOEING,A068969,N/A,Inactive Expired,09/03/1998,Assumed Business Name,
JUL'S PERSONAL PET & HOME CARE,A197884,N/A,Inactive Expired,12/28/2011,Assumed Business Name,
JR NELSON CONSTRUCTION,A130922,N/A,Inactive Expired,03/03/2006,Assumed Business Name,
ALLISON MCCLURE SECRETARIAL SERVICES,A233986,N/A,Active Pending Expiration,12/18/2014,Assumed Business Name,
SONAR CONSTRUCTION,A092206,N/A,Inactive Expired,01/31/2002,Assumed Business Name,
4 SEASONS YARD CARE,A240851,N/A,Active Good Standing,06/29/2015,Assumed Business Name,
A. L. WILLIAMS/LADONNA J. JAMISON OFFICE,A021519,N/A,Inactive Expired,11/08/1989,Assumed Business Name,
STEPHENSON TRUCKING,A187866,N/A,Active Good Standing,02/24/2011,Assumed Business Name,
JERRY D. JOHNSON DBA NEST INN,A144836,N/A,Inactive Expired,05/10/2007,Assumed Business Name,
JAMESON DRYWALL,A107886,N/A,"Inactive, Cancelled",11/13/2003,Assumed Business Name,
ENGEBRETSON CONSTRUCTION,A117207,N/A,"Inactive, Cancelled",11/09/2004,Assumed Business Name,
"MONTANA BISON, ETC",A016544,N/A,Inactive Expired,03/07/1988,Assumed Business Name,
DOTS ON ROCKS,A255439,N/A,Active Good Standing,08/17/2016,Assumed Business Name,
A. L. WILLIAMS/THORSON OFFICE,A002838,N/A,Inactive Expired,06/10/1982,Assumed Business Name,
JULIE MORRISON EVENTS,A089029,N/A,Inactive Expired,08/16/2001,Assumed Business Name,
JINDRECH & SONS SIGN & PROPERTY MAINTENANCE,A055611,N/A,Inactive Expired,08/29/1996,Assumed Business Name,
"WILSON,STARR AND CBS LAND AND CATTLE",A002785,N/A,Inactive Expired,05/21/1982,Assumed Business Name,
GREEN MOUNTAIN MASONRY,A205119,N/A,"Inactive, Cancelled",07/17/2012,Assumed Business Name,
PARSON'S GLASS REPAIR,A040929,N/A,Inactive Expired,06/24/1994,Assumed Business Name,
A. L. WILLIAMS/GEORGE R. THOMPSON,A007534,N/A,Inactive Expired,12/28/1984,Assumed Business Name,
PRESS ON,A016423,N/A,Inactive Expired,02/24/1988,Assumed Business Name,
"A. L. WILLIAMS/NORMAN FRANK NELSON, JR.",A025788,N/A,Inactive Expired,03/11/1991,Assumed Business Name,
PERSONAL MOTORCYCLE TECH,A096204,N/A,Inactive Expired,07/23/2002,Assumed Business Name,
JACKSON CREEK JOINERY,A081300,N/A,"Inactive, Cancelled",07/07/2000,Assumed Business Name,
GLEASON CONSTRUCTION,A079179,N/A,Inactive Expired,03/23/2000,Assumed Business Name,
JACKSON AND IVERSON INSURANCE,A021110,N/A,"Inactive, Cancelled",09/25/1989,Assumed Business Name,
CHILSON COMPLETION CLEANING,A254055,N/A,Active Good Standing,07/07/2016,Assumed Business Name,
RICHARDSON PHILATELICS & COIN,A003306,N/A,Inactive Expired,10/13/1982,Assumed Business Name,
RICHARDSON CONSULTING,A101306,N/A,"Inactive, Cancelled",03/04/2003,Assumed Business Name,
DAVIS STONE MASONRY,A174078,N/A,Inactive Expired,01/07/2010,Assumed Business Name,
CARTER MASONRY,A239504,N/A,Active Good Standing,05/21/2015,Assumed Business Name,
JACKSON BROWN - BROKER,A207620,N/A,Inactive Expired,10/03/2012,Assumed Business Name,
JASON HERTZ,A139437,N/A,Inactive Expired,11/30/2006,Assumed Business Name,
MIDNIGHT-SUN-MERCHANDISE DBA MELISSA ANDERSON,A160639,N/A,Inactive Expired,09/30/2008,Assumed Business Name,
WAREHOUSE FURNITURE OF POLSON,A011418,N/A,Inactive Expired,05/02/1986,Assumed Business Name,
R. E. DAVISON,A170010,N/A,Inactive Expired,08/18/2009,Assumed Business Name,
JONSSON FARMS,A139859,N/A,Active Good Standing,12/13/2006,Assumed Business Name,
J. W. MASONRY,A182084,N/A,Inactive Expired,08/31/2010,Assumed Business Name,
JOHNSON RANCH & CONSTRUCTION,A223294,N/A,Inactive Expired,02/06/2014,Assumed Business Name,
PERSONAL SECURITY SYSTEMS,A029652,N/A,Inactive Expired,03/10/1992,Assumed Business Name,
J&E OLSON CONSTRUCTION,A187203,N/A,Active Good Standing,02/07/2011,Assumed Business Name,
J W MASONRY,A137474,N/A,"Inactive, Cancelled",09/19/2006,Assumed Business Name,
A. L. WILLIAMS/C. A. DICKERSON,A021891,N/A,Inactive Expired,12/28/1989,Assumed Business Name,
THE SONSHINE CLUB,A112812,N/A,Inactive Expired,05/18/2004,Assumed Business Name,
A. L. WILLIAMS/CARL E. PETERSON OFFICE,A021936,N/A,Inactive Expired,01/03/1990,Assumed Business Name,
SONOMA ENTERPRISES,A131876,N/A,Inactive Expired,03/24/2006,Assumed Business Name,
EDMUNDSON CONTRACTING,A165092,N/A,Inactive Expired,03/18/2009,Assumed Business Name,
ANDERSON CONSULTING,A038357,N/A,Inactive Expired,01/28/1994,Assumed Business Name,
RIVERSONG EQUESTRIAN,A193945,N/A,Inactive Expired,08/19/2011,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES / DEBORAH PATTERSON,A235557,N/A,Active Pending Expiration,02/04/2015,Assumed Business Name,
MADISON VALLEY RANCH,A038371,N/A,Inactive Expired,01/28/1994,Assumed Business Name,
BISONWARE COMPUTER SERVICES,A040274,N/A,Inactive Expired,05/16/1994,Assumed Business Name,
JASON J. LARSON DBA LEWISTOWN TRANSFER,A145849,N/A,Inactive Expired,06/08/2007,Assumed Business Name,
PERRY THOMPSON DBA ALL HOME IMPROVEMENTS,A139955,N/A,Inactive Expired,12/15/2006,Assumed Business Name,
LIFE SONG MUSIC THERAPY,A223200,N/A,Inactive Expired,02/04/2014,Assumed Business Name,
SEASONS MAGAZINE,A051033,N/A,Inactive Expired,02/05/1996,Assumed Business Name,
ANDERSON AUTO SALES,A143417,N/A,Inactive Expired,03/30/2007,Assumed Business Name,
LADY ANDERSON HOUSE CIRCA 1912,A124117,N/A,Inactive Expired,07/08/2005,Assumed Business Name,
ALWAYS ON TOP ROOFING,A157608,N/A,Inactive Expired,06/16/2008,Assumed Business Name,
A. L. WILLIAMS/BRYSON,A007042,N/A,Inactive Expired,10/09/1984,Assumed Business Name,
JEFF A. ANDERSON ARCHITECTURE,A064755,N/A,"Inactive, Cancelled",02/17/1998,Assumed Business Name,
GOTPETSONLINE.COM,A100128,N/A,Inactive Expired,01/16/2003,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/KENT L. ETCHISON,A127750,N/A,Inactive Expired,11/10/2005,Assumed Business Name,
MASONRY BY ZEB ZAHN,A219976,N/A,Inactive Expired,10/23/2013,Assumed Business Name,
SILVER BULLET MASONRY,A112656,N/A,"Inactive, Cancelled",05/11/2004,Assumed Business Name,
HICKSON FARMING,A219899,N/A,"Inactive, Cancelled",10/21/2013,Assumed Business Name,
HOLLAND & SONS ELECTRIC,A080352,N/A,"Inactive, Cancelled",05/15/2000,Assumed Business Name,
DAVE JOHNSON FENCE CONTRACTING,A079743,N/A,Inactive Expired,04/18/2000,Assumed Business Name,
